entry,at,order
"The player ""jeangreen7 @ QLHzuQRo1C"" quits the game with a stack of 0.",2022-12-31T05:28:45.768Z,167246452576800
"-- ending hand #279 --",2022-12-31T05:28:39.579Z,167246451957901
"""K. Godel @ TN11URmFSv"" collected 57498 from pot with Two Pair, K's & Q's (combination: K♥, K♦, Q♥, Q♣, A♥)",2022-12-31T05:28:39.579Z,167246451957900
"River: Q♥, Q♣, K♦, 5♠ [10♠]",2022-12-31T05:28:35.507Z,167246451550700
"Turn: Q♥, Q♣, K♦ [5♠]",2022-12-31T05:28:31.497Z,167246451149700
"Flop:  [Q♥, Q♣, K♦]",2022-12-31T05:28:27.448Z,167246450744800
"""jeangreen7 @ QLHzuQRo1C"" shows a 7♠, A♣.",2022-12-31T05:28:23.360Z,167246450336001
"""K. Godel @ TN11URmFSv"" shows a A♥, K♥.",2022-12-31T05:28:23.360Z,167246450336000
"""jeangreen7 @ QLHzuQRo1C"" calls 28499 and go all in",2022-12-31T05:28:22.515Z,167246450251500
"""K. Godel @ TN11URmFSv"" raises to 28499",2022-12-31T05:28:20.597Z,167246450059700
"""jeangreen7 @ QLHzuQRo1C"" raises to 20000",2022-12-31T05:28:13.398Z,167246449339800
"""K. Godel @ TN11URmFSv"" raises to 6500",2022-12-31T05:28:08.302Z,167246448830200
"""jeangreen7 @ QLHzuQRo1C"" posts a big blind of 2000",2022-12-31T05:28:04.651Z,167246448465107
"""K. Godel @ TN11URmFSv"" posts a small blind of 1000",2022-12-31T05:28:04.651Z,167246448465106
"""jeangreen7 @ QLHzuQRo1C"" posts an ante of 250",2022-12-31T05:28:04.651Z,167246448465105
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2022-12-31T05:28:04.651Z,167246448465104
"Your hand is A♥, K♥",2022-12-31T05:28:04.651Z,167246448465102
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (121251) | #3 ""jeangreen7 @ QLHzuQRo1C"" (28749)",2022-12-31T05:28:04.651Z,167246448465101
"-- starting hand #279 (id: iq2pw3ptpuv4)  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-12-31T05:28:04.651Z,167246448465100
"-- ending hand #278 --",2022-12-31T05:28:01.636Z,167246448163602
"""K. Godel @ TN11URmFSv"" collected 2500 from pot",2022-12-31T05:28:01.636Z,167246448163601
"Uncalled bet of 1000 returned to ""K. Godel @ TN11URmFSv""",2022-12-31T05:28:01.636Z,167246448163600
"""jeangreen7 @ QLHzuQRo1C"" folds",2022-12-31T05:28:00.790Z,167246448079000
"""K. Godel @ TN11URmFSv"" posts a big blind of 2000",2022-12-31T05:27:57.157Z,167246447715707
"""jeangreen7 @ QLHzuQRo1C"" posts a small blind of 1000",2022-12-31T05:27:57.157Z,167246447715706
"""jeangreen7 @ QLHzuQRo1C"" posts an ante of 250",2022-12-31T05:27:57.157Z,167246447715705
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2022-12-31T05:27:57.157Z,167246447715704
"Your hand is 3♠, J♠",2022-12-31T05:27:57.157Z,167246447715702
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (120001) | #3 ""jeangreen7 @ QLHzuQRo1C"" (29999)",2022-12-31T05:27:57.157Z,167246447715701
"-- starting hand #278 (id: uxlyxftnfcff)  (No Limit Texas Hold'em) (dealer: ""jeangreen7 @ QLHzuQRo1C"") --",2022-12-31T05:27:57.157Z,167246447715700
"-- ending hand #277 --",2022-12-31T05:27:54.137Z,167246447413702
"""K. Godel @ TN11URmFSv"" collected 11250 from pot",2022-12-31T05:27:54.137Z,167246447413701
"Uncalled bet of 11250 returned to ""K. Godel @ TN11URmFSv""",2022-12-31T05:27:54.137Z,167246447413700
"""jeangreen7 @ QLHzuQRo1C"" folds",2022-12-31T05:27:53.284Z,167246447328400
"""K. Godel @ TN11URmFSv"" bets 11250",2022-12-31T05:27:46.866Z,167246446686600
"""jeangreen7 @ QLHzuQRo1C"" checks",2022-12-31T05:27:40.537Z,167246446053700
"Flop:  [J♦, 2♠, 8♥]",2022-12-31T05:27:38.325Z,167246445832500
"""jeangreen7 @ QLHzuQRo1C"" calls 5375",2022-12-31T05:27:37.483Z,167246445748300
"""K. Godel @ TN11URmFSv"" raises to 5375",2022-12-31T05:27:35.706Z,167246445570600
"""jeangreen7 @ QLHzuQRo1C"" posts a big blind of 2000",2022-12-31T05:27:29.449Z,167246444944907
"""K. Godel @ TN11URmFSv"" posts a small blind of 1000",2022-12-31T05:27:29.449Z,167246444944906
"""jeangreen7 @ QLHzuQRo1C"" posts an ante of 250",2022-12-31T05:27:29.449Z,167246444944905
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2022-12-31T05:27:29.449Z,167246444944904
"Your hand is 9♠, J♠",2022-12-31T05:27:29.449Z,167246444944902
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (114376) | #3 ""jeangreen7 @ QLHzuQRo1C"" (35624)",2022-12-31T05:27:29.449Z,167246444944901
"-- starting hand #277 (id: rh2zjdd31mdf)  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-12-31T05:27:29.449Z,167246444944900
"-- ending hand #276 --",2022-12-31T05:27:26.426Z,167246444642602
"""jeangreen7 @ QLHzuQRo1C"" collected 4500 from pot",2022-12-31T05:27:26.426Z,167246444642601
"Uncalled bet of 4500 returned to ""jeangreen7 @ QLHzuQRo1C""",2022-12-31T05:27:26.426Z,167246444642600
"""K. Godel @ TN11URmFSv"" folds",2022-12-31T05:27:25.619Z,167246444561900
"""jeangreen7 @ QLHzuQRo1C"" raises to 6500",2022-12-31T05:27:11.082Z,167246443108200
"""K. Godel @ TN11URmFSv"" posts a big blind of 2000",2022-12-31T05:27:05.828Z,167246442582807
"""jeangreen7 @ QLHzuQRo1C"" posts a small blind of 1000",2022-12-31T05:27:05.828Z,167246442582806
