entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 0.",2022-02-27T04:56:48.415Z,164593780841500
"-- ending hand #134 --",2022-02-27T04:56:39.168Z,164593779916803
"""Deckhole @ _yf6aQFJyI"" shows a 2♠, 4♦.",2022-02-27T04:56:39.168Z,164593779916802
"""K Godel @ Di5cxDUTF9"" collected 78130 from pot with Straight, 7 High (combination: 7♠, 6♠, 5♠, 4♠, 3♣)",2022-02-27T04:56:39.168Z,164593779916801
"""K Godel @ Di5cxDUTF9"" shows a 6♠, 7♠.",2022-02-27T04:56:39.168Z,164593779916800
"""K Godel @ Di5cxDUTF9"" calls 25565",2022-02-27T04:56:38.326Z,164593779832600
"""Deckhole @ _yf6aQFJyI"" bets 25565 and go all in",2022-02-27T04:56:31.848Z,164593779184800
"River: 5♠, Q♥, 4♠, 3♣ [K♣]",2022-02-27T04:56:19.755Z,164593777975500
"""K Godel @ Di5cxDUTF9"" calls 10750",2022-02-27T04:56:18.857Z,164593777885700
"""Deckhole @ _yf6aQFJyI"" raises to 10750",2022-02-27T04:56:00.030Z,164593776003000
"""K Godel @ Di5cxDUTF9"" bets 2750",2022-02-27T04:55:35.179Z,164593773517900
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-27T04:55:20.115Z,164593772011500
"Turn: 5♠, Q♥, 4♠ [3♣]",2022-02-27T04:55:15.294Z,164593771529400
"""Deckhole @ _yf6aQFJyI"" calls 1650",2022-02-27T04:55:14.422Z,164593771442200
"""K Godel @ Di5cxDUTF9"" bets 1650",2022-02-27T04:55:07.497Z,164593770749700
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-27T04:54:54.815Z,164593769481500
"Flop:  [5♠, Q♥, 4♠]",2022-02-27T04:54:46.680Z,164593768668000
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-27T04:54:45.800Z,164593768580000
"""K Godel @ Di5cxDUTF9"" calls 1000",2022-02-27T04:54:39.771Z,164593767977100
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 1000",2022-02-27T04:54:00.482Z,164593764048207
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2022-02-27T04:54:00.482Z,164593764048206
"""K Godel @ Di5cxDUTF9"" posts an ante of 100",2022-02-27T04:54:00.482Z,164593764048205
"""Deckhole @ _yf6aQFJyI"" posts an ante of 100",2022-02-27T04:54:00.482Z,164593764048204
"Your hand is 6♠, 7♠",2022-02-27T04:54:00.482Z,164593764048203
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (39065) | #8 ""K Godel @ Di5cxDUTF9"" (40935)",2022-02-27T04:54:00.482Z,164593764048201
"-- starting hand #134  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-02-27T04:54:00.482Z,164593764048200
"-- ending hand #133 --",2022-02-27T04:53:57.398Z,164593763739802
"""Deckhole @ _yf6aQFJyI"" collected 2200 from pot",2022-02-27T04:53:57.398Z,164593763739801
"Uncalled bet of 1200 returned to ""Deckhole @ _yf6aQFJyI""",2022-02-27T04:53:57.398Z,164593763739800
"""K Godel @ Di5cxDUTF9"" folds",2022-02-27T04:53:56.522Z,164593763652200
"""Deckhole @ _yf6aQFJyI"" raises to 2200",2022-02-27T04:53:52.937Z,164593763293700
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2022-02-27T04:53:43.407Z,164593762340707
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 500",2022-02-27T04:53:43.407Z,164593762340706
"""K Godel @ Di5cxDUTF9"" posts an ante of 100",2022-02-27T04:53:43.407Z,164593762340705
"""Deckhole @ _yf6aQFJyI"" posts an ante of 100",2022-02-27T04:53:43.407Z,164593762340704
"Your hand is 5♦, 4♣",2022-02-27T04:53:43.407Z,164593762340703
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (37965) | #8 ""K Godel @ Di5cxDUTF9"" (42035)",2022-02-27T04:53:43.407Z,164593762340701
"-- starting hand #133  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-02-27T04:53:43.407Z,164593762340700
"-- ending hand #132 --",2022-02-27T04:53:34.191Z,164593761419103
"""Deckhole @ _yf6aQFJyI"" shows a 3♠, 5♦.",2022-02-27T04:53:34.191Z,164593761419102
