entry,at,order
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 0.",2022-08-14T03:45:34.845Z,166044873484500
"-- ending hand #152 --",2022-08-14T03:45:28.639Z,166044872863901
"""Deckhole @ _yf6aQFJyI"" collected 8192 from pot with Pair, K's (combination: K♠, K♦, A♣, J♠, 8♦)",2022-08-14T03:45:28.639Z,166044872863900
"River: 4♥, 7♠, J♠, K♦ [A♣]",2022-08-14T03:45:24.631Z,166044872463100
"Turn: 4♥, 7♠, J♠ [K♦]",2022-08-14T03:45:20.624Z,166044872062400
"Flop:  [4♥, 7♠, J♠]",2022-08-14T03:45:16.621Z,166044871662100
"""K. Godel @ TN11URmFSv"" shows a 2♥, Q♦.",2022-08-14T03:45:12.615Z,166044871261501
"""Deckhole @ _yf6aQFJyI"" shows a K♠, 8♦.",2022-08-14T03:45:12.615Z,166044871261500
"""Deckhole @ _yf6aQFJyI"" calls 4021",2022-08-14T03:45:11.784Z,166044871178400
"""K. Godel @ TN11URmFSv"" raises to 4021 and go all in",2022-08-14T03:45:09.285Z,166044870928500
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 800",2022-08-14T03:45:03.226Z,166044870322607
"""K. Godel @ TN11URmFSv"" posts a small blind of 400",2022-08-14T03:45:03.226Z,166044870322606
"""K. Godel @ TN11URmFSv"" posts an ante of 75",2022-08-14T03:45:03.226Z,166044870322605
"""Deckhole @ _yf6aQFJyI"" posts an ante of 75",2022-08-14T03:45:03.226Z,166044870322604
"Your hand is 2♥, Q♦",2022-08-14T03:45:03.226Z,166044870322603
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (105904) | #8 ""K. Godel @ TN11URmFSv"" (4096)",2022-08-14T03:45:03.226Z,166044870322601
"-- starting hand #152  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-08-14T03:45:03.226Z,166044870322600
"-- ending hand #151 --",2022-08-14T03:45:00.170Z,166044870017002
"""K. Godel @ TN11URmFSv"" collected 950 from pot",2022-08-14T03:45:00.170Z,166044870017001
"Uncalled bet of 400 returned to ""K. Godel @ TN11URmFSv""",2022-08-14T03:45:00.170Z,166044870017000
"""Deckhole @ _yf6aQFJyI"" folds",2022-08-14T03:44:59.358Z,166044869935800
"""K. Godel @ TN11URmFSv"" posts a big blind of 800",2022-08-14T03:44:52.006Z,166044869200607
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 400",2022-08-14T03:44:52.006Z,166044869200606
"""K. Godel @ TN11URmFSv"" posts an ante of 75",2022-08-14T03:44:52.006Z,166044869200605
"""Deckhole @ _yf6aQFJyI"" posts an ante of 75",2022-08-14T03:44:52.006Z,166044869200604
"Your hand is 4♠, Q♠",2022-08-14T03:44:52.006Z,166044869200603
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (106379) | #8 ""K. Godel @ TN11URmFSv"" (3621)",2022-08-14T03:44:52.006Z,166044869200601
"-- starting hand #151  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-08-14T03:44:52.006Z,166044869200600
"-- ending hand #150 --",2022-08-14T03:44:48.965Z,166044868896502
"""Deckhole @ _yf6aQFJyI"" collected 950 from pot",2022-08-14T03:44:48.965Z,166044868896501
"Uncalled bet of 400 returned to ""Deckhole @ _yf6aQFJyI""",2022-08-14T03:44:48.965Z,166044868896500
"""K. Godel @ TN11URmFSv"" folds",2022-08-14T03:44:48.138Z,166044868813800
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 800",2022-08-14T03:44:42.617Z,166044868261708
"""K. Godel @ TN11URmFSv"" posts a small blind of 400",2022-08-14T03:44:42.617Z,166044868261707
"""K. Godel @ TN11URmFSv"" posts an ante of 75",2022-08-14T03:44:42.617Z,166044868261706
"""Deckhole @ _yf6aQFJyI"" posts an ante of 75",2022-08-14T03:44:42.617Z,166044868261705
"Your hand is 10♦, 8♦",2022-08-14T03:44:42.617Z,166044868261704
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (105904) | #8 ""K. Godel @ TN11URmFSv"" (4096)",2022-08-14T03:44:42.617Z,166044868261702
"-- starting hand #150  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-08-14T03:44:42.617Z,166044868261701
"The player ""ClaytonMclovin @ qRLMfzBQ8s"" quits the game with a stack of 0.",2022-08-14T03:44:42.617Z,166044868261700
"-- ending hand #149 --",2022-08-14T03:44:36.514Z,166044867651401
"""Deckhole @ _yf6aQFJyI"" collected 10217 from pot with Pair, 7's (combination: 7♦, 7♠, K♦, Q♠, 6♠)",2022-08-14T03:44:36.514Z,166044867651400
"River: 6♠, 7♦, Q♠, 7♠ [2♥]",2022-08-14T03:44:32.449Z,166044867244900
"Turn: 6♠, 7♦, Q♠ [7♠]",2022-08-14T03:44:28.439Z,166044866843900
"Flop:  [6♠, 7♦, Q♠]",2022-08-14T03:44:24.437Z,166044866443700
"""ClaytonMclovin @ qRLMfzBQ8s"" shows a 10♣, 9♣.",2022-08-14T03:44:20.431Z,166044866043102
"""Deckhole @ _yf6aQFJyI"" shows a 4♥, K♦.",2022-08-14T03:44:20.431Z,166044866043101
"Uncalled bet of 300 returned to ""Deckhole @ _yf6aQFJyI""",2022-08-14T03:44:20.431Z,166044866043100
"""K. Godel @ TN11URmFSv"" folds",2022-08-14T03:44:19.596Z,166044865959600
"""ClaytonMclovin @ qRLMfzBQ8s"" calls 4596 and go all in",2022-08-14T03:44:13.912Z,166044865391200
"""Deckhole @ _yf6aQFJyI"" raises to 4896",2022-08-14T03:44:11.341Z,166044865134100
"""K. Godel @ TN11URmFSv"" posts a big blind of 800",2022-08-14T03:44:08.704Z,166044864870409
"""ClaytonMclovin @ qRLMfzBQ8s"" posts a small blind of 400",2022-08-14T03:44:08.704Z,166044864870408
"""K. Godel @ TN11URmFSv"" posts an ante of 75",2022-08-14T03:44:08.704Z,166044864870407
"""ClaytonMclovin @ qRLMfzBQ8s"" posts an ante of 75",2022-08-14T03:44:08.704Z,166044864870406
"""Deckhole @ _yf6aQFJyI"" posts an ante of 75",2022-08-14T03:44:08.704Z,166044864870405
"Your hand is A♣, 6♥",2022-08-14T03:44:08.704Z,166044864870404
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (100358) | #6 ""ClaytonMclovin @ qRLMfzBQ8s"" (4671) | #8 ""K. Godel @ TN11URmFSv"" (4971)",2022-08-14T03:44:08.704Z,166044864870401
"-- starting hand #149  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-08-14T03:44:08.704Z,166044864870400
"""ClaytonMclovin @ qRLMfzBQ8s"" shows a 3♠, 3♥.",2022-08-14T03:44:06.379Z,166044864637900
