entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.",2022-07-03T02:53:10.989Z,165681679098900
"-- ending hand #96 --",2022-07-03T02:53:04.742Z,165681678474201
"""TLS33 @ tfHtIxkcZq"" collected 14028 from pot with Flush, Kh High (combination: K♥, J♥, 9♥, 6♥, 3♥)",2022-07-03T02:53:04.742Z,165681678474200
"River: 3♥, 9♥, 6♥, K♦ [K♥]",2022-07-03T02:53:00.726Z,165681678072600
"Turn: 3♥, 9♥, 6♥ [K♦]",2022-07-03T02:52:56.636Z,165681677663600
"""TLS33 @ tfHtIxkcZq"" shows a 9♦, J♥.",2022-07-03T02:52:52.631Z,165681677263101
"""K Godel @ Di5cxDUTF9"" shows a 9♣, 4♦.",2022-07-03T02:52:52.631Z,165681677263100
"""TLS33 @ tfHtIxkcZq"" calls 6364",2022-07-03T02:52:51.749Z,165681677174900
"""K Godel @ Di5cxDUTF9"" raises to 6364 and go all in",2022-07-03T02:52:47.560Z,165681676756000
"""TLS33 @ tfHtIxkcZq"" raises to 2600",2022-07-03T02:52:25.644Z,165681674564400
"""K Godel @ Di5cxDUTF9"" bets 1300",2022-07-03T02:52:19.792Z,165681673979200
"Flop:  [3♥, 9♥, 6♥]",2022-07-03T02:52:13.604Z,165681673360400
"""K Godel @ Di5cxDUTF9"" checks",2022-07-03T02:52:12.766Z,165681673276600
"""TLS33 @ tfHtIxkcZq"" calls 600",2022-07-03T02:52:10.914Z,165681673091400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 600",2022-07-03T02:52:08.320Z,165681672832007
"""TLS33 @ tfHtIxkcZq"" posts a small blind of 300",2022-07-03T02:52:08.320Z,165681672832006
"""TLS33 @ tfHtIxkcZq"" posts an ante of 50",2022-07-03T02:52:08.320Z,165681672832005
"""K Godel @ Di5cxDUTF9"" posts an ante of 50",2022-07-03T02:52:08.320Z,165681672832004
"Your hand is 9♣, 4♦",2022-07-03T02:52:08.320Z,165681672832002
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (7014) | #10 ""TLS33 @ tfHtIxkcZq"" (72986)",2022-07-03T02:52:08.320Z,165681672832001
"-- starting hand #96  (No Limit Texas Hold'em) (dealer: ""TLS33 @ tfHtIxkcZq"") --",2022-07-03T02:52:08.320Z,165681672832000
"""K Godel @ Di5cxDUTF9"" shows a 7♣, K♦.",2022-07-03T02:52:06.454Z,165681672645400
"""TLS33 @ tfHtIxkcZq"" shows a J♣, K♥.",2022-07-03T02:52:04.849Z,165681672484900
"-- ending hand #95 --",2022-07-03T02:52:03.890Z,165681672389002
"""TLS33 @ tfHtIxkcZq"" collected 3900 from pot",2022-07-03T02:52:03.890Z,165681672389001
"Uncalled bet of 2925 returned to ""TLS33 @ tfHtIxkcZq""",2022-07-03T02:52:03.890Z,165681672389000
"""K Godel @ Di5cxDUTF9"" folds",2022-07-03T02:52:03.033Z,165681672303300
"""TLS33 @ tfHtIxkcZq"" raises to 4825",2022-07-03T02:51:58.012Z,165681671801200
"""K Godel @ Di5cxDUTF9"" raises to 1900",2022-07-03T02:51:49.572Z,165681670957200
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 600",2022-07-03T02:51:39.109Z,165681669910911
"""K Godel @ Di5cxDUTF9"" posts a small blind of 300",2022-07-03T02:51:39.109Z,165681669910910
"""TLS33 @ tfHtIxkcZq"" posts an ante of 50",2022-07-03T02:51:39.109Z,165681669910909
"""K Godel @ Di5cxDUTF9"" posts an ante of 50",2022-07-03T02:51:39.109Z,165681669910908
"Your hand is 7♣, K♦",2022-07-03T02:51:39.109Z,165681669910906
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (8964) | #10 ""TLS33 @ tfHtIxkcZq"" (71036)",2022-07-03T02:51:39.109Z,165681669910905
"-- starting hand #95  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-07-03T02:51:39.109Z,165681669910904
"The game's ante was changed from 25 to 50.",2022-07-03T02:51:39.109Z,165681669910903
"The game's big blind was changed from 400 to 600.",2022-07-03T02:51:39.109Z,165681669910902
"The game's small blind was changed from 200 to 300.",2022-07-03T02:51:39.109Z,165681669910901
"The player ""she's cake @ xHbhohAXuu"" quits the game with a stack of 0.",2022-07-03T02:51:39.109Z,165681669910900
"-- ending hand #94 --",2022-07-03T02:51:32.973Z,165681669297303
"""she's cake @ xHbhohAXuu"" shows a 9♣, 9♥.",2022-07-03T02:51:32.973Z,165681669297302
"""TLS33 @ tfHtIxkcZq"" collected 15949 from pot with Full House, 7's over A's (combination: 7♥, 7♠, 7♣, A♥, A♣)",2022-07-03T02:51:32.973Z,165681669297301
"""TLS33 @ tfHtIxkcZq"" shows a A♥, 7♥.",2022-07-03T02:51:32.973Z,165681669297300
"""she's cake @ xHbhohAXuu"" calls 2706 and go all in",2022-07-03T02:51:32.089Z,165681669208900
"""TLS33 @ tfHtIxkcZq"" bets 2706",2022-07-03T02:51:27.760Z,165681668776000
"""she's cake @ xHbhohAXuu"" checks",2022-07-03T02:51:22.839Z,165681668283900
"River: A♣, 7♠, 8♥, 5♠ [7♣]",2022-07-03T02:51:19.470Z,165681667947000
"""she's cake @ xHbhohAXuu"" calls 2044",2022-07-03T02:51:18.636Z,165681667863600
"""TLS33 @ tfHtIxkcZq"" bets 2044",2022-07-03T02:51:11.979Z,165681667197900
"""she's cake @ xHbhohAXuu"" checks",2022-07-03T02:51:00.181Z,165681666018100
"Turn: A♣, 7♠, 8♥ [5♠]",2022-07-03T02:50:58.355Z,165681665835500
"""TLS33 @ tfHtIxkcZq"" calls 1612",2022-07-03T02:50:57.457Z,165681665745700
"""she's cake @ xHbhohAXuu"" bets 1612",2022-07-03T02:50:52.728Z,165681665272800
"Flop:  [A♣, 7♠, 8♥]",2022-07-03T02:50:46.448Z,165681664644800
"""TLS33 @ tfHtIxkcZq"" calls 1475",2022-07-03T02:50:45.614Z,165681664561400
"""she's cake @ xHbhohAXuu"" raises to 1475",2022-07-03T02:50:42.155Z,165681664215500
"""K Godel @ Di5cxDUTF9"" folds",2022-07-03T02:50:38.342Z,165681663834200
"""TLS33 @ tfHtIxkcZq"" calls 400",2022-07-03T02:50:35.134Z,165681663513400
"""she's cake @ xHbhohAXuu"" posts a big blind of 400",2022-07-03T02:50:32.578Z,165681663257810
"""K Godel @ Di5cxDUTF9"" posts a small blind of 200",2022-07-03T02:50:32.578Z,165681663257809
"""TLS33 @ tfHtIxkcZq"" posts an ante of 25",2022-07-03T02:50:32.578Z,165681663257808
"""she's cake @ xHbhohAXuu"" posts an ante of 25",2022-07-03T02:50:32.578Z,165681663257807
"""K Godel @ Di5cxDUTF9"" posts an ante of 25",2022-07-03T02:50:32.578Z,165681663257806
"Your hand is 4♥, 10♥",2022-07-03T02:50:32.578Z,165681663257803
"Player stacks: #3 ""K Godel @ Di5cxDUTF9"" (9189) | #8 ""she's cake @ xHbhohAXuu"" (7862) | #10 ""TLS33 @ tfHtIxkcZq"" (62949)",2022-07-03T02:50:32.578Z,165681663257802
"-- starting hand #94  (No Limit Texas Hold'em) (dealer: ""TLS33 @ tfHtIxkcZq"") --",2022-07-03T02:50:32.578Z,165681663257801
"The player ""Timmay @ lnUGOb5yOF"" quits the game with a stack of 0.",2022-07-03T02:50:32.578Z,165681663257800
"-- ending hand #93 --",2022-07-03T02:50:26.435Z,165681662643503
"""Timmay @ lnUGOb5yOF"" shows a K♠, A♠.",2022-07-03T02:50:26.435Z,165681662643502
"""TLS33 @ tfHtIxkcZq"" collected 16972 from pot with Two Pair, 7's & 2's (combination: 7♥, 7♦, 2♦, 2♥, 5♥)",2022-07-03T02:50:26.435Z,165681662643501
"""TLS33 @ tfHtIxkcZq"" shows a 7♥, 5♥.",2022-07-03T02:50:26.435Z,165681662643500
"""Timmay @ lnUGOb5yOF"" calls 4686 and go all in",2022-07-03T02:50:25.564Z,165681662556400
"""TLS33 @ tfHtIxkcZq"" bets 4686",2022-07-03T02:50:22.013Z,165681662201300
"River: 2♦, 4♠, 7♦, 2♥ [3♠]",2022-07-03T02:50:14.714Z,165681661471400
"""TLS33 @ tfHtIxkcZq"" calls 1900",2022-07-03T02:50:13.830Z,165681661383000
"""Timmay @ lnUGOb5yOF"" bets 1900",2022-07-03T02:50:07.876Z,165681660787600
