entry,at,order
"The player ""Tim The Great @ lnUGOb5yOF"" was moved to table #1.",2023-01-07T03:19:41.836Z,167306158183604
"The player ""Mag Kirwin @ e4MtM50XXb"" was moved to table #1.",2023-01-07T03:19:41.836Z,167306158183603
"The player ""RicoP @ MW-qs3vGhg"" was moved to table #1.",2023-01-07T03:19:41.836Z,167306158183602
"The player ""Malarkey @ Ia-cNlUwV8"" was moved to table #1.",2023-01-07T03:19:41.836Z,167306158183601
"The player ""Scott 22 Champ @ nj_yF1nN56"" quits the game with a stack of 0.",2023-01-07T03:19:41.836Z,167306158183600
"""Tim The Great @ lnUGOb5yOF"" will be playing on table #1 (ID: pglgnkAzYGxGf67wMniv6YdNJ).",2023-01-07T03:19:41.821Z,167306158182103
"""Malarkey @ Ia-cNlUwV8"" will be playing on table #1 (ID: pglgnkAzYGxGf67wMniv6YdNJ).",2023-01-07T03:19:41.821Z,167306158182102
"""Mag Kirwin @ e4MtM50XXb"" will be playing on table #1 (ID: pglgnkAzYGxGf67wMniv6YdNJ).",2023-01-07T03:19:41.821Z,167306158182101
"""RicoP @ MW-qs3vGhg"" will be playing on table #1 (ID: pglgnkAzYGxGf67wMniv6YdNJ).",2023-01-07T03:19:41.821Z,167306158182100
"-- ending hand #122 --",2023-01-07T03:19:35.652Z,167306157565201
"""Malarkey @ Ia-cNlUwV8"" collected 8882 from pot with Two Pair, 7's & 2's (combination: 7♣, 7♦, 2♣, 2♥, A♠)",2023-01-07T03:19:35.652Z,167306157565200
"River: 10♥, 2♣, K♥, 2♥ [A♠]",2023-01-07T03:19:31.583Z,167306157158300
"Turn: 10♥, 2♣, K♥ [2♥]",2023-01-07T03:19:27.579Z,167306156757900
"Flop:  [10♥, 2♣, K♥]",2023-01-07T03:19:23.569Z,167306156356900
"""Malarkey @ Ia-cNlUwV8"" shows a 7♣, 7♦.",2023-01-07T03:19:19.527Z,167306155952701
"""Scott 22 Champ @ nj_yF1nN56"" shows a 6♣, 6♠.",2023-01-07T03:19:19.527Z,167306155952700
"""Tim The Great @ lnUGOb5yOF"" folds",2023-01-07T03:19:18.682Z,167306155868200
"""Malarkey @ Ia-cNlUwV8"" calls 4291",2023-01-07T03:19:15.463Z,167306155546300
"""RicoP @ MW-qs3vGhg"" folds",2023-01-07T03:19:13.788Z,167306155378800
"""Scott 22 Champ @ nj_yF1nN56"" raises to 4291 and go all in",2023-01-07T03:19:12.843Z,167306155284300
"""Mag Kirwin @ e4MtM50XXb"" folds",2023-01-07T03:19:07.108Z,167306154710800
"""Tim The Great @ lnUGOb5yOF"" posts a big blind of 300",2023-01-07T03:19:04.406Z,167306154440608
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 150",2023-01-07T03:19:04.406Z,167306154440607
"Player stacks: #1 ""Tim The Great @ lnUGOb5yOF"" (16471) | #3 ""Mag Kirwin @ e4MtM50XXb"" (9478) | #6 ""Scott 22 Champ @ nj_yF1nN56"" (4291) | #8 ""RicoP @ MW-qs3vGhg"" (8896) | #9 ""Malarkey @ Ia-cNlUwV8"" (41771)",2023-01-07T03:19:04.406Z,167306154440601
"-- starting hand #122 (id: ixkrgcjd3d13)  (No Limit Texas Hold'em) (dealer: ""RicoP @ MW-qs3vGhg"") --",2023-01-07T03:19:04.406Z,167306154440600
"-- ending hand #121 --",2023-01-07T03:18:58.352Z,167306153835203
"""RicoP @ MW-qs3vGhg"" shows a J♥, 5♥.",2023-01-07T03:18:58.352Z,167306153835202
"""Malarkey @ Ia-cNlUwV8"" collected 1800 from pot with Pair, 6's (combination: 6♠, 6♥, 9♠, 7♠, 4♦)",2023-01-07T03:18:58.352Z,167306153835201
"""Malarkey @ Ia-cNlUwV8"" shows a 6♠, 4♦.",2023-01-07T03:18:58.352Z,167306153835200
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-07T03:18:57.496Z,167306153749600
"""RicoP @ MW-qs3vGhg"" checks",2023-01-07T03:18:56.258Z,167306153625800
"River: 9♠, 6♥, 7♠, 3♠ [2♥]",2023-01-07T03:18:51.259Z,167306153125900
"""RicoP @ MW-qs3vGhg"" calls 600",2023-01-07T03:18:50.442Z,167306153044200
"""Malarkey @ Ia-cNlUwV8"" bets 600",2023-01-07T03:18:46.279Z,167306152627900
"""RicoP @ MW-qs3vGhg"" checks",2023-01-07T03:18:40.751Z,167306152075100
"Turn: 9♠, 6♥, 7♠ [3♠]",2023-01-07T03:18:36.449Z,167306151644900
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-07T03:18:35.599Z,167306151559900
"""RicoP @ MW-qs3vGhg"" checks",2023-01-07T03:18:34.147Z,167306151414700
"Flop:  [9♠, 6♥, 7♠]",2023-01-07T03:18:28.043Z,167306150804300
"""Malarkey @ Ia-cNlUwV8"" checks",2023-01-07T03:18:27.237Z,167306150723700
"""RicoP @ MW-qs3vGhg"" calls 300",2023-01-07T03:18:25.237Z,167306150523700
"""Scott 22 Champ @ nj_yF1nN56"" folds",2023-01-07T03:18:22.928Z,167306150292800
"""Mag Kirwin @ e4MtM50XXb"" folds",2023-01-07T03:18:21.940Z,167306150194000
"""Tim The Great @ lnUGOb5yOF"" folds",2023-01-07T03:18:17.361Z,167306149736100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 300",2023-01-07T03:18:06.130Z,167306148613008
"""RicoP @ MW-qs3vGhg"" posts a small blind of 150",2023-01-07T03:18:06.130Z,167306148613007
"Player stacks: #1 ""Tim The Great @ lnUGOb5yOF"" (16471) | #3 ""Mag Kirwin @ e4MtM50XXb"" (9478) | #6 ""Scott 22 Champ @ nj_yF1nN56"" (4291) | #8 ""RicoP @ MW-qs3vGhg"" (9796) | #9 ""Malarkey @ Ia-cNlUwV8"" (40871)",2023-01-07T03:18:06.130Z,167306148613001
"-- starting hand #121 (id: cevdeehgqvhq)  (No Limit Texas Hold'em) (dealer: ""Scott 22 Champ @ nj_yF1nN56"") --",2023-01-07T03:18:06.130Z,167306148613000
"-- ending hand #120 --",2023-01-07T03:18:00.109Z,167306148010902
"""Tim The Great @ lnUGOb5yOF"" collected 900 from pot",2023-01-07T03:18:00.109Z,167306148010901
"Uncalled bet of 750 returned to ""Tim The Great @ lnUGOb5yOF""",2023-01-07T03:18:00.109Z,167306148010900
"""RicoP @ MW-qs3vGhg"" folds",2023-01-07T03:17:59.275Z,167306147927500
"""Scott 22 Champ @ nj_yF1nN56"" folds",2023-01-07T03:17:58.364Z,167306147836400
