entry,at,order
"The player ""lynn2.0 @ qRLMfzBQ8s"" quits the game with a stack of 120000.",2022-11-12T06:04:56.553Z,166823309655300
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.",2022-11-12T06:04:41.452Z,166823308145200
"-- ending hand #315 --",2022-11-12T06:04:35.419Z,166823307541901
"""lynn2.0 @ qRLMfzBQ8s"" collected 50118 from pot with hi hand with full house nines full of queens (combination: Q♥, Q♣, 9♠, 9♦, 9♥)",2022-11-12T06:04:35.419Z,166823307541900
"River: 9♦, Q♣, A♦, 9♥ [10♦]",2022-11-12T06:04:31.328Z,166823307132800
"Turn: 9♦, Q♣, A♦ [9♥]",2022-11-12T06:04:27.215Z,166823306721500
"""Malarkey @ Ia-cNlUwV8"" shows a J♦, 8♦, J♣, 2♦.",2022-11-12T06:04:23.126Z,166823306312601
"""lynn2.0 @ qRLMfzBQ8s"" shows a Q♥, 9♠, 4♣, 10♠.",2022-11-12T06:04:23.126Z,166823306312600
"""Malarkey @ Ia-cNlUwV8"" calls 22959 and go all in",2022-11-12T06:04:22.306Z,166823306230600
"""lynn2.0 @ qRLMfzBQ8s"" raises to 22959",2022-11-12T06:04:20.836Z,166823306083600
"""Malarkey @ Ia-cNlUwV8"" raises to 13650",2022-11-12T06:04:17.215Z,166823305721500
"""lynn2.0 @ qRLMfzBQ8s"" bets 3150",2022-11-12T06:04:14.230Z,166823305423000
"Flop:  [9♦, Q♣, A♦]",2022-11-12T06:04:07.512Z,166823304751200
"""lynn2.0 @ qRLMfzBQ8s"" calls 2000",2022-11-12T06:04:06.637Z,166823304663700
"""Malarkey @ Ia-cNlUwV8"" raises to 2000",2022-11-12T06:04:04.060Z,166823304406000
"""lynn2.0 @ qRLMfzBQ8s"" posts a big blind of 600",2022-11-12T06:04:00.492Z,166823304049207
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 300",2022-11-12T06:04:00.492Z,166823304049206
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:04:00.492Z,166823304049205
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:04:00.492Z,166823304049204
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (94941) | #6 ""Malarkey @ Ia-cNlUwV8"" (25059)",2022-11-12T06:04:00.492Z,166823304049201
"-- starting hand #315  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-11-12T06:04:00.492Z,166823304049200
"""lynn2.0 @ qRLMfzBQ8s"" shows a K♣, 2♠, J♥, 10♣.",2022-11-12T06:03:57.879Z,166823303787900
"-- ending hand #314 --",2022-11-12T06:03:56.888Z,166823303688802
"""lynn2.0 @ qRLMfzBQ8s"" collected 63000 from pot",2022-11-12T06:03:56.888Z,166823303688801
"Uncalled bet of 25059 returned to ""lynn2.0 @ qRLMfzBQ8s""",2022-11-12T06:03:56.888Z,166823303688800
"""Malarkey @ Ia-cNlUwV8"" folds",2022-11-12T06:03:56.050Z,166823303605000
"""lynn2.0 @ qRLMfzBQ8s"" bets 25059",2022-11-12T06:03:40.401Z,166823302040100
"""Malarkey @ Ia-cNlUwV8"" checks",2022-11-12T06:03:37.623Z,166823301762300
"Turn: Q♠, A♣, 2♣ [9♠]",2022-11-12T06:03:34.186Z,166823301418600
"""Malarkey @ Ia-cNlUwV8"" calls 25200",2022-11-12T06:03:33.347Z,166823301334700
"""lynn2.0 @ qRLMfzBQ8s"" raises to 25200",2022-11-12T06:03:31.739Z,166823301173900
"""Malarkey @ Ia-cNlUwV8"" bets 9450",2022-11-12T06:03:26.605Z,166823300660500
"Flop:  [Q♠, A♣, 2♣]",2022-11-12T06:03:20.977Z,166823300097700
"""lynn2.0 @ qRLMfzBQ8s"" calls 6200",2022-11-12T06:03:20.094Z,166823300009400
"""Malarkey @ Ia-cNlUwV8"" raises to 6200",2022-11-12T06:03:17.845Z,166823299784500
"""lynn2.0 @ qRLMfzBQ8s"" raises to 2000",2022-11-12T06:03:14.927Z,166823299492700
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 600",2022-11-12T06:03:11.766Z,166823299176607
"""lynn2.0 @ qRLMfzBQ8s"" posts a small blind of 300",2022-11-12T06:03:11.766Z,166823299176606
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:03:11.766Z,166823299176605
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:03:11.766Z,166823299176604
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (63441) | #6 ""Malarkey @ Ia-cNlUwV8"" (56559)",2022-11-12T06:03:11.766Z,166823299176601
"-- starting hand #314  (Pot Limit Omaha Hi) (dealer: ""lynn2.0 @ qRLMfzBQ8s"") --",2022-11-12T06:03:11.766Z,166823299176600
"-- ending hand #313 --",2022-11-12T06:03:08.766Z,166823298876602
"""lynn2.0 @ qRLMfzBQ8s"" collected 8400 from pot",2022-11-12T06:03:08.766Z,166823298876601
"Uncalled bet of 6300 returned to ""lynn2.0 @ qRLMfzBQ8s""",2022-11-12T06:03:08.766Z,166823298876600
"""Malarkey @ Ia-cNlUwV8"" folds",2022-11-12T06:03:07.939Z,166823298793900
"""lynn2.0 @ qRLMfzBQ8s"" bets 6300",2022-11-12T06:02:55.131Z,166823297513100
"Turn: 3♠, J♣, 5♣ [Q♠]",2022-11-12T06:02:49.741Z,166823296974100
"""Malarkey @ Ia-cNlUwV8"" calls 2100",2022-11-12T06:02:48.917Z,166823296891700
"""lynn2.0 @ qRLMfzBQ8s"" bets 2100",2022-11-12T06:02:47.521Z,166823296752100
"Flop:  [3♠, J♣, 5♣]",2022-11-12T06:02:30.654Z,166823295065400
"""lynn2.0 @ qRLMfzBQ8s"" calls 2000",2022-11-12T06:02:29.742Z,166823294974200
"""Malarkey @ Ia-cNlUwV8"" raises to 2000",2022-11-12T06:02:26.397Z,166823294639700
"""lynn2.0 @ qRLMfzBQ8s"" posts a big blind of 600",2022-11-12T06:02:23.046Z,166823294304607
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 300",2022-11-12T06:02:23.046Z,166823294304606
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:02:23.046Z,166823294304605
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:02:23.046Z,166823294304604
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (59241) | #6 ""Malarkey @ Ia-cNlUwV8"" (60759)",2022-11-12T06:02:23.046Z,166823294304601
"-- starting hand #313  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-11-12T06:02:23.046Z,166823294304600
"""lynn2.0 @ qRLMfzBQ8s"" shows a 6♦, 5♠, A♣, 2♦.",2022-11-12T06:02:19.250Z,166823293925000
"-- ending hand #312 --",2022-11-12T06:02:16.513Z,166823293651302
"""Malarkey @ Ia-cNlUwV8"" collected 25200 from pot with Three of a Kind (combination: 3♣, 3♥, 3♦, A♦, J♣)",2022-11-12T06:02:16.513Z,166823293651301
"""Malarkey @ Ia-cNlUwV8"" shows a K♠, 3♣, 3♥, 4♣.",2022-11-12T06:02:16.513Z,166823293651300
"""lynn2.0 @ qRLMfzBQ8s"" calls 6300",2022-11-12T06:02:15.707Z,166823293570700
"""Malarkey @ Ia-cNlUwV8"" bets 6300",2022-11-12T06:02:14.448Z,166823293444800
"River: 7♥, J♣, 3♦, A♦ [5♣]",2022-11-12T06:02:08.436Z,166823292843600
"""lynn2.0 @ qRLMfzBQ8s"" calls 4200",2022-11-12T06:02:07.619Z,166823292761900
"""Malarkey @ Ia-cNlUwV8"" bets 4200",2022-11-12T06:02:06.202Z,166823292620200
"Turn: 7♥, J♣, 3♦ [A♦]",2022-11-12T06:02:02.027Z,166823292202700
"""lynn2.0 @ qRLMfzBQ8s"" checks",2022-11-12T06:02:01.202Z,166823292120200
"""Malarkey @ Ia-cNlUwV8"" checks",2022-11-12T06:01:59.301Z,166823291930100
"Flop:  [7♥, J♣, 3♦]",2022-11-12T06:01:56.221Z,166823291622100
"""Malarkey @ Ia-cNlUwV8"" calls 2000",2022-11-12T06:01:55.300Z,166823291530000
"""lynn2.0 @ qRLMfzBQ8s"" raises to 2000",2022-11-12T06:01:53.011Z,166823291301100
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 600",2022-11-12T06:01:47.015Z,166823290701507
"""lynn2.0 @ qRLMfzBQ8s"" posts a small blind of 300",2022-11-12T06:01:47.015Z,166823290701506
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:01:47.015Z,166823290701505
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:01:47.015Z,166823290701504
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (71841) | #6 ""Malarkey @ Ia-cNlUwV8"" (48159)",2022-11-12T06:01:47.015Z,166823290701501
"-- starting hand #312  (Pot Limit Omaha Hi) (dealer: ""lynn2.0 @ qRLMfzBQ8s"") --",2022-11-12T06:01:47.015Z,166823290701500
"-- ending hand #311 --",2022-11-12T06:01:44.014Z,166823290401402
"""Malarkey @ Ia-cNlUwV8"" collected 1400 from pot",2022-11-12T06:01:44.014Z,166823290401401
"Uncalled bet of 1400 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-12T06:01:44.014Z,166823290401400
"""lynn2.0 @ qRLMfzBQ8s"" folds",2022-11-12T06:01:43.111Z,166823290311100
"""Malarkey @ Ia-cNlUwV8"" raises to 2000",2022-11-12T06:01:41.960Z,166823290196000
"""lynn2.0 @ qRLMfzBQ8s"" posts a big blind of 600",2022-11-12T06:01:38.813Z,166823289881307
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 300",2022-11-12T06:01:38.813Z,166823289881306
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:01:38.813Z,166823289881305
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:01:38.813Z,166823289881304
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (72541) | #6 ""Malarkey @ Ia-cNlUwV8"" (47459)",2022-11-12T06:01:38.813Z,166823289881301
"-- starting hand #311  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-11-12T06:01:38.813Z,166823289881300
"-- ending hand #310 --",2022-11-12T06:01:35.815Z,166823289581502
"""Malarkey @ Ia-cNlUwV8"" collected 800 from pot",2022-11-12T06:01:35.815Z,166823289581501
"Uncalled bet of 300 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-12T06:01:35.815Z,166823289581500
"""lynn2.0 @ qRLMfzBQ8s"" folds",2022-11-12T06:01:34.979Z,166823289497900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 600",2022-11-12T06:01:32.215Z,166823289221507
"""lynn2.0 @ qRLMfzBQ8s"" posts a small blind of 300",2022-11-12T06:01:32.215Z,166823289221506
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:01:32.215Z,166823289221505
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:01:32.215Z,166823289221504
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (72941) | #6 ""Malarkey @ Ia-cNlUwV8"" (47059)",2022-11-12T06:01:32.215Z,166823289221501
"-- starting hand #310  (Pot Limit Omaha Hi) (dealer: ""lynn2.0 @ qRLMfzBQ8s"") --",2022-11-12T06:01:32.215Z,166823289221500
"-- ending hand #309 --",2022-11-12T06:01:29.273Z,166823288927302
"""Malarkey @ Ia-cNlUwV8"" collected 4200 from pot",2022-11-12T06:01:29.273Z,166823288927301
"Uncalled bet of 2100 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-12T06:01:29.273Z,166823288927300
"""lynn2.0 @ qRLMfzBQ8s"" folds",2022-11-12T06:01:28.425Z,166823288842500
"""Malarkey @ Ia-cNlUwV8"" bets 2100",2022-11-12T06:01:25.445Z,166823288544500
"""lynn2.0 @ qRLMfzBQ8s"" checks",2022-11-12T06:01:21.232Z,166823288123200
"Flop:  [K♣, 7♠, 4♣]",2022-11-12T06:01:02.467Z,166823286246700
"""lynn2.0 @ qRLMfzBQ8s"" calls 2000",2022-11-12T06:01:01.625Z,166823286162500
"""Malarkey @ Ia-cNlUwV8"" raises to 2000",2022-11-12T06:01:00.291Z,166823286029100
"""lynn2.0 @ qRLMfzBQ8s"" posts a big blind of 600",2022-11-12T06:00:56.580Z,166823285658007
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 300",2022-11-12T06:00:56.580Z,166823285658006
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:00:56.580Z,166823285658005
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:00:56.580Z,166823285658004
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (75041) | #6 ""Malarkey @ Ia-cNlUwV8"" (44959)",2022-11-12T06:00:56.580Z,166823285658001
"-- starting hand #309  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-11-12T06:00:56.580Z,166823285658000
"-- ending hand #308 --",2022-11-12T06:00:53.580Z,166823285358002
"""Malarkey @ Ia-cNlUwV8"" collected 800 from pot",2022-11-12T06:00:53.580Z,166823285358001
"Uncalled bet of 300 returned to ""Malarkey @ Ia-cNlUwV8""",2022-11-12T06:00:53.580Z,166823285358000
"""lynn2.0 @ qRLMfzBQ8s"" folds",2022-11-12T06:00:52.662Z,166823285266200
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 600",2022-11-12T06:00:50.174Z,166823285017407
"""lynn2.0 @ qRLMfzBQ8s"" posts a small blind of 300",2022-11-12T06:00:50.174Z,166823285017406
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 100",2022-11-12T06:00:50.174Z,166823285017405
"""lynn2.0 @ qRLMfzBQ8s"" posts an ante of 100",2022-11-12T06:00:50.174Z,166823285017404
"Player stacks: #2 ""lynn2.0 @ qRLMfzBQ8s"" (75441) | #6 ""Malarkey @ Ia-cNlUwV8"" (44559)",2022-11-12T06:00:50.174Z,166823285017401
"-- starting hand #308  (Pot Limit Omaha Hi) (dealer: ""lynn2.0 @ qRLMfzBQ8s"") --",2022-11-12T06:00:50.174Z,166823285017400
"-- ending hand #307 --",2022-11-12T06:00:47.171Z,166823284717102
"""lynn2.0 @ qRLMfzBQ8s"" collected 800 from pot",2022-11-12T06:00:47.171Z,166823284717101
"Uncalled bet of 300 returned to ""lynn2.0 @ qRLMfzBQ8s""",2022-11-12T06:00:47.171Z,166823284717100
"""Malarkey @ Ia-cNlUwV8"" folds",2022-11-12T06:00:46.296Z,166823284629600
"""lynn2.0 @ qRLMfzBQ8s"" posts a big blind of 600",2022-11-12T06:00:44.372Z,166823284437207
