entry,at,order
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 0.",2023-01-29T05:23:53.545Z,167496983354500
"-- ending hand #217 --",2023-01-29T05:23:47.436Z,167496982743601
"""LLATFFEJ @ sFObWNao3T"" collected 83366 from pot with Three of a Kind, 6's (combination: 6♠, 6♥, 6♦, A♠, J♣)",2023-01-29T05:23:47.436Z,167496982743600
"River: 2♣, 6♥, 6♦, J♣ [A♠]",2023-01-29T05:23:43.337Z,167496982333700
"Turn: 2♣, 6♥, 6♦ [J♣]",2023-01-29T05:23:39.285Z,167496981928500
"""K. Godel @ TN11URmFSv"" shows a K♥, 2♥.",2023-01-29T05:23:35.281Z,167496981528101
"""LLATFFEJ @ sFObWNao3T"" shows a 6♠, 5♦.",2023-01-29T05:23:35.281Z,167496981528100
"""LLATFFEJ @ sFObWNao3T"" raises to 39433",2023-01-29T05:23:34.433Z,167496981443300
"""K. Godel @ TN11URmFSv"" raises to 39433 and go all in",2023-01-29T05:23:29.719Z,167496980971900
"""LLATFFEJ @ sFObWNao3T"" bets 6000",2023-01-29T05:23:17.555Z,167496979755500
"""K. Godel @ TN11URmFSv"" checks",2023-01-29T05:23:13.983Z,167496979398300
"Flop:  [2♣, 6♥, 6♦]",2023-01-29T05:23:10.660Z,167496979066000
"""K. Godel @ TN11URmFSv"" checks",2023-01-29T05:23:09.831Z,167496978983100
"""LLATFFEJ @ sFObWNao3T"" calls 2000",2023-01-29T05:23:07.270Z,167496978727000
"""K. Godel @ TN11URmFSv"" posts a big blind of 2000",2023-01-29T05:23:04.728Z,167496978472807
"""LLATFFEJ @ sFObWNao3T"" posts a small blind of 1000",2023-01-29T05:23:04.728Z,167496978472806
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2023-01-29T05:23:04.728Z,167496978472805
"""LLATFFEJ @ sFObWNao3T"" posts an ante of 250",2023-01-29T05:23:04.728Z,167496978472804
"Your hand is K♥, 2♥",2023-01-29T05:23:04.728Z,167496978472803
"Player stacks: #5 ""LLATFFEJ @ sFObWNao3T"" (128317) | #10 ""K. Godel @ TN11URmFSv"" (41683)",2023-01-29T05:23:04.728Z,167496978472801
"-- starting hand #217 (id: x1qwyinjvlcl)  (No Limit Texas Hold'em) (dealer: ""LLATFFEJ @ sFObWNao3T"") --",2023-01-29T05:23:04.728Z,167496978472800
"-- ending hand #216 --",2023-01-29T05:23:01.708Z,167496978170802
"""LLATFFEJ @ sFObWNao3T"" collected 13500 from pot",2023-01-29T05:23:01.708Z,167496978170801
"Uncalled bet of 6000 returned to ""LLATFFEJ @ sFObWNao3T""",2023-01-29T05:23:01.708Z,167496978170800
"""K. Godel @ TN11URmFSv"" folds",2023-01-29T05:23:00.900Z,167496978090000
"""LLATFFEJ @ sFObWNao3T"" bets 6000",2023-01-29T05:22:54.284Z,167496977428400
"Flop:  [4♦, 3♦, 4♥]",2023-01-29T05:22:46.497Z,167496976649700
"""LLATFFEJ @ sFObWNao3T"" calls 6500",2023-01-29T05:22:45.656Z,167496976565600
"""K. Godel @ TN11URmFSv"" raises to 6500",2023-01-29T05:22:43.775Z,167496976377500
"""LLATFFEJ @ sFObWNao3T"" posts a big blind of 2000",2023-01-29T05:22:35.730Z,167496975573008
"""K. Godel @ TN11URmFSv"" posts a small blind of 1000",2023-01-29T05:22:35.730Z,167496975573007
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2023-01-29T05:22:35.730Z,167496975573006
"""LLATFFEJ @ sFObWNao3T"" posts an ante of 250",2023-01-29T05:22:35.730Z,167496975573005
"Your hand is Q♠, J♦",2023-01-29T05:22:35.730Z,167496975573004
"Player stacks: #5 ""LLATFFEJ @ sFObWNao3T"" (121567) | #10 ""K. Godel @ TN11URmFSv"" (48433)",2023-01-29T05:22:35.730Z,167496975573002
"-- starting hand #216 (id: cxqzag5pg4zz)  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2023-01-29T05:22:35.730Z,167496975573001
"The player ""Levi Chavaree @ kk8BYK_NR5"" quits the game with a stack of 0.",2023-01-29T05:22:35.730Z,167496975573000
"""LLATFFEJ @ sFObWNao3T"" shows a 5♥, 6♠.",2023-01-29T05:22:29.935Z,167496974993500
"-- ending hand #215 --",2023-01-29T05:22:29.080Z,167496974908001
"""K. Godel @ TN11URmFSv"" collected 47936 from pot with Pair, 4's (combination: 4♣, 4♦, A♣, 10♥, 9♥)",2023-01-29T05:22:29.080Z,167496974908000
"River: 9♥, 5♠, 10♥, 4♣ [4♦]",2023-01-29T05:22:25.077Z,167496974507700
"Turn: 9♥, 5♠, 10♥ [4♣]",2023-01-29T05:22:21.028Z,167496974102800
"Flop:  [9♥, 5♠, 10♥]",2023-01-29T05:22:17.025Z,167496973702500
"""K. Godel @ TN11URmFSv"" shows a A♣, 3♣.",2023-01-29T05:22:12.940Z,167496973294001
"""Levi Chavaree @ kk8BYK_NR5"" shows a Q♠, K♠.",2023-01-29T05:22:12.940Z,167496973294000
"""Levi Chavaree @ kk8BYK_NR5"" calls 23593 and go all in",2023-01-29T05:22:12.124Z,167496973212400
"""K. Godel @ TN11URmFSv"" raises to 23593",2023-01-29T05:22:10.245Z,167496973024500
"""LLATFFEJ @ sFObWNao3T"" folds",2023-01-29T05:22:03.838Z,167496972383800
