entry,at,order
"The player ""TLS33 @ tfHtIxkcZq"" was moved to table #1.",2022-11-06T02:53:52.601Z,166770323260105
"The player ""Zrb25xsb @ nj_yF1nN56"" was moved to table #1.",2022-11-06T02:53:52.601Z,166770323260104
"The player ""K. Godel @ TN11URmFSv"" was moved to table #1.",2022-11-06T02:53:52.601Z,166770323260103
"The player ""jeangreen7 @ QLHzuQRo1C"" was moved to table #1.",2022-11-06T02:53:52.601Z,166770323260102
"The player ""RicoP @ MW-qs3vGhg"" was moved to table #1.",2022-11-06T02:53:52.601Z,166770323260101
"The player ""Timmay @ lnUGOb5yOF"" quits the game with a stack of 0.",2022-11-06T02:53:52.601Z,166770323260100
"""TLS33 @ tfHtIxkcZq"" will be playing on table #1 (ID: pglc4Z2jkuH4wGuZq9IdjOPTH).",2022-11-06T02:53:52.581Z,166770323258104
"""K. Godel @ TN11URmFSv"" will be playing on table #1 (ID: pglc4Z2jkuH4wGuZq9IdjOPTH).",2022-11-06T02:53:52.581Z,166770323258103
"""RicoP @ MW-qs3vGhg"" will be playing on table #1 (ID: pglc4Z2jkuH4wGuZq9IdjOPTH).",2022-11-06T02:53:52.581Z,166770323258102
"""jeangreen7 @ QLHzuQRo1C"" will be playing on table #1 (ID: pglc4Z2jkuH4wGuZq9IdjOPTH).",2022-11-06T02:53:52.581Z,166770323258101
"""Zrb25xsb @ nj_yF1nN56"" will be playing on table #1 (ID: pglc4Z2jkuH4wGuZq9IdjOPTH).",2022-11-06T02:53:52.581Z,166770323258100
"-- ending hand #86 --",2022-11-06T02:53:46.386Z,166770322638601
"""jeangreen7 @ QLHzuQRo1C"" collected 2928 from pot with Two Pair, K's & 8's (combination: K♦, K♣, 8♦, 8♥, 10♦)",2022-11-06T02:53:46.386Z,166770322638600
"River: 10♦, 8♦, 8♥, 5♠ [6♥]",2022-11-06T02:53:42.282Z,166770322228200
"Turn: 10♦, 8♦, 8♥ [5♠]",2022-11-06T02:53:38.276Z,166770321827600
"Flop:  [10♦, 8♦, 8♥]",2022-11-06T02:53:34.181Z,166770321418100
"""Timmay @ lnUGOb5yOF"" shows a K♥, Q♣.",2022-11-06T02:53:30.161Z,166770321016101
"""jeangreen7 @ QLHzuQRo1C"" shows a K♦, K♣.",2022-11-06T02:53:30.161Z,166770321016100
"""RicoP @ MW-qs3vGhg"" folds",2022-11-06T02:53:29.324Z,166770320932400
"""TLS33 @ tfHtIxkcZq"" folds",2022-11-06T02:53:28.460Z,166770320846000
"""jeangreen7 @ QLHzuQRo1C"" calls 1164",2022-11-06T02:53:24.346Z,166770320434600
"""K. Godel @ TN11URmFSv"" folds",2022-11-06T02:53:23.153Z,166770320315300
"""Zrb25xsb @ nj_yF1nN56"" folds",2022-11-06T02:53:21.740Z,166770320174000
"""Timmay @ lnUGOb5yOF"" raises to 1164 and go all in",2022-11-06T02:53:20.759Z,166770320075900
"""RicoP @ MW-qs3vGhg"" posts a big blind of 300",2022-11-06T02:53:11.778Z,166770319177815
"""TLS33 @ tfHtIxkcZq"" posts a small blind of 150",2022-11-06T02:53:11.778Z,166770319177814
"""Timmay @ lnUGOb5yOF"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177813
"""RicoP @ MW-qs3vGhg"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177812
"""TLS33 @ tfHtIxkcZq"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177811
"""jeangreen7 @ QLHzuQRo1C"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177810
"""K. Godel @ TN11URmFSv"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177809
"""Zrb25xsb @ nj_yF1nN56"" posts an ante of 25",2022-11-06T02:53:11.778Z,166770319177808
"Your hand is 6♠, 2♦",2022-11-06T02:53:11.778Z,166770319177803
"Player stacks: #1 ""Zrb25xsb @ nj_yF1nN56"" (12126) | #2 ""K. Godel @ TN11URmFSv"" (21331) | #3 ""jeangreen7 @ QLHzuQRo1C"" (10770) | #4 ""TLS33 @ tfHtIxkcZq"" (5344) | #5 ""RicoP @ MW-qs3vGhg"" (9240) | #8 ""Timmay @ lnUGOb5yOF"" (1189)",2022-11-06T02:53:11.778Z,166770319177801
"-- starting hand #86  (No Limit Texas Hold'em) (dealer: ""jeangreen7 @ QLHzuQRo1C"") --",2022-11-06T02:53:11.778Z,166770319177800
"-- ending hand #85 --",2022-11-06T02:53:05.620Z,166770318562002
"""TLS33 @ tfHtIxkcZq"" collected 5344 from pot with Pair, K's (combination: K♦, K♠, 8♥, 6♥, 5♣)",2022-11-06T02:53:05.620Z,166770318562001
"""jeangreen7 @ QLHzuQRo1C"" collected 10770 from pot with Flush, 10h High (combination: 10♥, 8♥, 6♥, 3♥, 2♥)",2022-11-06T02:53:05.620Z,166770318562000
"River: 5♣, 3♥, 6♥, 2♥ [8♥]",2022-11-06T02:53:01.610Z,166770318161000
"Turn: 5♣, 3♥, 6♥ [2♥]",2022-11-06T02:52:57.498Z,166770317749800
"Flop:  [5♣, 3♥, 6♥]",2022-11-06T02:52:53.440Z,166770317344000
"""Timmay @ lnUGOb5yOF"" shows a 10♦, A♦.",2022-11-06T02:52:49.396Z,166770316939602
"""TLS33 @ tfHtIxkcZq"" shows a K♦, K♠.",2022-11-06T02:52:49.396Z,166770316939601
"""jeangreen7 @ QLHzuQRo1C"" shows a 10♥, A♠.",2022-11-06T02:52:49.396Z,166770316939600
"""TLS33 @ tfHtIxkcZq"" calls 6212 and go all in",2022-11-06T02:52:48.528Z,166770316852800
"""jeangreen7 @ QLHzuQRo1C"" calls 3540 and go all in",2022-11-06T02:52:45.389Z,166770316538900
"""Timmay @ lnUGOb5yOF"" raises to 6212",2022-11-06T02:52:42.611Z,166770316261100
"""TLS33 @ tfHtIxkcZq"" raises to 3300",2022-11-06T02:52:09.304Z,166770312930400
"""jeangreen7 @ QLHzuQRo1C"" raises to 1400",2022-11-06T02:51:54.633Z,166770311463300
"""K. Godel @ TN11URmFSv"" folds",2022-11-06T02:51:50.852Z,166770311085200
"""Zrb25xsb @ nj_yF1nN56"" folds",2022-11-06T02:51:49.801Z,166770310980100
"""Timmay @ lnUGOb5yOF"" raises to 850",2022-11-06T02:51:37.915Z,166770309791500
"""RicoP @ MW-qs3vGhg"" folds",2022-11-06T02:51:29.901Z,166770308990100
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 300",2022-11-06T02:51:27.747Z,166770308774715
"""jeangreen7 @ QLHzuQRo1C"" posts a small blind of 150",2022-11-06T02:51:27.747Z,166770308774714
"""Timmay @ lnUGOb5yOF"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774713
"""RicoP @ MW-qs3vGhg"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774712
"""TLS33 @ tfHtIxkcZq"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774711
"""jeangreen7 @ QLHzuQRo1C"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774710
"""K. Godel @ TN11URmFSv"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774709
"""Zrb25xsb @ nj_yF1nN56"" posts an ante of 25",2022-11-06T02:51:27.747Z,166770308774708
"Your hand is 3♦, 5♥",2022-11-06T02:51:27.747Z,166770308774703
"Player stacks: #1 ""Zrb25xsb @ nj_yF1nN56"" (12151) | #2 ""K. Godel @ TN11URmFSv"" (21356) | #3 ""jeangreen7 @ QLHzuQRo1C"" (3565) | #4 ""TLS33 @ tfHtIxkcZq"" (6237) | #5 ""RicoP @ MW-qs3vGhg"" (9265) | #8 ""Timmay @ lnUGOb5yOF"" (7426)",2022-11-06T02:51:27.747Z,166770308774701
"-- starting hand #85  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-11-06T02:51:27.747Z,166770308774700
"""Timmay @ lnUGOb5yOF"" shows a 10♥, 10♠.",2022-11-06T02:51:26.212Z,166770308621200
"-- ending hand #84 --",2022-11-06T02:51:23.917Z,166770308391702
"""Timmay @ lnUGOb5yOF"" collected 2500 from pot",2022-11-06T02:51:23.917Z,166770308391701
