entry,at,order
"The player ""TLS33 @ tfHtIxkcZq"" quits the game with a stack of 0.",2022-11-06T04:21:17.129Z,166770847712900
"-- ending hand #189 --",2022-11-06T04:21:10.873Z,166770847087301
"""K. Godel @ TN11URmFSv"" collected 30332 from pot with Pair, J's (combination: J♦, J♣, K♥, Q♣, 8♠)",2022-11-06T04:21:10.873Z,166770847087300
"River: 7♠, J♦, 2♦, J♣ [8♠]",2022-11-06T04:21:06.861Z,166770846686100
"Turn: 7♠, J♦, 2♦ [J♣]",2022-11-06T04:21:02.720Z,166770846272000
"Flop:  [7♠, J♦, 2♦]",2022-11-06T04:20:58.715Z,166770845871500
"""TLS33 @ tfHtIxkcZq"" shows a 10♦, 5♦.",2022-11-06T04:20:54.710Z,166770845471001
"""K. Godel @ TN11URmFSv"" shows a K♥, Q♣.",2022-11-06T04:20:54.710Z,166770845471000
"""TLS33 @ tfHtIxkcZq"" calls 14916 and go all in",2022-11-06T04:20:53.880Z,166770845388000
"""K. Godel @ TN11URmFSv"" raises to 14916",2022-11-06T04:20:49.454Z,166770844945400
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 2000",2022-11-06T04:20:42.386Z,166770844238607
"""K. Godel @ TN11URmFSv"" posts a small blind of 1000",2022-11-06T04:20:42.386Z,166770844238606
"""TLS33 @ tfHtIxkcZq"" posts an ante of 250",2022-11-06T04:20:42.386Z,166770844238605
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2022-11-06T04:20:42.386Z,166770844238604
"Your hand is K♥, Q♣",2022-11-06T04:20:42.386Z,166770844238602
"Player stacks: #9 ""K. Godel @ TN11URmFSv"" (104834) | #10 ""TLS33 @ tfHtIxkcZq"" (15166)",2022-11-06T04:20:42.386Z,166770844238601
"-- starting hand #189  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2022-11-06T04:20:42.386Z,166770844238600
"-- ending hand #188 --",2022-11-06T04:20:39.300Z,166770843930002
"""TLS33 @ tfHtIxkcZq"" collected 4500 from pot",2022-11-06T04:20:39.300Z,166770843930001
"Uncalled bet of 10666 returned to ""TLS33 @ tfHtIxkcZq""",2022-11-06T04:20:39.300Z,166770843930000
"""K. Godel @ TN11URmFSv"" folds",2022-11-06T04:20:38.423Z,166770843842300
"""TLS33 @ tfHtIxkcZq"" raises to 12666 and go all in",2022-11-06T04:20:36.697Z,166770843669700
"""K. Godel @ TN11URmFSv"" posts a big blind of 2000",2022-11-06T04:20:32.510Z,166770843251007
"""TLS33 @ tfHtIxkcZq"" posts a small blind of 1000",2022-11-06T04:20:32.510Z,166770843251006
"""TLS33 @ tfHtIxkcZq"" posts an ante of 250",2022-11-06T04:20:32.510Z,166770843251005
"""K. Godel @ TN11URmFSv"" posts an ante of 250",2022-11-06T04:20:32.510Z,166770843251004
"Your hand is 2♦, Q♥",2022-11-06T04:20:32.510Z,166770843251002
"Player stacks: #9 ""K. Godel @ TN11URmFSv"" (107084) | #10 ""TLS33 @ tfHtIxkcZq"" (12916)",2022-11-06T04:20:32.510Z,166770843251001
"-- starting hand #188  (No Limit Texas Hold'em) (dealer: ""TLS33 @ tfHtIxkcZq"") --",2022-11-06T04:20:32.510Z,166770843251000
"-- ending hand #187 --",2022-11-06T04:20:29.481Z,166770842948102
"""K. Godel @ TN11URmFSv"" collected 4500 from pot",2022-11-06T04:20:29.481Z,166770842948101
"Uncalled bet of 12916 returned to ""K. Godel @ TN11URmFSv""",2022-11-06T04:20:29.481Z,166770842948100
"""TLS33 @ tfHtIxkcZq"" folds",2022-11-06T04:20:28.616Z,166770842861600
"""K. Godel @ TN11URmFSv"" raises to 14916",2022-11-06T04:20:21.111Z,166770842111100
"""TLS33 @ tfHtIxkcZq"" posts a big blind of 2000",2022-11-06T04:20:09.894Z,166770840989407
