entry,at,order
"The player ""LLATFFEJ @ sFObWNao3T"" was moved to table #2.",2023-01-29T04:07:11.204Z,167496523120404
"The player ""Deckhole @ _yf6aQFJyI"" was moved to table #2.",2023-01-29T04:07:11.204Z,167496523120403
"The player ""Malarkey @ Ia-cNlUwV8"" was moved to table #2.",2023-01-29T04:07:11.204Z,167496523120402
"The player ""Scott 22 Champ @ nj_yF1nN56"" quits the game with a stack of 0.",2023-01-29T04:07:11.204Z,167496523120401
"The player ""Mircra4 @ eU5rQ42pVS"" quits the game with a stack of 0.",2023-01-29T04:07:11.204Z,167496523120400
"""LLATFFEJ @ sFObWNao3T"" will be playing on table #2 (ID: pglO3_ifEQg8-hXa8Ze718V4v).",2023-01-29T04:07:11.185Z,167496523118502
"""Deckhole @ _yf6aQFJyI"" will be playing on table #2 (ID: pglO3_ifEQg8-hXa8Ze718V4v).",2023-01-29T04:07:11.185Z,167496523118501
"""Malarkey @ Ia-cNlUwV8"" will be playing on table #2 (ID: pglO3_ifEQg8-hXa8Ze718V4v).",2023-01-29T04:07:11.185Z,167496523118500
"""Malarkey @ Ia-cNlUwV8"" shows a 2♦, Q♦.",2023-01-29T04:07:05.792Z,167496522579200
"-- ending hand #127 --",2023-01-29T04:07:04.486Z,167496522448602
"""LLATFFEJ @ sFObWNao3T"" collected 17490 from pot with Pair, A's (combination: A♥, A♠, K♦, J♦, 7♣)",2023-01-29T04:07:04.486Z,167496522448601
"""LLATFFEJ @ sFObWNao3T"" collected 12601 from pot with Pair, A's (combination: A♥, A♠, K♦, J♦, 7♣)",2023-01-29T04:07:04.486Z,167496522448600
"River: 3♦, K♦, J♦, 7♣ [5♥]",2023-01-29T04:07:00.480Z,167496522048000
"Turn: 3♦, K♦, J♦ [7♣]",2023-01-29T04:06:56.478Z,167496521647800
"""Scott 22 Champ @ nj_yF1nN56"" shows a 10♣, A♦.",2023-01-29T04:06:52.440Z,167496521244002
"""LLATFFEJ @ sFObWNao3T"" shows a A♥, A♠.",2023-01-29T04:06:52.440Z,167496521244001
"""Mircra4 @ eU5rQ42pVS"" shows a Q♥, K♠.",2023-01-29T04:06:52.440Z,167496521244000
"""LLATFFEJ @ sFObWNao3T"" calls 4628",2023-01-29T04:06:51.615Z,167496521161500
"""Mircra4 @ eU5rQ42pVS"" bets 4628 and go all in",2023-01-29T04:06:49.642Z,167496520964200
"Flop:  [3♦, K♦, J♦]",2023-01-29T04:06:43.299Z,167496520329900
"""Mircra4 @ eU5rQ42pVS"" calls 8234",2023-01-29T04:06:42.468Z,167496520246800
"""LLATFFEJ @ sFObWNao3T"" raises to 8234",2023-01-29T04:06:40.495Z,167496520049500
"""Mircra4 @ eU5rQ42pVS"" calls 4117",2023-01-29T04:06:37.052Z,167496519705200
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-29T04:06:33.336Z,167496519333600
"""Deckhole @ _yf6aQFJyI"" folds",2023-01-29T04:06:32.466Z,167496519246600
"""Scott 22 Champ @ nj_yF1nN56"" raises to 4117 and go all in",2023-01-29T04:06:31.604Z,167496519160400
"""LLATFFEJ @ sFObWNao3T"" posts a big blind of 400",2023-01-29T04:06:22.486Z,167496518248613
"""Mircra4 @ eU5rQ42pVS"" posts a small blind of 200",2023-01-29T04:06:22.486Z,167496518248612
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 50",2023-01-29T04:06:22.486Z,167496518248611
"""Deckhole @ _yf6aQFJyI"" posts an ante of 50",2023-01-29T04:06:22.486Z,167496518248610
"""Scott 22 Champ @ nj_yF1nN56"" posts an ante of 50",2023-01-29T04:06:22.486Z,167496518248609
"""LLATFFEJ @ sFObWNao3T"" posts an ante of 50",2023-01-29T04:06:22.486Z,167496518248608
"""Mircra4 @ eU5rQ42pVS"" posts an ante of 50",2023-01-29T04:06:22.486Z,167496518248607
"Player stacks: #1 ""Mircra4 @ eU5rQ42pVS"" (12912) | #2 ""LLATFFEJ @ sFObWNao3T"" (27465) | #4 ""Scott 22 Champ @ nj_yF1nN56"" (4167) | #6 ""Deckhole @ _yf6aQFJyI"" (23176) | #10 ""Malarkey @ Ia-cNlUwV8"" (10180)",2023-01-29T04:06:22.486Z,167496518248601
"-- starting hand #127 (id: ys3aregfze5i)  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-29T04:06:22.486Z,167496518248600
"-- ending hand #126 --",2023-01-29T04:06:19.472Z,167496517947202
"""Deckhole @ _yf6aQFJyI"" collected 1250 from pot",2023-01-29T04:06:19.472Z,167496517947201
"Uncalled bet of 1250 returned to ""Deckhole @ _yf6aQFJyI""",2023-01-29T04:06:19.472Z,167496517947200
"""Mircra4 @ eU5rQ42pVS"" folds",2023-01-29T04:06:18.649Z,167496517864900
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-29T04:06:17.790Z,167496517779000
"""Deckhole @ _yf6aQFJyI"" raises to 1650",2023-01-29T04:06:10.708Z,167496517070800
"""Scott 22 Champ @ nj_yF1nN56"" folds",2023-01-29T04:06:05.372Z,167496516537200
"""LLATFFEJ @ sFObWNao3T"" folds",2023-01-29T04:05:59.605Z,167496515960500
"""Mircra4 @ eU5rQ42pVS"" posts a big blind of 400",2023-01-29T04:05:56.886Z,167496515688613
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 200",2023-01-29T04:05:56.886Z,167496515688612
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 50",2023-01-29T04:05:56.886Z,167496515688611
"""Deckhole @ _yf6aQFJyI"" posts an ante of 50",2023-01-29T04:05:56.886Z,167496515688610
"""Scott 22 Champ @ nj_yF1nN56"" posts an ante of 50",2023-01-29T04:05:56.886Z,167496515688609
