entry,at,order
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 0.",2023-01-07T05:50:13.483Z,167307061348300
"-- ending hand #370 --",2023-01-07T05:50:07.296Z,167307060729601
"""Malarkey @ Ia-cNlUwV8"" collected 120772 from pot with Two Pair, K's & 7's (combination: K♥, K♣, 7♥, 7♠, A♥)",2023-01-07T05:50:07.296Z,167307060729600
"River: 7♥, 8♥, K♣, 7♠ [J♠]",2023-01-07T05:50:03.290Z,167307060329000
"""Malarkey @ Ia-cNlUwV8"" shows a K♥, A♥.",2023-01-07T05:49:59.217Z,167307059921701
"""K. Godel @ TN11URmFSv"" shows a K♠, 9♥.",2023-01-07T05:49:59.217Z,167307059921700
"""K. Godel @ TN11URmFSv"" calls 29786 and go all in",2023-01-07T05:49:58.395Z,167307059839500
"""Malarkey @ Ia-cNlUwV8"" bets 29786",2023-01-07T05:49:55.660Z,167307059566000
"Turn: 7♥, 8♥, K♣ [7♠]",2023-01-07T05:49:52.333Z,167307059233300
"""K. Godel @ TN11URmFSv"" calls 15300",2023-01-07T05:49:51.526Z,167307059152600
"""Malarkey @ Ia-cNlUwV8"" bets 15300",2023-01-07T05:49:44.497Z,167307058449700
"Flop:  [7♥, 8♥, K♣]",2023-01-07T05:49:38.380Z,167307057838000
"""K. Godel @ TN11URmFSv"" calls 15100",2023-01-07T05:49:37.568Z,167307057756800
"""Malarkey @ Ia-cNlUwV8"" raises to 15100",2023-01-07T05:49:32.529Z,167307057252900
"""K. Godel @ TN11URmFSv"" raises to 4900",2023-01-07T05:49:29.648Z,167307056964800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 1500",2023-01-07T05:49:26.092Z,167307056609207
"""K. Godel @ TN11URmFSv"" posts a small blind of 750",2023-01-07T05:49:26.092Z,167307056609206
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 200",2023-01-07T05:49:26.092Z,167307056609205
"""K. Godel @ TN11URmFSv"" posts an ante of 200",2023-01-07T05:49:26.092Z,167307056609204
"Your hand is K♠, 9♥",2023-01-07T05:49:26.092Z,167307056609202
"Player stacks: #6 ""K. Godel @ TN11URmFSv"" (60386) | #7 ""Malarkey @ Ia-cNlUwV8"" (109614)",2023-01-07T05:49:26.092Z,167307056609201
"-- starting hand #370 (id: 2d7o0cj6azqz)  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2023-01-07T05:49:26.092Z,167307056609200
"-- ending hand #369 --",2023-01-07T05:49:23.064Z,167307056306402
"""K. Godel @ TN11URmFSv"" collected 1900 from pot",2023-01-07T05:49:23.064Z,167307056306401
"Uncalled bet of 750 returned to ""K. Godel @ TN11URmFSv""",2023-01-07T05:49:23.064Z,167307056306400
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-07T05:49:22.194Z,167307056219400
"""K. Godel @ TN11URmFSv"" posts a big blind of 1500",2023-01-07T05:49:20.883Z,167307056088307
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 750",2023-01-07T05:49:20.883Z,167307056088306
"""Malarkey @ Ia-cNlUwV8"" posts an ante of 200",2023-01-07T05:49:20.883Z,167307056088305
"""K. Godel @ TN11URmFSv"" posts an ante of 200",2023-01-07T05:49:20.883Z,167307056088304
"Your hand is K♠, 8♠",2023-01-07T05:49:20.883Z,167307056088302
"Player stacks: #6 ""K. Godel @ TN11URmFSv"" (59436) | #7 ""Malarkey @ Ia-cNlUwV8"" (110564)",2023-01-07T05:49:20.883Z,167307056088301
"-- starting hand #369 (id: b9fvyiphfubr)  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2023-01-07T05:49:20.883Z,167307056088300
"-- ending hand #368 --",2023-01-07T05:49:17.862Z,167307055786202
"""K. Godel @ TN11URmFSv"" collected 3400 from pot",2023-01-07T05:49:17.862Z,167307055786201
"Uncalled bet of 3400 returned to ""K. Godel @ TN11URmFSv""",2023-01-07T05:49:17.862Z,167307055786200
"""Malarkey @ Ia-cNlUwV8"" folds",2023-01-07T05:49:16.982Z,167307055698200
"""K. Godel @ TN11URmFSv"" raises to 4900",2023-01-07T05:49:14.515Z,167307055451500
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 1500",2023-01-07T05:49:09.074Z,167307054907407
