entry,at,order
"The player ""Breezy @ _8CiDq023a"" quits the game with a stack of 19837.",2022-11-12T02:32:57.784Z,166822037778404
"The player ""Mag Kirwin @ _wcrUQOF6U"" quits the game with a stack of 18824.",2022-11-12T02:32:57.784Z,166822037778403
"The player ""Rico @ MW-qs3vGhg"" quits the game with a stack of 1912.",2022-11-12T02:32:57.784Z,166822037778402
"The player ""Timmay @ lnUGOb5yOF"" quits the game with a stack of 8436.",2022-11-12T02:32:57.784Z,166822037778401
"The player ""Jean @ QLHzuQRo1C"" quits the game with a stack of 10878.",2022-11-12T02:32:57.784Z,166822037778400
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Breezy @ _8CiDq023a"".",2022-11-12T02:32:40.987Z,166822036098700
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Mag Kirwin @ _wcrUQOF6U"".",2022-11-12T02:32:34.482Z,166822035448200
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Rico @ MW-qs3vGhg"".",2022-11-12T02:32:26.541Z,166822034654100
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Rico @ MW-qs3vGhg"".",2022-11-12T02:32:17.638Z,166822033763800
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Timmay @ lnUGOb5yOF"".",2022-11-12T02:32:09.906Z,166822032990600
"The admin ""Deckhole @ 3URETjsK60"" enqueued the removal of the player ""Jean @ QLHzuQRo1C"".",2022-11-12T02:32:02.582Z,166822032258200
"-- ending hand #59 --",2022-11-12T02:15:46.709Z,166821934670902
"""Breezy @ _8CiDq023a"" collected 1350 from pot with Straight, A High (combination: A♣, K♠, Q♦, J♠, 10♦)",2022-11-12T02:15:46.709Z,166821934670901
"""Breezy @ _8CiDq023a"" shows a A♣, 10♦.",2022-11-12T02:15:46.709Z,166821934670900
"""Rico @ MW-qs3vGhg"" calls 450",2022-11-12T02:15:45.857Z,166821934585700
"""Breezy @ _8CiDq023a"" bets 450",2022-11-12T02:15:44.432Z,166821934443200
"River: 5♦, J♠, Q♦, 4♦ [K♠]",2022-11-12T02:15:40.811Z,166821934081100
"""Rico @ MW-qs3vGhg"" calls 100",2022-11-12T02:15:39.981Z,166821933998100
"""Breezy @ _8CiDq023a"" bets 100",2022-11-12T02:15:38.371Z,166821933837100
"Turn: 5♦, J♠, Q♦ [4♦]",2022-11-12T02:15:34.704Z,166821933470400
"""Rico @ MW-qs3vGhg"" checks",2022-11-12T02:15:33.804Z,166821933380400
"""Breezy @ _8CiDq023a"" checks",2022-11-12T02:15:31.418Z,166821933141800
"Flop:  [5♦, J♠, Q♦]",2022-11-12T02:15:28.900Z,166821932890000
"""Breezy @ _8CiDq023a"" checks",2022-11-12T02:15:28.012Z,166821932801200
"""Jean @ QLHzuQRo1C"" folds",2022-11-12T02:15:18.465Z,166821931846500
"""Timmay @ lnUGOb5yOF"" folds",2022-11-12T02:15:15.276Z,166821931527600
"""Mag Kirwin @ _wcrUQOF6U"" folds",2022-11-12T02:15:10.089Z,166821931008900
"""Rico @ MW-qs3vGhg"" calls 100",2022-11-12T02:15:09.183Z,166821930918300
"""Breezy @ _8CiDq023a"" posts a big blind of 100",2022-11-12T02:15:05.590Z,166821930559008
"""Jean @ QLHzuQRo1C"" posts a small blind of 50",2022-11-12T02:15:05.590Z,166821930559007
"Player stacks: #1 ""Rico @ MW-qs3vGhg"" (2562) | #2 ""Mag Kirwin @ _wcrUQOF6U"" (18824) | #5 ""Timmay @ lnUGOb5yOF"" (8436) | #9 ""Jean @ QLHzuQRo1C"" (10928) | #10 ""Breezy @ _8CiDq023a"" (19137)",2022-11-12T02:15:05.590Z,166821930559001
"-- starting hand #59  (No Limit Texas Hold'em) (dealer: ""Timmay @ lnUGOb5yOF"") --",2022-11-12T02:15:05.590Z,166821930559000
"-- ending hand #58 --",2022-11-12T02:14:59.575Z,166821929957501
"""Rico @ MW-qs3vGhg"" collected 2562 from pot with Two Pair, Q's & 9's (combination: Q♥, Q♣, 9♥, 9♠, 10♣)",2022-11-12T02:14:59.575Z,166821929957500
"River: 2♦, 6♣, Q♣, 10♣ [9♠]",2022-11-12T02:14:55.487Z,166821929548700
"Turn: 2♦, 6♣, Q♣ [10♣]",2022-11-12T02:14:51.478Z,166821929147800
"""Jean @ QLHzuQRo1C"" shows a 2♠, Q♠.",2022-11-12T02:14:47.473Z,166821928747301
"""Rico @ MW-qs3vGhg"" shows a 9♥, Q♥.",2022-11-12T02:14:47.473Z,166821928747300
"""Jean @ QLHzuQRo1C"" calls 1156",2022-11-12T02:14:46.590Z,166821928659000
"""Rico @ MW-qs3vGhg"" raises to 1156 and go all in",2022-11-12T02:14:43.241Z,166821928324100
"""Jean @ QLHzuQRo1C"" bets 250",2022-11-12T02:14:39.199Z,166821927919900
"Flop:  [2♦, 6♣, Q♣]",2022-11-12T02:14:32.871Z,166821927287100
"""Jean @ QLHzuQRo1C"" checks",2022-11-12T02:14:31.975Z,166821927197500
"""Timmay @ lnUGOb5yOF"" folds",2022-11-12T02:14:26.406Z,166821926640600
"""Mag Kirwin @ _wcrUQOF6U"" folds",2022-11-12T02:14:22.058Z,166821926205800
"""Rico @ MW-qs3vGhg"" calls 100",2022-11-12T02:14:21.192Z,166821926119200
