entry,at,order
"The player ""Malarkey @ yzkS3efRJS"" quits the game with a stack of 0.00.",2021-10-10T06:38:35.184Z,163384791518400
"-- ending hand #405 --",2021-10-10T06:38:29.155Z,163384790915501
"""Deckhole @ 5Wa3y-CeG8"" collected 20.82 from pot with Full House, 10's over 8's (combination: 10♠, 10♦, 10♥, 8♣, 8♠)",2021-10-10T06:38:29.155Z,163384790915500
"River: 10♠, 10♦, 10♥, 3♠ [J♥]",2021-10-10T06:38:25.127Z,163384790512700
"Turn: 10♠, 10♦, 10♥ [3♠]",2021-10-10T06:38:21.106Z,163384790110600
"""Malarkey @ yzkS3efRJS"" shows a A♦, 4♠.",2021-10-10T06:38:17.072Z,163384789707201
"""Deckhole @ 5Wa3y-CeG8"" shows a 8♣, 8♠.",2021-10-10T06:38:17.072Z,163384789707200
"Some players choose to not run it twice.",2021-10-10T06:38:16.241Z,163384789624101
"""Malarkey @ yzkS3efRJS"" chooses to not run it twice.",2021-10-10T06:38:16.241Z,163384789624100
"Remaining players decide whether to run it twice.",2021-10-10T06:38:16.187Z,163384789618701
"""Malarkey @ yzkS3efRJS"" calls 9.51 and go all in",2021-10-10T06:38:16.187Z,163384789618700
"""Deckhole @ 5Wa3y-CeG8"" raises to 9.51 and go all in",2021-10-10T06:38:08.715Z,163384788871500
"""Malarkey @ yzkS3efRJS"" bets 1.80",2021-10-10T06:37:56.672Z,163384787667200
"Flop:  [10♠, 10♦, 10♥]",2021-10-10T06:37:53.230Z,163384787323000
"""Deckhole @ 5Wa3y-CeG8"" calls 0.90",2021-10-10T06:37:52.423Z,163384787242300
"""Malarkey @ yzkS3efRJS"" raises to 0.90",2021-10-10T06:37:29.926Z,163384784992600
"""Deckhole @ 5Wa3y-CeG8"" raises to 0.30",2021-10-10T06:37:27.531Z,163384784753100
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.10",2021-10-10T06:37:24.875Z,163384784487505
"""Deckhole @ 5Wa3y-CeG8"" posts a small blind of 0.05",2021-10-10T06:37:24.875Z,163384784487504
"Player stacks: #1 ""Deckhole @ 5Wa3y-CeG8"" (133.88) | #3 ""Malarkey @ yzkS3efRJS"" (10.41)",2021-10-10T06:37:24.875Z,163384784487501
"-- starting hand #405  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 5Wa3y-CeG8"") --",2021-10-10T06:37:24.875Z,163384784487500
"""Deckhole @ 5Wa3y-CeG8"" shows a K♠, 6♦.",2021-10-10T06:37:22.713Z,163384784271300
"-- ending hand #404 --",2021-10-10T06:37:21.250Z,163384784125002
"""Deckhole @ 5Wa3y-CeG8"" collected 2.00 from pot",2021-10-10T06:37:21.250Z,163384784125001
"Uncalled bet of 0.50 returned to ""Deckhole @ 5Wa3y-CeG8""",2021-10-10T06:37:21.250Z,163384784125000
"""Malarkey @ yzkS3efRJS"" folds",2021-10-10T06:37:20.441Z,163384784044100
"""Deckhole @ 5Wa3y-CeG8"" bets 0.50",2021-10-10T06:37:19.579Z,163384783957900
"Flop:  [K♥, 10♥, K♦]",2021-10-10T06:37:12.472Z,163384783247200
"""Malarkey @ yzkS3efRJS"" calls 1.00",2021-10-10T06:37:11.665Z,163384783166500
"""Deckhole @ 5Wa3y-CeG8"" raises to 1.00",2021-10-10T06:37:10.775Z,163384783077500
"""Malarkey @ yzkS3efRJS"" raises to 0.30",2021-10-10T06:37:07.185Z,163384782718500
"""Deckhole @ 5Wa3y-CeG8"" posts a big blind of 0.10",2021-10-10T06:37:04.716Z,163384782471605
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.05",2021-10-10T06:37:04.716Z,163384782471604
"Player stacks: #1 ""Deckhole @ 5Wa3y-CeG8"" (132.88) | #3 ""Malarkey @ yzkS3efRJS"" (11.41)",2021-10-10T06:37:04.716Z,163384782471601
"-- starting hand #404  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-10-10T06:37:04.716Z,163384782471600
"-- ending hand #403 --",2021-10-10T06:37:01.793Z,163384782179302
"""Deckhole @ 5Wa3y-CeG8"" collected 0.20 from pot",2021-10-10T06:37:01.793Z,163384782179301
"Uncalled bet of 0.20 returned to ""Deckhole @ 5Wa3y-CeG8""",2021-10-10T06:37:01.793Z,163384782179300
"""Malarkey @ yzkS3efRJS"" folds",2021-10-10T06:37:00.983Z,163384782098300
"""Deckhole @ 5Wa3y-CeG8"" raises to 0.30",2021-10-10T06:37:00.123Z,163384782012300
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.10",2021-10-10T06:36:57.217Z,163384781721705
"""Deckhole @ 5Wa3y-CeG8"" posts a small blind of 0.05",2021-10-10T06:36:57.217Z,163384781721704
"Player stacks: #1 ""Deckhole @ 5Wa3y-CeG8"" (132.78) | #3 ""Malarkey @ yzkS3efRJS"" (11.51)",2021-10-10T06:36:57.217Z,163384781721701
"-- starting hand #403  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 5Wa3y-CeG8"") --",2021-10-10T06:36:57.217Z,163384781721700
"-- ending hand #402 --",2021-10-10T06:36:54.294Z,163384781429402
"""Deckhole @ 5Wa3y-CeG8"" collected 0.10 from pot",2021-10-10T06:36:54.294Z,163384781429401
"Uncalled bet of 0.05 returned to ""Deckhole @ 5Wa3y-CeG8""",2021-10-10T06:36:54.294Z,163384781429400
"""Malarkey @ yzkS3efRJS"" folds",2021-10-10T06:36:53.488Z,163384781348800
"""Deckhole @ 5Wa3y-CeG8"" posts a big blind of 0.10",2021-10-10T06:36:51.318Z,163384781131805
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.05",2021-10-10T06:36:51.318Z,163384781131804
"Player stacks: #1 ""Deckhole @ 5Wa3y-CeG8"" (132.73) | #3 ""Malarkey @ yzkS3efRJS"" (11.56)",2021-10-10T06:36:51.318Z,163384781131801
"-- starting hand #402  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-10-10T06:36:51.318Z,163384781131800
"-- ending hand #401 --",2021-10-10T06:36:48.368Z,163384780836802
"""Malarkey @ yzkS3efRJS"" collected 0.10 from pot",2021-10-10T06:36:48.368Z,163384780836801
"Uncalled bet of 0.05 returned to ""Malarkey @ yzkS3efRJS""",2021-10-10T06:36:48.368Z,163384780836800
"""Deckhole @ 5Wa3y-CeG8"" folds",2021-10-10T06:36:47.562Z,163384780756200
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.10",2021-10-10T06:36:46.099Z,163384780609905
"""Deckhole @ 5Wa3y-CeG8"" posts a small blind of 0.05",2021-10-10T06:36:46.099Z,163384780609904
"Player stacks: #1 ""Deckhole @ 5Wa3y-CeG8"" (132.78) | #3 ""Malarkey @ yzkS3efRJS"" (11.51)",2021-10-10T06:36:46.099Z,163384780609901
"-- starting hand #401  (No Limit Texas Hold'em) (dealer: ""Deckhole @ 5Wa3y-CeG8"") --",2021-10-10T06:36:46.099Z,163384780609900
"-- ending hand #400 --",2021-10-10T06:36:43.180Z,163384780318002
"""Malarkey @ yzkS3efRJS"" collected 1.80 from pot",2021-10-10T06:36:43.180Z,163384780318001
"Uncalled bet of 1.80 returned to ""Malarkey @ yzkS3efRJS""",2021-10-10T06:36:43.180Z,163384780318000
"""Deckhole @ 5Wa3y-CeG8"" folds",2021-10-10T06:36:42.371Z,163384780237100
"""Malarkey @ yzkS3efRJS"" bets 1.80",2021-10-10T06:36:40.877Z,163384780087700
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-10-10T06:36:36.287Z,163384779628700
"River: 7♦, 4♦, K♥, 8♣ [A♥]",2021-10-10T06:36:32.278Z,163384779227800
"""Deckhole @ 5Wa3y-CeG8"" calls 0.60",2021-10-10T06:36:31.470Z,163384779147000
"""Malarkey @ yzkS3efRJS"" bets 0.60",2021-10-10T06:36:30.187Z,163384779018700
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-10-10T06:36:26.490Z,163384778649000
"Turn: 7♦, 4♦, K♥ [8♣]",2021-10-10T06:36:25.030Z,163384778503000
"""Malarkey @ yzkS3efRJS"" checks",2021-10-10T06:36:24.223Z,163384778422300
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-10-10T06:36:21.712Z,163384778171200
"Flop:  [7♦, 4♦, K♥]",2021-10-10T06:36:19.673Z,163384777967300
"""Deckhole @ 5Wa3y-CeG8"" calls 0.30",2021-10-10T06:36:18.864Z,163384777886400
"""Malarkey @ yzkS3efRJS"" raises to 0.30",2021-10-10T06:36:16.674Z,163384777667400
"""Deckhole @ 5Wa3y-CeG8"" posts a big blind of 0.10",2021-10-10T06:36:13.398Z,163384777339805
