entry,at,order
"The player ""Deckhole @ 5Wa3y-CeG8"" passed the room ownership to ""iptree @ xphtV7FNQJ"".",2021-10-10T05:02:38.352Z,163384215835200
"The player ""Timmay @ SHXEM-YNR6"" quits the game with a stack of 0.",2021-10-10T04:51:39.419Z,163384149941900
"-- ending hand #280 --",2021-10-10T04:51:33.384Z,163384149338401
"""iptree @ xphtV7FNQJ"" collected 79872 from pot with Three of a Kind, 8's (combination: 8♠, 8♥, 8♣, A♦, 10♣)",2021-10-10T04:51:33.384Z,163384149338400
"River: 6♥, 2♠, 8♥, 10♣ [8♣]",2021-10-10T04:51:29.349Z,163384148934900
"Turn: 6♥, 2♠, 8♥ [10♣]",2021-10-10T04:51:25.313Z,163384148531300
"""iptree @ xphtV7FNQJ"" shows a 8♠, A♦.",2021-10-10T04:51:21.129Z,163384148112901
"""Timmay @ SHXEM-YNR6"" shows a 8♦, 9♥.",2021-10-10T04:51:21.129Z,163384148112900
"""iptree @ xphtV7FNQJ"" calls 37311",2021-10-10T04:51:20.318Z,163384148031800
"""Timmay @ SHXEM-YNR6"" raises to 37311 and go all in",2021-10-10T04:50:56.417Z,163384145641700
"""iptree @ xphtV7FNQJ"" raises to 13062",2021-10-10T04:50:46.050Z,163384144605000
"""Timmay @ SHXEM-YNR6"" bets 3650",2021-10-10T04:50:36.775Z,163384143677500
"Flop:  [6♥, 2♠, 8♥]",2021-10-10T04:50:28.321Z,163384142832100
"""Timmay @ SHXEM-YNR6"" calls 2575",2021-10-10T04:50:27.513Z,163384142751300
"""iptree @ xphtV7FNQJ"" raises to 2575",2021-10-10T04:50:25.536Z,163384142553600
"""Timmay @ SHXEM-YNR6"" posts a big blind of 1000",2021-10-10T04:50:17.713Z,163384141771307
"""iptree @ xphtV7FNQJ"" posts a small blind of 500",2021-10-10T04:50:17.713Z,163384141771306
"""iptree @ xphtV7FNQJ"" posts an ante of 50",2021-10-10T04:50:17.713Z,163384141771305
"""Timmay @ SHXEM-YNR6"" posts an ante of 50",2021-10-10T04:50:17.713Z,163384141771304
"Player stacks: #2 ""Timmay @ SHXEM-YNR6"" (39936) | #7 ""iptree @ xphtV7FNQJ"" (50064)",2021-10-10T04:50:17.713Z,163384141771301
"-- starting hand #280  (No Limit Texas Hold'em) (dealer: ""iptree @ xphtV7FNQJ"") --",2021-10-10T04:50:17.713Z,163384141771300
"""iptree @ xphtV7FNQJ"" shows a 5♥, 2♠.",2021-10-10T04:50:14.974Z,163384141497400
"-- ending hand #279 --",2021-10-10T04:50:14.069Z,163384141406902
"""Timmay @ SHXEM-YNR6"" collected 2100 from pot",2021-10-10T04:50:14.069Z,163384141406901
"Uncalled bet of 2100 returned to ""Timmay @ SHXEM-YNR6""",2021-10-10T04:50:14.069Z,163384141406900
"""iptree @ xphtV7FNQJ"" folds",2021-10-10T04:50:13.250Z,163384141325000
"""Timmay @ SHXEM-YNR6"" raises to 3100",2021-10-10T04:50:10.717Z,163384141071700
"""iptree @ xphtV7FNQJ"" posts a big blind of 1000",2021-10-10T04:50:05.979Z,163384140597907
"""Timmay @ SHXEM-YNR6"" posts a small blind of 500",2021-10-10T04:50:05.979Z,163384140597906
"""iptree @ xphtV7FNQJ"" posts an ante of 50",2021-10-10T04:50:05.979Z,163384140597905
"""Timmay @ SHXEM-YNR6"" posts an ante of 50",2021-10-10T04:50:05.979Z,163384140597904
"Player stacks: #2 ""Timmay @ SHXEM-YNR6"" (38886) | #7 ""iptree @ xphtV7FNQJ"" (51114)",2021-10-10T04:50:05.979Z,163384140597901
"-- starting hand #279  (No Limit Texas Hold'em) (dealer: ""Timmay @ SHXEM-YNR6"") --",2021-10-10T04:50:05.979Z,163384140597900
"""iptree @ xphtV7FNQJ"" shows a 5♥, 2♥.",2021-10-10T04:50:04.514Z,163384140451400
"""Timmay @ SHXEM-YNR6"" shows a A♠, 10♦.",2021-10-10T04:50:02.682Z,163384140268200
"-- ending hand #278 --",2021-10-10T04:50:01.630Z,163384140163002
"""Timmay @ SHXEM-YNR6"" collected 1100 from pot",2021-10-10T04:50:01.630Z,163384140163001
