entry,at,order
"The player ""Deckhole @ hqlKQ6Qj8d"" passed the room ownership to ""Malarkey @ yzkS3efRJS"".",2021-08-14T08:25:04.205Z,162892950420500
"The player ""Deckhole @ hqlKQ6Qj8d"" quits the game with a stack of 0.00.",2021-08-14T07:52:23.266Z,162892754326600
"-- ending hand #375 --",2021-08-14T07:52:17.221Z,162892753722101
"""Malarkey @ yzkS3efRJS"" collected 376.16 from pot with Straight, 8 High (combination: 8♣, 7♦, 6♠, 5♣, 4♠)",2021-08-14T07:52:17.221Z,162892753722100
"River: 5♣, 7♦, 3♣, J♠ [8♣]",2021-08-14T07:52:13.190Z,162892753319000
"Turn: 5♣, 7♦, 3♣ [J♠]",2021-08-14T07:52:09.166Z,162892752916600
"""Deckhole @ hqlKQ6Qj8d"" shows a 5♦, 3♥.",2021-08-14T07:52:05.127Z,162892752512701
"""Malarkey @ yzkS3efRJS"" shows a 4♠, 6♠.",2021-08-14T07:52:05.127Z,162892752512700
"Some players choose to not run it twice.",2021-08-14T07:52:04.321Z,162892752432101
"""Malarkey @ yzkS3efRJS"" chooses to not run it twice.",2021-08-14T07:52:04.321Z,162892752432100
"Remaining players decide whether to run it twice.",2021-08-14T07:52:04.267Z,162892752426701
"""Malarkey @ yzkS3efRJS"" raises to 186.21 and go all in",2021-08-14T07:52:04.267Z,162892752426700
"""Deckhole @ hqlKQ6Qj8d"" raises to 186.21 and go all in",2021-08-14T07:52:00.021Z,162892752002100
"""Malarkey @ yzkS3efRJS"" raises to 103.16",2021-08-14T07:51:49.341Z,162892750934100
"""Deckhole @ hqlKQ6Qj8d"" raises to 33.14",2021-08-14T07:51:37.590Z,162892749759000
"""Malarkey @ yzkS3efRJS"" raises to 9.80",2021-08-14T07:51:34.957Z,162892749495700
"""Deckhole @ hqlKQ6Qj8d"" bets 2.80",2021-08-14T07:51:26.804Z,162892748680400
"Flop:  [5♣, 7♦, 3♣]",2021-08-14T07:51:21.884Z,162892748188400
"""Malarkey @ yzkS3efRJS"" calls 1.87",2021-08-14T07:51:21.076Z,162892748107600
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.87",2021-08-14T07:51:18.215Z,162892747821500
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-08-14T07:51:13.630Z,162892747363000
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-14T07:51:10.291Z,162892747029105
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-08-14T07:51:10.291Z,162892747029104
