entry,at,order
"The player ""Baxter @ pUWVTl3lN1"" quits the game with a stack of 30.14.",2021-02-20T05:13:00.976Z,161379798098100
"""Deckhole @ hqlKQ6Qj8d"" shows a 7♣, 5♠.",2021-02-20T05:10:51.749Z,161379785175000
"""K. Godel @ TN11URmFSv"" shows a 6♥, 4♦.",2021-02-20T05:10:51.657Z,161379785165800
"-- ending hand #83 --",2021-02-20T05:10:50.341Z,161379785034202
"""Deckhole @ hqlKQ6Qj8d"" collected 0.60 from pot",2021-02-20T05:10:50.341Z,161379785034201
"Uncalled bet of 0.30 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-02-20T05:10:50.341Z,161379785034200
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-02-20T05:10:49.536Z,161379784953600
"""Deckhole @ hqlKQ6Qj8d"" bets 0.30",2021-02-20T05:10:48.603Z,161379784860400
"Flop:  [5♣, 9♠, 3♥]",2021-02-20T05:10:43.823Z,161379784382400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-20T05:10:43.013Z,161379784301400
"""Baxter @ pUWVTl3lN1"" folds",2021-02-20T05:10:39.888Z,161379783988900
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-02-20T05:10:36.035Z,161379783603600
"""K. Godel @ TN11URmFSv"" folds",2021-02-20T05:10:32.882Z,161379783288300
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-20T05:10:32.499Z,161379783250000
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-02-20T05:10:26.600Z,161379782660107
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-02-20T05:10:26.600Z,161379782660106
"Your hand is 6♥, 4♦",2021-02-20T05:10:26.600Z,161379782660103
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (99.30) | #4 ""K. Godel @ TN11URmFSv"" (122.83) | #6 ""LLATFFEJ @ cp8PZiuFnj"" (117.63) | #9 ""Baxter @ pUWVTl3lN1"" (30.24)",2021-02-20T05:10:26.600Z,161379782660101
"-- starting hand #83  (No Limit Texas Hold'em) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-02-20T05:10:26.600Z,161379782660100
"""LLATFFEJ @ cp8PZiuFnj"" shows a 6♠, 7♦.",2021-02-20T05:10:20.828Z,161379782082900
"-- ending hand #82 --",2021-02-20T05:10:19.977Z,161379781997802
"""Deckhole @ hqlKQ6Qj8d"" collected 5.60 from pot",2021-02-20T05:10:19.977Z,161379781997801
"Uncalled bet of 4.20 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-02-20T05:10:19.977Z,161379781997800
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-02-20T05:10:19.169Z,161379781917000
"""Deckhole @ hqlKQ6Qj8d"" bets 4.20",2021-02-20T05:10:13.260Z,161379781326100
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:10:06.925Z,161379780692600
"Turn: 6♣, 9♠, 9♥ [3♣]",2021-02-20T05:10:01.904Z,161379780190600
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.40",2021-02-20T05:10:01.095Z,161379780109600
"""K. Godel @ TN11URmFSv"" folds",2021-02-20T05:09:52.939Z,161379779294000
"""Deckhole @ hqlKQ6Qj8d"" bets 1.40",2021-02-20T05:09:38.565Z,161379777856600
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:09:23.535Z,161379776353600
"Flop:  [6♣, 9♠, 9♥]",2021-02-20T05:09:18.965Z,161379775896600
"""Baxter @ pUWVTl3lN1"" folds",2021-02-20T05:09:18.155Z,161379775815600
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.85",2021-02-20T05:09:15.910Z,161379775591100
"""K. Godel @ TN11URmFSv"" calls 0.85",2021-02-20T05:09:14.991Z,161379775499100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-02-20T05:08:57.974Z,161379773797500
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.25",2021-02-20T05:08:54.621Z,161379773462307
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.10",2021-02-20T05:08:54.621Z,161379773462306
"Your hand is J♥, A♥",2021-02-20T05:08:54.621Z,161379773462203
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (95.95) | #4 ""K. Godel @ TN11URmFSv"" (123.68) | #6 ""LLATFFEJ @ cp8PZiuFnj"" (119.88) | #9 ""Baxter @ pUWVTl3lN1"" (30.49)",2021-02-20T05:08:54.621Z,161379773462201
"-- starting hand #82  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-02-20T05:08:54.621Z,161379773462200
"-- ending hand #81 --",2021-02-20T05:08:48.607Z,161379772860903
"""LLATFFEJ @ cp8PZiuFnj"" shows a 5♣, 9♦.",2021-02-20T05:08:48.607Z,161379772860902
"""Baxter @ pUWVTl3lN1"" collected 0.60 from pot with Two Pair, J's & 10's (combination: J♠, J♥, 10♣, 10♦, K♣)",2021-02-20T05:08:48.607Z,161379772860901
"""Baxter @ pUWVTl3lN1"" shows a J♠, 3♣.",2021-02-20T05:08:48.607Z,161379772860900
"""Baxter @ pUWVTl3lN1"" checks",2021-02-20T05:08:47.800Z,161379772780100
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:08:43.483Z,161379772348400
"River: K♣, 10♣, 10♦, 3♦ [J♥]",2021-02-20T05:08:39.430Z,161379771943400
"""Baxter @ pUWVTl3lN1"" checks",2021-02-20T05:08:38.624Z,161379771862500
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:08:36.738Z,161379771673900
"Turn: K♣, 10♣, 10♦ [3♦]",2021-02-20T05:08:34.151Z,161379771415200
"""Baxter @ pUWVTl3lN1"" checks",2021-02-20T05:08:33.342Z,161379771334300
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:08:27.691Z,161379770769200
"Flop:  [K♣, 10♣, 10♦]",2021-02-20T05:08:24.598Z,161379770459900
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-02-20T05:08:23.791Z,161379770379100
"""K. Godel @ TN11URmFSv"" folds",2021-02-20T05:08:22.523Z,161379770252300
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-02-20T05:08:13.294Z,161379769329500
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-02-20T05:08:09.463Z,161379768946400
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.25",2021-02-20T05:08:06.597Z,161379768659907
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-02-20T05:08:06.597Z,161379768659906
"Your hand is 6♥, 4♦",2021-02-20T05:08:06.597Z,161379768659903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (95.95) | #4 ""K. Godel @ TN11URmFSv"" (123.78) | #6 ""LLATFFEJ @ cp8PZiuFnj"" (120.13) | #9 ""Baxter @ pUWVTl3lN1"" (30.14)",2021-02-20T05:08:06.597Z,161379768659901
"-- starting hand #81  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-02-20T05:08:06.597Z,161379768659900
"-- ending hand #80 --",2021-02-20T05:08:00.654Z,161379768065502
"""LLATFFEJ @ cp8PZiuFnj"" collected 4.00 from pot",2021-02-20T05:08:00.654Z,161379768065501
"Uncalled bet of 2.00 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-02-20T05:08:00.654Z,161379768065500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-02-20T05:07:59.807Z,161379767980700
"""Baxter @ pUWVTl3lN1"" folds",2021-02-20T05:07:55.560Z,161379767556100
"""LLATFFEJ @ cp8PZiuFnj"" bets 2.00",2021-02-20T05:07:48.934Z,161379766893500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-20T05:07:45.654Z,161379766565500
"Flop:  [K♣, 2♣, 4♣]",2021-02-20T05:07:42.003Z,161379766200400
"""Baxter @ pUWVTl3lN1"" calls 1.25",2021-02-20T05:07:41.195Z,161379766119500
"""LLATFFEJ @ cp8PZiuFnj"" calls 1.25",2021-02-20T05:07:37.580Z,161379765758100
"""K. Godel @ TN11URmFSv"" folds",2021-02-20T05:07:35.752Z,161379765575300
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.25",2021-02-20T05:07:28.071Z,161379764807200
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-02-20T05:07:24.916Z,161379764491700
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-02-20T05:07:22.064Z,161379764206500
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-02-20T05:07:18.168Z,161379763816907
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-02-20T05:07:18.168Z,161379763816906
"Your hand is 8♠, 2♥",2021-02-20T05:07:18.168Z,161379763816903
