entry,at,order
"The player ""Deckhole @ 5Wa3y-CeG8"" passed the room ownership to ""K Godel @ Di5cxDUTF9"".",2021-10-02T06:19:09.690Z,163315554969000
"The player ""Breezy @ KEzzjz_U0z"" quits the game with a stack of 0.",2021-10-02T05:25:40.390Z,163315234039000
"-- ending hand #310 --",2021-10-02T05:25:34.371Z,163315233437101
"""K Godel @ Di5cxDUTF9"" collected 35840 from pot with Two Pair, A's & K's (combination: A♦, A♠, K♥, K♣, 10♠)",2021-10-02T05:25:34.371Z,163315233437100
"River: A♠, K♥, 10♠, K♣ [4♠]",2021-10-02T05:25:30.344Z,163315233034400
"Turn: A♠, K♥, 10♠ [K♣]",2021-10-02T05:25:26.333Z,163315232633300
"Flop:  [A♠, K♥, 10♠]",2021-10-02T05:25:22.284Z,163315232228400
"""Breezy @ KEzzjz_U0z"" shows a 7♥, 6♥.",2021-10-02T05:25:18.267Z,163315231826701
"""K Godel @ Di5cxDUTF9"" shows a 2♣, A♦.",2021-10-02T05:25:18.267Z,163315231826700
"""K Godel @ Di5cxDUTF9"" calls 17920",2021-10-02T05:25:17.461Z,163315231746100
"""Breezy @ KEzzjz_U0z"" raises to 17920 and go all in",2021-10-02T05:25:13.946Z,163315231394600
"""K Godel @ Di5cxDUTF9"" raises to 3000",2021-10-02T05:25:05.827Z,163315230582700
"""Breezy @ KEzzjz_U0z"" posts a big blind of 1000",2021-10-02T05:25:00.918Z,163315230091805
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2021-10-02T05:25:00.918Z,163315230091804
"Your hand is 2♣, A♦",2021-10-02T05:25:00.918Z,163315230091802
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (92080) | #10 ""Breezy @ KEzzjz_U0z"" (17920)",2021-10-02T05:25:00.918Z,163315230091801
"-- starting hand #310  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-02T05:25:00.918Z,163315230091800
"-- ending hand #309 --",2021-10-02T05:24:58.002Z,163315229800202
"""Breezy @ KEzzjz_U0z"" collected 6000 from pot",2021-10-02T05:24:58.002Z,163315229800201
"Uncalled bet of 2000 returned to ""Breezy @ KEzzjz_U0z""",2021-10-02T05:24:58.002Z,163315229800200
"""K Godel @ Di5cxDUTF9"" folds",2021-10-02T05:24:57.187Z,163315229718700
"""Breezy @ KEzzjz_U0z"" bets 2000",2021-10-02T05:24:55.140Z,163315229514000
"""K Godel @ Di5cxDUTF9"" checks",2021-10-02T05:24:51.459Z,163315229145900
"Flop:  [K♠, 6♠, 7♣]",2021-10-02T05:24:49.090Z,163315228909000
"""K Godel @ Di5cxDUTF9"" calls 3000",2021-10-02T05:24:48.281Z,163315228828100
"""Breezy @ KEzzjz_U0z"" raises to 3000",2021-10-02T05:24:45.594Z,163315228559400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2021-10-02T05:24:42.050Z,163315228205005
"""Breezy @ KEzzjz_U0z"" posts a small blind of 500",2021-10-02T05:24:42.050Z,163315228205004
"Your hand is J♥, 3♥",2021-10-02T05:24:42.050Z,163315228205002
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (95080) | #10 ""Breezy @ KEzzjz_U0z"" (14920)",2021-10-02T05:24:42.050Z,163315228205001
"-- starting hand #309  (No Limit Texas Hold'em) (dealer: ""Breezy @ KEzzjz_U0z"") --",2021-10-02T05:24:42.050Z,163315228205000
"-- ending hand #308 --",2021-10-02T05:24:39.126Z,163315227912602
"""K Godel @ Di5cxDUTF9"" collected 18000 from pot",2021-10-02T05:24:39.126Z,163315227912601
"Uncalled bet of 14920 returned to ""K Godel @ Di5cxDUTF9""",2021-10-02T05:24:39.126Z,163315227912600
"""Breezy @ KEzzjz_U0z"" folds",2021-10-02T05:24:38.317Z,163315227831700
"""K Godel @ Di5cxDUTF9"" bets 14920",2021-10-02T05:24:37.162Z,163315227716200
"""Breezy @ KEzzjz_U0z"" checks",2021-10-02T05:24:25.987Z,163315226598700
"Turn: 10♠, J♦, K♠ [5♥]",2021-10-02T05:24:24.111Z,163315226411100
"""Breezy @ KEzzjz_U0z"" calls 6000",2021-10-02T05:24:23.306Z,163315226330600
"""K Godel @ Di5cxDUTF9"" bets 6000",2021-10-02T05:23:49.946Z,163315222994600
"""Breezy @ KEzzjz_U0z"" checks",2021-10-02T05:23:40.632Z,163315222063200
"Flop:  [10♠, J♦, K♠]",2021-10-02T05:23:36.567Z,163315221656700
"""Breezy @ KEzzjz_U0z"" calls 3000",2021-10-02T05:23:35.756Z,163315221575600
"""K Godel @ Di5cxDUTF9"" raises to 3000",2021-10-02T05:23:32.083Z,163315221208300
"""Breezy @ KEzzjz_U0z"" posts a big blind of 1000",2021-10-02T05:23:27.616Z,163315220761605
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2021-10-02T05:23:27.616Z,163315220761604
"Your hand is 5♠, 9♠",2021-10-02T05:23:27.616Z,163315220761602
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (86080) | #10 ""Breezy @ KEzzjz_U0z"" (23920)",2021-10-02T05:23:27.616Z,163315220761601
"-- starting hand #308  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-02T05:23:27.616Z,163315220761600
"-- ending hand #307 --",2021-10-02T05:23:24.694Z,163315220469402
"""Breezy @ KEzzjz_U0z"" collected 6000 from pot",2021-10-02T05:23:24.694Z,163315220469401
"Uncalled bet of 2000 returned to ""Breezy @ KEzzjz_U0z""",2021-10-02T05:23:24.694Z,163315220469400
"""K Godel @ Di5cxDUTF9"" folds",2021-10-02T05:23:23.889Z,163315220388900
"""Breezy @ KEzzjz_U0z"" bets 2000",2021-10-02T05:23:21.241Z,163315220124100
"""K Godel @ Di5cxDUTF9"" checks",2021-10-02T05:23:14.878Z,163315219487800
"Flop:  [2♣, 9♣, 7♣]",2021-10-02T05:23:11.084Z,163315219108400
"""K Godel @ Di5cxDUTF9"" calls 3000",2021-10-02T05:23:10.276Z,163315219027600
"""Breezy @ KEzzjz_U0z"" raises to 3000",2021-10-02T05:23:04.701Z,163315218470100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2021-10-02T05:23:01.767Z,163315218176705
"""Breezy @ KEzzjz_U0z"" posts a small blind of 500",2021-10-02T05:23:01.767Z,163315218176704
"Your hand is J♦, 6♦",2021-10-02T05:23:01.767Z,163315218176702
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (89080) | #10 ""Breezy @ KEzzjz_U0z"" (20920)",2021-10-02T05:23:01.767Z,163315218176701
"-- starting hand #307  (No Limit Texas Hold'em) (dealer: ""Breezy @ KEzzjz_U0z"") --",2021-10-02T05:23:01.767Z,163315218176700
"-- ending hand #306 --",2021-10-02T05:22:58.850Z,163315217885002
"""K Godel @ Di5cxDUTF9"" collected 10000 from pot",2021-10-02T05:22:58.850Z,163315217885001
"Uncalled bet of 7500 returned to ""K Godel @ Di5cxDUTF9""",2021-10-02T05:22:58.850Z,163315217885000
"""Breezy @ KEzzjz_U0z"" folds",2021-10-02T05:22:58.042Z,163315217804200
"""K Godel @ Di5cxDUTF9"" bets 7500",2021-10-02T05:22:46.168Z,163315216616800
"""Breezy @ KEzzjz_U0z"" checks",2021-10-02T05:22:39.907Z,163315215990700
"River: K♠, K♦, 2♥, 3♥ [7♥]",2021-10-02T05:22:37.504Z,163315215750400
"""K Godel @ Di5cxDUTF9"" calls 2000",2021-10-02T05:22:36.699Z,163315215669900
"""Breezy @ KEzzjz_U0z"" bets 2000",2021-10-02T05:22:32.466Z,163315215246600
"Turn: K♠, K♦, 2♥ [3♥]",2021-10-02T05:22:24.805Z,163315214480500
"""K Godel @ Di5cxDUTF9"" checks",2021-10-02T05:22:24.000Z,163315214400000
"""Breezy @ KEzzjz_U0z"" checks",2021-10-02T05:22:20.876Z,163315214087600
"Flop:  [K♠, K♦, 2♥]",2021-10-02T05:22:15.254Z,163315213525400
"""Breezy @ KEzzjz_U0z"" calls 3000",2021-10-02T05:22:14.172Z,163315213417200
"""K Godel @ Di5cxDUTF9"" raises to 3000",2021-10-02T05:22:09.271Z,163315212927100
"""Breezy @ KEzzjz_U0z"" posts a big blind of 1000",2021-10-02T05:22:05.341Z,163315212534105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2021-10-02T05:22:05.341Z,163315212534104
"Your hand is 6♠, 9♣",2021-10-02T05:22:05.341Z,163315212534102
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (84080) | #10 ""Breezy @ KEzzjz_U0z"" (25920)",2021-10-02T05:22:05.341Z,163315212534101
"-- starting hand #306  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-02T05:22:05.341Z,163315212534100
"-- ending hand #305 --",2021-10-02T05:22:02.419Z,163315212241902
"""Breezy @ KEzzjz_U0z"" collected 6000 from pot",2021-10-02T05:22:02.419Z,163315212241901
"Uncalled bet of 2000 returned to ""Breezy @ KEzzjz_U0z""",2021-10-02T05:22:02.419Z,163315212241900
"""K Godel @ Di5cxDUTF9"" folds",2021-10-02T05:22:01.608Z,163315212160800
"""Breezy @ KEzzjz_U0z"" bets 2000",2021-10-02T05:21:57.079Z,163315211707900
"""K Godel @ Di5cxDUTF9"" checks",2021-10-02T05:21:53.074Z,163315211307400
"Flop:  [7♥, 8♦, A♠]",2021-10-02T05:21:46.767Z,163315210676700
"""K Godel @ Di5cxDUTF9"" calls 3000",2021-10-02T05:21:45.928Z,163315210592800
"""Breezy @ KEzzjz_U0z"" raises to 3000",2021-10-02T05:21:37.185Z,163315209718500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2021-10-02T05:21:33.047Z,163315209304705
"""Breezy @ KEzzjz_U0z"" posts a small blind of 500",2021-10-02T05:21:33.047Z,163315209304704
"Your hand is 2♠, J♦",2021-10-02T05:21:33.047Z,163315209304702
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (87080) | #10 ""Breezy @ KEzzjz_U0z"" (22920)",2021-10-02T05:21:33.047Z,163315209304701
"-- starting hand #305  (No Limit Texas Hold'em) (dealer: ""Breezy @ KEzzjz_U0z"") --",2021-10-02T05:21:33.047Z,163315209304700
"-- ending hand #304 --",2021-10-02T05:21:30.114Z,163315209011402
"""Breezy @ KEzzjz_U0z"" collected 1000 from pot",2021-10-02T05:21:30.114Z,163315209011401
"Uncalled bet of 500 returned to ""Breezy @ KEzzjz_U0z""",2021-10-02T05:21:30.114Z,163315209011400
"""K Godel @ Di5cxDUTF9"" folds",2021-10-02T05:21:29.303Z,163315208930300
"""Breezy @ KEzzjz_U0z"" posts a big blind of 1000",2021-10-02T05:21:20.103Z,163315208010305
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2021-10-02T05:21:20.103Z,163315208010304
"Your hand is 6♥, 5♦",2021-10-02T05:21:20.103Z,163315208010302
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (87580) | #10 ""Breezy @ KEzzjz_U0z"" (22420)",2021-10-02T05:21:20.103Z,163315208010301
"-- starting hand #304  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-02T05:21:20.103Z,163315208010300
"-- ending hand #303 --",2021-10-02T05:21:17.187Z,163315207718702
"""K Godel @ Di5cxDUTF9"" collected 1000 from pot",2021-10-02T05:21:17.187Z,163315207718701
"Uncalled bet of 500 returned to ""K Godel @ Di5cxDUTF9""",2021-10-02T05:21:17.187Z,163315207718700
"""Breezy @ KEzzjz_U0z"" folds",2021-10-02T05:21:16.379Z,163315207637900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2021-10-02T05:21:12.746Z,163315207274605
"""Breezy @ KEzzjz_U0z"" posts a small blind of 500",2021-10-02T05:21:12.746Z,163315207274604
"Your hand is 4♠, A♦",2021-10-02T05:21:12.746Z,163315207274602
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (87080) | #10 ""Breezy @ KEzzjz_U0z"" (22920)",2021-10-02T05:21:12.746Z,163315207274601
"-- starting hand #303  (No Limit Texas Hold'em) (dealer: ""Breezy @ KEzzjz_U0z"") --",2021-10-02T05:21:12.746Z,163315207274600
"-- ending hand #302 --",2021-10-02T05:21:09.809Z,163315206980902
"""K Godel @ Di5cxDUTF9"" collected 2000 from pot",2021-10-02T05:21:09.809Z,163315206980901
"Uncalled bet of 2000 returned to ""K Godel @ Di5cxDUTF9""",2021-10-02T05:21:09.809Z,163315206980900
"""Breezy @ KEzzjz_U0z"" folds",2021-10-02T05:21:08.994Z,163315206899400
"""K Godel @ Di5cxDUTF9"" raises to 3000",2021-10-02T05:21:06.828Z,163315206682800
"""Breezy @ KEzzjz_U0z"" posts a big blind of 1000",2021-10-02T05:20:59.519Z,163315205951905
"""K Godel @ Di5cxDUTF9"" posts a small blind of 500",2021-10-02T05:20:59.519Z,163315205951904
"Your hand is Q♣, 5♠",2021-10-02T05:20:59.519Z,163315205951902
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (86080) | #10 ""Breezy @ KEzzjz_U0z"" (23920)",2021-10-02T05:20:59.519Z,163315205951901
"-- starting hand #302  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-10-02T05:20:59.519Z,163315205951900
"-- ending hand #301 --",2021-10-02T05:20:53.481Z,163315205348101
"""K Godel @ Di5cxDUTF9"" collected 86080 from pot with Pair, 10's (combination: 10♥, 10♣, A♣, Q♠, 7♦)",2021-10-02T05:20:53.481Z,163315205348100
"River: 2♥, 5♥, 10♣, Q♠ [7♦]",2021-10-02T05:20:49.440Z,163315204944000
"Turn: 2♥, 5♥, 10♣ [Q♠]",2021-10-02T05:20:45.385Z,163315204538500
"""Breezy @ KEzzjz_U0z"" shows a 6♠, 6♣.",2021-10-02T05:20:41.363Z,163315204136301
"""K Godel @ Di5cxDUTF9"" shows a 10♥, A♣.",2021-10-02T05:20:41.363Z,163315204136300
"""K Godel @ Di5cxDUTF9"" calls 34040 and go all in",2021-10-02T05:20:40.556Z,163315204055600
"""Breezy @ KEzzjz_U0z"" raises to 34040 and go all in",2021-10-02T05:20:36.054Z,163315203605400
"""K Godel @ Di5cxDUTF9"" bets 18000",2021-10-02T05:19:41.409Z,163315198140900
"Flop:  [2♥, 5♥, 10♣]",2021-10-02T05:19:25.266Z,163315196526600
"""Breezy @ KEzzjz_U0z"" calls 9000",2021-10-02T05:19:24.458Z,163315196445800
"""K Godel @ Di5cxDUTF9"" raises to 9000",2021-10-02T05:19:06.668Z,163315194666800
"""Breezy @ KEzzjz_U0z"" raises to 3000",2021-10-02T05:18:58.374Z,163315193837400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 1000",2021-10-02T05:18:54.471Z,163315193447105
"""Breezy @ KEzzjz_U0z"" posts a small blind of 500",2021-10-02T05:18:54.471Z,163315193447104
"Your hand is 10♥, A♣",2021-10-02T05:18:54.471Z,163315193447102
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (43040) | #10 ""Breezy @ KEzzjz_U0z"" (66960)",2021-10-02T05:18:54.471Z,163315193447101
"-- starting hand #301  (No Limit Texas Hold'em) (dealer: ""Breezy @ KEzzjz_U0z"") --",2021-10-02T05:18:54.471Z,163315193447100
