entry,at,order
"The player ""Malarkey @ yzkS3efRJS"" stand up with the stack of 132.44.",2021-12-23T08:05:13.948Z,164024671394800
"-- ending hand #421 --",2021-12-23T08:05:07.923Z,164024670792302
"""Deckhole @ _yf6aQFJyI"" collected 3.74 from pot with K High (combination: K♦, J♦, 9♣, 6♦, 5♣)",2021-12-23T08:05:07.923Z,164024670792301
"""Deckhole @ _yf6aQFJyI"" shows a 4♦, K♦.",2021-12-23T08:05:07.923Z,164024670792300
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:05:07.111Z,164024670711100
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:05:02.983Z,164024670298300
"River: 9♣, J♦, 5♣, 3♣ [6♦]",2021-12-23T08:04:57.221Z,164024669722100
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:04:56.310Z,164024669631000
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:04:51.508Z,164024669150801
"Turn: 9♣, J♦, 5♣ [3♣]",2021-12-23T08:04:51.508Z,164024669150800
"""Deckhole @ _yf6aQFJyI"" calls 1.12",2021-12-23T08:04:50.629Z,164024669062900
"""Malarkey @ yzkS3efRJS"" bets 1.12",2021-12-23T08:04:44.117Z,164024668411700
"Flop:  [9♣, J♦, 5♣]",2021-12-23T08:04:33.897Z,164024667389700
"""Malarkey @ yzkS3efRJS"" calls 0.75",2021-12-23T08:04:32.999Z,164024667299900
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2021-12-23T08:04:30.202Z,164024667020200
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-12-23T08:04:23.290Z,164024666329005
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-23T08:04:23.290Z,164024666329004
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (134.31) | #7 ""Deckhole @ _yf6aQFJyI"" (102.45)",2021-12-23T08:04:23.290Z,164024666329001
"-- starting hand #421  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-23T08:04:23.290Z,164024666329000
"""Deckhole @ _yf6aQFJyI"" shows a J♥, J♠.",2021-12-23T08:04:19.820Z,164024665982000
"-- ending hand #420 --",2021-12-23T08:04:16.685Z,164024665668502
"""Malarkey @ yzkS3efRJS"" collected 22.50 from pot with Two Pair, K's & 9's (combination: K♥, K♠, 9♦, 9♠, A♣)",2021-12-23T08:04:16.685Z,164024665668501
"""Malarkey @ yzkS3efRJS"" shows a K♥, 9♦.",2021-12-23T08:04:16.685Z,164024665668500
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:04:15.861Z,164024665586100
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:04:13.627Z,164024665362700
"River: K♠, 4♥, A♣, 9♠ [Q♥]",2021-12-23T08:04:06.483Z,164024664648300
"""Deckhole @ _yf6aQFJyI"" calls 6.75",2021-12-23T08:04:05.672Z,164024664567200
"""Malarkey @ yzkS3efRJS"" bets 6.75",2021-12-23T08:03:50.140Z,164024663014000
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:03:42.150Z,164024662215000
"Turn: K♠, 4♥, A♣ [9♠]",2021-12-23T08:03:31.392Z,164024661139200
"""Malarkey @ yzkS3efRJS"" calls 2.25",2021-12-23T08:03:30.543Z,164024661054300
"""Deckhole @ _yf6aQFJyI"" bets 2.25",2021-12-23T08:03:27.918Z,164024660791800
"Flop:  [K♠, 4♥, A♣]",2021-12-23T08:03:21.090Z,164024660109000
"""Malarkey @ yzkS3efRJS"" calls 2.25",2021-12-23T08:03:20.246Z,164024660024600
"""Deckhole @ _yf6aQFJyI"" raises to 2.25",2021-12-23T08:03:18.771Z,164024659877100
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-12-23T08:03:15.783Z,164024659578300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-23T08:03:12.888Z,164024659288805
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-12-23T08:03:12.888Z,164024659288804
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (123.06) | #7 ""Deckhole @ _yf6aQFJyI"" (113.70)",2021-12-23T08:03:12.888Z,164024659288801
"-- starting hand #420  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-12-23T08:03:12.888Z,164024659288800
"-- ending hand #419 --",2021-12-23T08:03:06.882Z,164024658688202
"""Malarkey @ yzkS3efRJS"" collected 1.50 from pot",2021-12-23T08:03:06.882Z,164024658688201
"Uncalled bet of 1.50 returned to ""Malarkey @ yzkS3efRJS""",2021-12-23T08:03:06.882Z,164024658688200
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-23T08:03:06.019Z,164024658601900
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-12-23T08:03:02.543Z,164024658254300
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2021-12-23T08:02:59.208Z,164024657920800
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-12-23T08:02:54.963Z,164024657496305
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-23T08:02:54.963Z,164024657496304
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (122.31) | #7 ""Deckhole @ _yf6aQFJyI"" (114.45)",2021-12-23T08:02:54.963Z,164024657496301
"-- starting hand #419  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-23T08:02:54.963Z,164024657496300
"-- ending hand #418 --",2021-12-23T08:02:51.963Z,164024657196302
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2021-12-23T08:02:51.963Z,164024657196301
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-23T08:02:51.963Z,164024657196300
"""Malarkey @ yzkS3efRJS"" folds",2021-12-23T08:02:51.009Z,164024657100900
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-23T08:02:48.360Z,164024656836005
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-12-23T08:02:48.360Z,164024656836004
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (122.41) | #7 ""Deckhole @ _yf6aQFJyI"" (114.35)",2021-12-23T08:02:48.360Z,164024656836001
"-- starting hand #418  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-12-23T08:02:48.360Z,164024656836000
"-- ending hand #417 --",2021-12-23T08:02:45.355Z,164024656535502
"""Malarkey @ yzkS3efRJS"" collected 0.20 from pot",2021-12-23T08:02:45.355Z,164024656535501
"Uncalled bet of 0.15 returned to ""Malarkey @ yzkS3efRJS""",2021-12-23T08:02:45.355Z,164024656535500
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-23T08:02:44.389Z,164024656438900
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-12-23T08:02:42.190Z,164024656219005
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-23T08:02:42.190Z,164024656219004
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (122.31) | #7 ""Deckhole @ _yf6aQFJyI"" (114.45)",2021-12-23T08:02:42.190Z,164024656219001
"-- starting hand #417  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-23T08:02:42.190Z,164024656219000
"-- ending hand #416 --",2021-12-23T08:02:36.184Z,164024655618402
"""Malarkey @ yzkS3efRJS"" collected 1.50 from pot with Three of a Kind, 5's (combination: 5♠, 5♦, 5♥, A♣, K♠)",2021-12-23T08:02:36.184Z,164024655618401
"""Malarkey @ yzkS3efRJS"" shows a 9♠, K♠.",2021-12-23T08:02:36.184Z,164024655618400
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:02:35.318Z,164024655531800
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:02:33.907Z,164024655390700
"River: 5♠, 5♦, A♣, 5♥ [6♣]",2021-12-23T08:02:30.150Z,164024655015000
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:02:29.295Z,164024654929500
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:02:26.299Z,164024654629900
"Turn: 5♠, 5♦, A♣ [5♥]",2021-12-23T08:02:24.251Z,164024654425100
"""Malarkey @ yzkS3efRJS"" checks",2021-12-23T08:02:23.439Z,164024654343900
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-23T08:02:16.140Z,164024653614000
"Flop:  [5♠, 5♦, A♣]",2021-12-23T08:02:12.525Z,164024653252500
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2021-12-23T08:02:11.690Z,164024653169000
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-12-23T08:02:09.646Z,164024652964600
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-23T08:02:06.522Z,164024652652205
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-12-23T08:02:06.522Z,164024652652204
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (121.56) | #7 ""Deckhole @ _yf6aQFJyI"" (115.20)",2021-12-23T08:02:06.522Z,164024652652201
"-- starting hand #416  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-12-23T08:02:06.522Z,164024652652200
"-- ending hand #415 --",2021-12-23T08:02:03.614Z,164024652361402
"""Malarkey @ yzkS3efRJS"" collected 1.50 from pot",2021-12-23T08:02:03.614Z,164024652361401
"Uncalled bet of 1.50 returned to ""Malarkey @ yzkS3efRJS""",2021-12-23T08:02:03.614Z,164024652361400
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-23T08:02:02.801Z,164024652280100
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-12-23T08:01:59.037Z,164024651903700
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2021-12-23T08:01:55.406Z,164024651540600
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-12-23T08:01:52.113Z,164024651211305
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-23T08:01:52.113Z,164024651211304
"Player stacks: #1 ""Malarkey @ yzkS3efRJS"" (120.81) | #7 ""Deckhole @ _yf6aQFJyI"" (115.95)",2021-12-23T08:01:52.113Z,164024651211301
"-- starting hand #415  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-23T08:01:52.113Z,164024651211300
"-- ending hand #414 --",2021-12-23T08:01:49.204Z,164024650920402
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2021-12-23T08:01:49.204Z,164024650920401
"Uncalled bet of 1.50 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-23T08:01:49.204Z,164024650920400
"""Malarkey @ yzkS3efRJS"" folds",2021-12-23T08:01:48.317Z,164024650831700
"""Deckhole @ _yf6aQFJyI"" raises to 2.25",2021-12-23T08:01:45.303Z,164024650530300
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-12-23T08:01:41.533Z,164024650153300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-23T08:01:39.102Z,164024649910205
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-12-23T08:01:39.102Z,164024649910204
