entry,at,order
"The player ""bergga @ 8GmLNUxYVQ"" quits the game with a stack of 0.",2021-04-17T02:18:29.395Z,161862590939900
"-- ending hand #82 --",2021-04-17T02:18:23.385Z,161862590338701
"""K. Godel @ TN11URmFSv"" collected 23774 from pot with Pair, A's (combination: A♣, A♥, 10♦, 9♥, 8♥)",2021-04-17T02:18:23.385Z,161862590338700
"River: 8♥, 2♠, 6♥, 9♥ [10♦]",2021-04-17T02:18:19.365Z,161862589936900
"""K. Godel @ TN11URmFSv"" shows a A♣, A♥.",2021-04-17T02:18:15.346Z,161862589534801
"""bergga @ 8GmLNUxYVQ"" shows a K♥, K♠.",2021-04-17T02:18:15.346Z,161862589534800
"""bergga @ 8GmLNUxYVQ"" calls 5962 and go all in",2021-04-17T02:18:14.520Z,161862589452100
"""K. Godel @ TN11URmFSv"" bets 5962",2021-04-17T02:18:10.762Z,161862589076300
"""bergga @ 8GmLNUxYVQ"" checks",2021-04-17T02:17:47.839Z,161862586784100
"Turn: 8♥, 2♠, 6♥ [9♥]",2021-04-17T02:17:43.861Z,161862586386400
"""bergga @ 8GmLNUxYVQ"" calls 3950",2021-04-17T02:17:43.039Z,161862586304100
"""Rico @ MW-qs3vGhg"" folds",2021-04-17T02:17:40.519Z,161862586052000
"""K. Godel @ TN11URmFSv"" raises to 3950",2021-04-17T02:17:36.133Z,161862585613400
"""bergga @ 8GmLNUxYVQ"" bets 1975",2021-04-17T02:17:19.028Z,161862583902900
"""Rico @ MW-qs3vGhg"" checks",2021-04-17T02:17:10.338Z,161862583033900
"Flop:  [8♥, 2♠, 6♥]",2021-04-17T02:17:04.082Z,161862582408300
"""bergga @ 8GmLNUxYVQ"" calls 1310",2021-04-17T02:17:03.230Z,161862582323100
"""Rico @ MW-qs3vGhg"" calls 1310",2021-04-17T02:17:00.631Z,161862582063200
"""K. Godel @ TN11URmFSv"" raises to 1310",2021-04-17T02:16:51.392Z,161862581139300
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-04-17T02:16:39.373Z,161862579937400
"""bergga @ 8GmLNUxYVQ"" raises to 400",2021-04-17T02:16:34.867Z,161862579486700
"""Rico @ MW-qs3vGhg"" calls 90",2021-04-17T02:16:25.241Z,161862578524200
"""K. Godel @ TN11URmFSv"" raises to 90",2021-04-17T02:16:20.012Z,161862578001300
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-17T02:16:12.738Z,161862577273900
