entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.00.",2021-08-28T07:23:07.757Z,163013538775700
"-- ending hand #302 --",2021-08-28T07:23:01.712Z,163013538171203
"""K Godel @ Di5cxDUTF9"" shows a 3♦, A♣, 9♦, 6♥.",2021-08-28T07:23:01.712Z,163013538171202
"""Deckhole @ hqlKQ6Qj8d"" collected 15.08 from pot with Straight (combination: 7♥, 6♦, 5♦, 4♣, 3♠)",2021-08-28T07:23:01.712Z,163013538171201
"""Deckhole @ hqlKQ6Qj8d"" shows a K♥, 7♥, 4♣, 2♦.",2021-08-28T07:23:01.712Z,163013538171200
"""K Godel @ Di5cxDUTF9"" calls 4.84 and go all in",2021-08-28T07:23:00.904Z,163013538090400
"""Deckhole @ hqlKQ6Qj8d"" bets 4.84",2021-08-28T07:22:27.642Z,163013534764200
"""K Godel @ Di5cxDUTF9"" checks",2021-08-28T07:22:24.898Z,163013534489800
"River: 5♦, 6♦, 3♠, A♥ [5♣]",2021-08-28T07:22:20.497Z,163013534049700
"""K Godel @ Di5cxDUTF9"" calls 1.80",2021-08-28T07:22:19.688Z,163013533968800
"""Deckhole @ hqlKQ6Qj8d"" bets 1.80",2021-08-28T07:22:13.074Z,163013533307400
"""K Godel @ Di5cxDUTF9"" checks",2021-08-28T07:22:10.330Z,163013533033000
"Turn: 5♦, 6♦, 3♠ [A♥]",2021-08-28T07:22:05.969Z,163013532596900
"""K Godel @ Di5cxDUTF9"" calls 0.60",2021-08-28T07:22:05.165Z,163013532516500
"""Deckhole @ hqlKQ6Qj8d"" bets 0.60",2021-08-28T07:22:00.671Z,163013532067100
"""K Godel @ Di5cxDUTF9"" checks",2021-08-28T07:21:58.092Z,163013531809200
"Flop:  [5♦, 6♦, 3♠]",2021-08-28T07:21:50.594Z,163013531059400
"""K Godel @ Di5cxDUTF9"" calls 0.30",2021-08-28T07:21:49.783Z,163013530978300
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.30",2021-08-28T07:21:43.786Z,163013530378600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.10",2021-08-28T07:21:36.189Z,163013529618905
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-08-28T07:21:36.189Z,163013529618904
"Your hand is 3♦, A♣, 9♦, 6♥",2021-08-28T07:21:36.189Z,163013529618903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (74.88) | #3 ""K Godel @ Di5cxDUTF9"" (7.54)",2021-08-28T07:21:36.189Z,163013529618901
"-- starting hand #302  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-28T07:21:36.189Z,163013529618900
"""K Godel @ Di5cxDUTF9"" shows a A♦, A♠, 8♠, 2♠.",2021-08-28T07:21:34.706Z,163013529470600
"-- ending hand #301 --",2021-08-28T07:21:32.552Z,163013529255202
"""Deckhole @ hqlKQ6Qj8d"" collected 16.20 from pot",2021-08-28T07:21:32.552Z,163013529255201
"Uncalled bet of 7.54 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-08-28T07:21:32.552Z,163013529255200
"""K Godel @ Di5cxDUTF9"" folds",2021-08-28T07:21:31.745Z,163013529174500
"""Deckhole @ hqlKQ6Qj8d"" raises to 12.94",2021-08-28T07:21:27.544Z,163013528754400
"""K Godel @ Di5cxDUTF9"" bets 5.40",2021-08-28T07:21:14.458Z,163013527445800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-28T07:21:01.788Z,163013526178800
"Flop:  [Q♦, J♣, 10♥]",2021-08-28T07:20:54.025Z,163013525402500
"""Deckhole @ hqlKQ6Qj8d"" calls 2.70",2021-08-28T07:20:53.219Z,163013525321900
"""K Godel @ Di5cxDUTF9"" raises to 2.70",2021-08-28T07:20:45.228Z,163013524522800
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.90",2021-08-28T07:20:37.801Z,163013523780100
"""K Godel @ Di5cxDUTF9"" raises to 0.30",2021-08-28T07:20:33.151Z,163013523315100
