entry,at,order
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 0.",2021-04-17T04:45:53.483Z,161863475348900
"-- ending hand #212 --",2021-04-17T04:45:47.440Z,161863474744101
"""LLATFFEJ @ WtMwiUnkT6"" collected 23982 from pot with Pair, J's (combination: J♥, J♠, A♣, Q♦, 9♦)",2021-04-17T04:45:47.440Z,161863474744100
"River: J♠, 3♦, 6♦, 9♦ [A♣]",2021-04-17T04:45:43.388Z,161863474339000
"Turn: J♠, 3♦, 6♦ [9♦]",2021-04-17T04:45:39.344Z,161863473934500
"Flop:  [J♠, 3♦, 6♦]",2021-04-17T04:45:35.330Z,161863473534600
"""K. Godel @ TN11URmFSv"" shows a Q♠, 9♣.",2021-04-17T04:45:31.268Z,161863473128601
"""LLATFFEJ @ WtMwiUnkT6"" shows a J♥, Q♦.",2021-04-17T04:45:31.268Z,161863473128600
"""LLATFFEJ @ WtMwiUnkT6"" calls 11991",2021-04-17T04:45:30.460Z,161863473046100
"""K. Godel @ TN11URmFSv"" raises to 11991 and go all in",2021-04-17T04:45:28.498Z,161863472849900
"""LLATFFEJ @ WtMwiUnkT6"" posts a big blind of 2000",2021-04-17T04:45:17.564Z,161863471756505
"""K. Godel @ TN11URmFSv"" posts a small blind of 1000",2021-04-17T04:45:17.564Z,161863471756504
"Your hand is Q♠, 9♣",2021-04-17T04:45:17.564Z,161863471756503
"Player stacks: #9 ""LLATFFEJ @ WtMwiUnkT6"" (118009) | #10 ""K. Godel @ TN11URmFSv"" (11991)",2021-04-17T04:45:17.564Z,161863471756501
"-- starting hand #212  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-04-17T04:45:17.564Z,161863471756500
"-- ending hand #211 --",2021-04-17T04:45:14.634Z,161863471463502
"""LLATFFEJ @ WtMwiUnkT6"" collected 4000 from pot",2021-04-17T04:45:14.634Z,161863471463501
"Uncalled bet of 3000 returned to ""LLATFFEJ @ WtMwiUnkT6""",2021-04-17T04:45:14.634Z,161863471463500
"""K. Godel @ TN11URmFSv"" folds",2021-04-17T04:45:13.825Z,161863471382600
"""LLATFFEJ @ WtMwiUnkT6"" raises to 5000",2021-04-17T04:45:01.990Z,161863470199000
"""K. Godel @ TN11URmFSv"" posts a big blind of 2000",2021-04-17T04:44:50.335Z,161863469033605
"""LLATFFEJ @ WtMwiUnkT6"" posts a small blind of 1000",2021-04-17T04:44:50.335Z,161863469033604
"Your hand is 5♠, 9♠",2021-04-17T04:44:50.335Z,161863469033603
"Player stacks: #9 ""LLATFFEJ @ WtMwiUnkT6"" (116009) | #10 ""K. Godel @ TN11URmFSv"" (13991)",2021-04-17T04:44:50.335Z,161863469033601
"-- starting hand #211  (No Limit Texas Hold'em) (dealer: ""LLATFFEJ @ WtMwiUnkT6"") --",2021-04-17T04:44:50.335Z,161863469033600
"-- ending hand #210 --",2021-04-17T04:44:47.418Z,161863468741902
"""LLATFFEJ @ WtMwiUnkT6"" collected 10000 from pot",2021-04-17T04:44:47.418Z,161863468741901
"Uncalled bet of 2000 returned to ""LLATFFEJ @ WtMwiUnkT6""",2021-04-17T04:44:47.418Z,161863468741900
"""K. Godel @ TN11URmFSv"" folds",2021-04-17T04:44:46.611Z,161863468661200
"""LLATFFEJ @ WtMwiUnkT6"" bets 2000",2021-04-17T04:44:38.092Z,161863467809300
"Flop:  [8♥, Q♣, 4♥]",2021-04-17T04:44:29.114Z,161863466911500
"""LLATFFEJ @ WtMwiUnkT6"" calls 5000",2021-04-17T04:44:28.305Z,161863466830600
