entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" quits the game with a stack of 0.",2021-07-24T04:28:20.804Z,162710090080400
"-- ending hand #223 --",2021-07-24T04:28:14.775Z,162710089477501
"""Breezy @ gkE7wkMS3F"" collected 19256 from pot with Pair, 10's (combination: 10♦, 10♥, Q♦, 7♥, 5♥)",2021-07-24T04:28:14.775Z,162710089477500
"River: 2♦, 7♥, 5♥, 3♣ [Q♦]",2021-07-24T04:28:10.752Z,162710089075200
"Turn: 2♦, 7♥, 5♥ [3♣]",2021-07-24T04:28:06.725Z,162710088672500
"Flop:  [2♦, 7♥, 5♥]",2021-07-24T04:28:02.707Z,162710088270700
"""Breezy @ gkE7wkMS3F"" shows a 10♦, 10♥.",2021-07-24T04:27:58.659Z,162710087865901
"""K Godel @ Di5cxDUTF9"" shows a 10♣, 9♥.",2021-07-24T04:27:58.659Z,162710087865900
"""K Godel @ Di5cxDUTF9"" calls 9628 and go all in",2021-07-24T04:27:57.854Z,162710087785400
"""Breezy @ gkE7wkMS3F"" raises to 9628 and go all in",2021-07-24T04:27:47.170Z,162710086717000
"""K Godel @ Di5cxDUTF9"" raises to 2400",2021-07-24T04:27:43.095Z,162710086309500
"""Breezy @ gkE7wkMS3F"" posts a big blind of 800",2021-07-24T04:27:35.218Z,162710085521805
"""K Godel @ Di5cxDUTF9"" posts a small blind of 400",2021-07-24T04:27:35.218Z,162710085521804
"Your hand is 10♣, 9♥",2021-07-24T04:27:35.218Z,162710085521802
"Player stacks: #5 ""K Godel @ Di5cxDUTF9"" (9628) | #9 ""Breezy @ gkE7wkMS3F"" (70372)",2021-07-24T04:27:35.218Z,162710085521801
"-- starting hand #223  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-07-24T04:27:35.218Z,162710085521800
"-- ending hand #222 --",2021-07-24T04:27:32.306Z,162710085230602
"""K Godel @ Di5cxDUTF9"" collected 800 from pot",2021-07-24T04:27:32.306Z,162710085230601
"Uncalled bet of 400 returned to ""K Godel @ Di5cxDUTF9""",2021-07-24T04:27:32.306Z,162710085230600
"""Breezy @ gkE7wkMS3F"" folds",2021-07-24T04:27:31.502Z,162710085150200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 800",2021-07-24T04:27:26.110Z,162710084611005
"""Breezy @ gkE7wkMS3F"" posts a small blind of 400",2021-07-24T04:27:26.110Z,162710084611004
"Your hand is A♠, 7♣",2021-07-24T04:27:26.110Z,162710084611002
"Player stacks: #5 ""K Godel @ Di5cxDUTF9"" (9228) | #9 ""Breezy @ gkE7wkMS3F"" (70772)",2021-07-24T04:27:26.110Z,162710084611001
"-- starting hand #222  (No Limit Texas Hold'em) (dealer: ""Breezy @ gkE7wkMS3F"") --",2021-07-24T04:27:26.110Z,162710084611000
"-- ending hand #221 --",2021-07-24T04:27:23.143Z,162710084314302
"""Breezy @ gkE7wkMS3F"" collected 800 from pot",2021-07-24T04:27:23.143Z,162710084314301
"Uncalled bet of 400 returned to ""Breezy @ gkE7wkMS3F""",2021-07-24T04:27:23.143Z,162710084314300
"""K Godel @ Di5cxDUTF9"" folds",2021-07-24T04:27:22.335Z,162710084233500
"""Breezy @ gkE7wkMS3F"" posts a big blind of 800",2021-07-24T04:27:20.677Z,162710084067705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 400",2021-07-24T04:27:20.677Z,162710084067704
"Your hand is 7♥, 3♠",2021-07-24T04:27:20.677Z,162710084067702
"Player stacks: #5 ""K Godel @ Di5cxDUTF9"" (9628) | #9 ""Breezy @ gkE7wkMS3F"" (70372)",2021-07-24T04:27:20.677Z,162710084067701
"-- starting hand #221  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-07-24T04:27:20.677Z,162710084067700
"-- ending hand #220 --",2021-07-24T04:27:17.748Z,162710083774802
"""Breezy @ gkE7wkMS3F"" collected 4800 from pot",2021-07-24T04:27:17.748Z,162710083774801
"Uncalled bet of 2400 returned to ""Breezy @ gkE7wkMS3F""",2021-07-24T04:27:17.748Z,162710083774800
"""K Godel @ Di5cxDUTF9"" folds",2021-07-24T04:27:16.939Z,162710083693900
"""Breezy @ gkE7wkMS3F"" bets 2400",2021-07-24T04:27:15.229Z,162710083522900
