entry,at,order
"-- ending hand #416 --",2021-12-05T09:21:50.545Z,163869611054502
"""K Godel @ Di5cxDUTF9"" collected 4.00 from pot",2021-12-05T09:21:50.545Z,163869611054501
"Uncalled bet of 1.75 returned to ""K Godel @ Di5cxDUTF9""",2021-12-05T09:21:50.545Z,163869611054500
"""Deckhole @ _yf6aQFJyI"" folds",2021-12-05T09:21:49.671Z,163869610967100
"""K Godel @ Di5cxDUTF9"" bets 1.75",2021-12-05T09:21:48.153Z,163869610815300
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-05T09:21:38.277Z,163869609827700
"Turn: J♣, A♠, 7♥ [K♦]",2021-12-05T09:21:35.381Z,163869609538100
"""Deckhole @ _yf6aQFJyI"" calls 1.25",2021-12-05T09:21:34.557Z,163869609455700
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2021-12-05T09:21:32.431Z,163869609243100
"""K Godel @ Di5cxDUTF9"" bets 1.25",2021-12-05T09:21:17.563Z,163869607756300
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-05T09:21:09.135Z,163869606913500
"Flop:  [J♣, A♠, 7♥]",2021-12-05T09:21:05.103Z,163869606510300
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2021-12-05T09:21:04.257Z,163869606425700
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2021-12-05T09:20:55.127Z,163869605512700
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-05T09:20:45.876Z,163869604587605
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-05T09:20:45.876Z,163869604587604
"Your hand is 2♦, 5♠, 3♠, K♣",2021-12-05T09:20:45.876Z,163869604587603
"Player stacks: #5 ""Deckhole @ _yf6aQFJyI"" (144.15) | #7 ""K Godel @ Di5cxDUTF9"" (70.85)",2021-12-05T09:20:45.876Z,163869604587601
"-- starting hand #416  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-12-05T09:20:45.876Z,163869604587600
"-- ending hand #415 --",2021-12-05T09:20:39.874Z,163869603987402
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2021-12-05T09:20:39.874Z,163869603987401
"Uncalled bet of 0.75 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-05T09:20:39.874Z,163869603987400
"""K Godel @ Di5cxDUTF9"" folds",2021-12-05T09:20:39.049Z,163869603904900
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2021-12-05T09:20:25.359Z,163869602535900
"""K Godel @ Di5cxDUTF9"" checks",2021-12-05T09:20:21.833Z,163869602183300
"Flop:  [4♥, J♥, 4♠]",2021-12-05T09:20:16.654Z,163869601665400
"""K Godel @ Di5cxDUTF9"" calls 0.75",2021-12-05T09:20:15.810Z,163869601581000
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2021-12-05T09:20:13.908Z,163869601390800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-12-05T09:20:11.084Z,163869601108405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-05T09:20:11.084Z,163869601108404
"Your hand is 8♦, 10♦, A♦, 9♦",2021-12-05T09:20:11.084Z,163869601108403
"Player stacks: #5 ""Deckhole @ _yf6aQFJyI"" (143.40) | #7 ""K Godel @ Di5cxDUTF9"" (71.60)",2021-12-05T09:20:11.084Z,163869601108401
"-- starting hand #415  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-05T09:20:11.084Z,163869601108400
"""Deckhole @ _yf6aQFJyI"" shows a 9♦, 5♥, 9♥, 9♣.",2021-12-05T09:20:09.612Z,163869600961200
"-- ending hand #414 --",2021-12-05T09:20:07.445Z,163869600744502
"""Deckhole @ _yf6aQFJyI"" collected 0.20 from pot",2021-12-05T09:20:07.445Z,163869600744501
"Uncalled bet of 0.15 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-05T09:20:07.445Z,163869600744500
"""K Godel @ Di5cxDUTF9"" folds",2021-12-05T09:20:06.494Z,163869600649400
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2021-12-05T09:19:56.436Z,163869599643605
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-12-05T09:19:56.436Z,163869599643604
"Your hand is 10♥, 3♦, 5♦, J♠",2021-12-05T09:19:56.436Z,163869599643603
"Player stacks: #5 ""Deckhole @ _yf6aQFJyI"" (143.30) | #7 ""K Godel @ Di5cxDUTF9"" (71.70)",2021-12-05T09:19:56.436Z,163869599643601
"-- starting hand #414  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-12-05T09:19:56.436Z,163869599643600
