entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 282.89.",2022-01-22T05:12:44.390Z,164282836439001
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 200.43.",2022-01-22T05:12:44.390Z,164282836439000
"-- ending hand #156 --",2022-01-22T05:12:41.387Z,164282836138702
"""K Godel @ Di5cxDUTF9"" collected 0.20 from pot",2022-01-22T05:12:41.387Z,164282836138701
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-01-22T05:12:41.387Z,164282836138700
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-22T05:12:40.561Z,164282836056100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-01-22T05:12:32.494Z,164282835249405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-01-22T05:12:32.494Z,164282835249404
"Your hand is 9♥, 6♠, 8♣, 8♥",2022-01-22T05:12:32.494Z,164282835249403
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (282.99) | #6 ""K Godel @ Di5cxDUTF9"" (200.33)",2022-01-22T05:12:32.494Z,164282835249401
"-- starting hand #156  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-01-22T05:12:32.494Z,164282835249400
"-- ending hand #155 --",2022-01-22T05:12:29.486Z,164282834948602
"""K Godel @ Di5cxDUTF9"" collected 0.50 from pot",2022-01-22T05:12:29.486Z,164282834948601
"Uncalled bet of 0.50 returned to ""K Godel @ Di5cxDUTF9""",2022-01-22T05:12:29.486Z,164282834948600
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-22T05:12:13.627Z,164282833362700
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-01-22T05:12:09.812Z,164282832981200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-01-22T05:11:52.481Z,164282831248106
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-01-22T05:11:52.481Z,164282831248105
"Your hand is 10♦, 4♠, 5♣, 6♦",2022-01-22T05:11:52.481Z,164282831248104
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (283.24) | #6 ""K Godel @ Di5cxDUTF9"" (200.08)",2022-01-22T05:11:52.481Z,164282831248102
"-- starting hand #155  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-01-22T05:11:52.481Z,164282831248101
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-01-22T05:11:52.481Z,164282831248100
"-- ending hand #154 --",2022-01-22T05:11:46.403Z,164282830640306
"""K Godel @ Di5cxDUTF9"" collected 13.07 from pot with low hand with eight high (combination: A♣, 2♥, 3♠, 5♣, 8♠)",2022-01-22T05:11:46.403Z,164282830640305
"""Deckhole @ _yf6aQFJyI"" collected 13.07 from pot with hi hand with flush ace high (combination: 2♣, 5♣, 9♣, J♣, A♣)",2022-01-22T05:11:46.403Z,164282830640304
"""K Godel @ Di5cxDUTF9"" collected 73.75 from pot with low hand with eight high (combination: A♣, 2♥, 3♠, 5♣, 8♠)",2022-01-22T05:11:46.403Z,164282830640303
"""K Godel @ Di5cxDUTF9"" shows a A♦, 3♠, 2♥, Q♠.",2022-01-22T05:11:46.403Z,164282830640302
"""Deckhole @ _yf6aQFJyI"" collected 73.76 from pot with hi hand with flush ace high (combination: 2♣, 5♣, 9♣, J♣, A♣)",2022-01-22T05:11:46.403Z,164282830640301
"""Deckhole @ _yf6aQFJyI"" shows a 2♣, 5♥, 9♥, 9♣.",2022-01-22T05:11:46.403Z,164282830640300
"""Malarkey @ Ia-cNlUwV8"" calls 33.61 and go all in",2022-01-22T05:11:45.532Z,164282830553200
"""Deckhole @ _yf6aQFJyI"" calls 46.68",2022-01-22T05:11:22.431Z,164282828243100
"""K Godel @ Di5cxDUTF9"" bets 46.68",2022-01-22T05:11:19.446Z,164282827944600
"River: 9♠, 8♠, 5♣, A♣ [J♣]",2022-01-22T05:11:03.695Z,164282826369500
"""Malarkey @ Ia-cNlUwV8"" calls 11.67",2022-01-22T05:11:02.852Z,164282826285200
"""Deckhole @ _yf6aQFJyI"" calls 11.67",2022-01-22T05:10:59.680Z,164282825968000
"""K Godel @ Di5cxDUTF9"" bets 11.67",2022-01-22T05:10:53.391Z,164282825339100
"Turn: 9♠, 8♠, 5♣ [A♣]",2022-01-22T05:10:40.793Z,164282824079300
"""K Godel @ Di5cxDUTF9"" calls 3.04",2022-01-22T05:10:39.937Z,164282823993700
"""Malarkey @ Ia-cNlUwV8"" calls 3.04",2022-01-22T05:10:38.017Z,164282823801700
"""Deckhole @ _yf6aQFJyI"" raises to 3.04",2022-01-22T05:10:36.158Z,164282823615800
"""K Godel @ Di5cxDUTF9"" bets 1.27",2022-01-22T05:10:23.447Z,164282822344700
"Flop:  [9♠, 8♠, 5♣]",2022-01-22T05:10:12.828Z,164282821282800
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-01-22T05:10:11.953Z,164282821195300
"""K Godel @ Di5cxDUTF9"" calls 0.85",2022-01-22T05:10:04.787Z,164282820478700
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2022-01-22T05:10:00.288Z,164282820028800
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-01-22T05:09:52.590Z,164282819259006
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-01-22T05:09:52.590Z,164282819259005
"Your hand is A♦, 3♠, 2♥, Q♠",2022-01-22T05:09:52.590Z,164282819259004
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (258.65) | #3 ""Malarkey @ Ia-cNlUwV8"" (49.17) | #6 ""K Godel @ Di5cxDUTF9"" (175.50)",2022-01-22T05:09:52.590Z,164282819259001
"-- starting hand #154  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-01-22T05:09:52.590Z,164282819259000
"Undealt cards:  [6♥, Q♣, A♣, J♥, J♠]",2022-01-22T05:09:49.194Z,164282818919400
"-- ending hand #153 --",2022-01-22T05:09:46.589Z,164282818658902
"""Malarkey @ Ia-cNlUwV8"" collected 0.50 from pot",2022-01-22T05:09:46.589Z,164282818658901
"Uncalled bet of 0.50 returned to ""Malarkey @ Ia-cNlUwV8""",2022-01-22T05:09:46.589Z,164282818658900
"""K Godel @ Di5cxDUTF9"" folds",2022-01-22T05:09:45.758Z,164282818575800
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-01-22T05:09:43.557Z,164282818355700
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-22T05:09:39.189Z,164282817918900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-01-22T05:09:33.010Z,164282817301006
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-01-22T05:09:33.010Z,164282817301005
"Your hand is 6♠, 8♣, 7♣, 8♥",2022-01-22T05:09:33.010Z,164282817301004
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (258.65) | #3 ""Malarkey @ Ia-cNlUwV8"" (48.92) | #6 ""K Godel @ Di5cxDUTF9"" (175.75)",2022-01-22T05:09:33.010Z,164282817301001
"-- starting hand #153  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-01-22T05:09:33.010Z,164282817301000
"-- ending hand #152 --",2022-01-22T05:09:26.979Z,164282816697904
"""Deckhole @ _yf6aQFJyI"" collected 48.92 from pot with low hand with six high (combination: A♣, 2♥, 3♣, 5♥, 6♦)",2022-01-22T05:09:26.979Z,164282816697903
"""Deckhole @ _yf6aQFJyI"" shows a Q♦, A♣, 8♥, 3♣.",2022-01-22T05:09:26.979Z,164282816697902
"""Malarkey @ Ia-cNlUwV8"" collected 48.92 from pot with hi hand with straight eight high (combination: 4♠, 5♥, 6♦, 7♣, 8♦)",2022-01-22T05:09:26.979Z,164282816697901
"""Malarkey @ Ia-cNlUwV8"" shows a 4♣, 4♠, 7♣, 3♥.",2022-01-22T05:09:26.979Z,164282816697900
"""Malarkey @ Ia-cNlUwV8"" calls 21.92 and go all in",2022-01-22T05:09:26.088Z,164282816608800
"""Deckhole @ _yf6aQFJyI"" bets 21.92",2022-01-22T05:09:17.591Z,164282815759100
"River: 7♦, 8♦, 5♥, 2♥ [6♦]",2022-01-22T05:09:07.881Z,164282814788100
"""Malarkey @ Ia-cNlUwV8"" calls 18.00",2022-01-22T05:09:06.988Z,164282814698800
"""Deckhole @ _yf6aQFJyI"" bets 18.00",2022-01-22T05:09:05.081Z,164282814508100
"Turn: 7♦, 8♦, 5♥ [2♥]",2022-01-22T05:08:49.874Z,164282812987400
"""Deckhole @ _yf6aQFJyI"" calls 6.75",2022-01-22T05:08:48.944Z,164282812894400
"""Malarkey @ Ia-cNlUwV8"" raises to 6.75",2022-01-22T05:08:47.177Z,164282812717700
"""Deckhole @ _yf6aQFJyI"" bets 2.25",2022-01-22T05:08:30.899Z,164282811089900
"Flop:  [7♦, 8♦, 5♥]",2022-01-22T05:08:25.196Z,164282810519600
"""Deckhole @ _yf6aQFJyI"" calls 2.25",2022-01-22T05:08:24.314Z,164282810431400
"""Malarkey @ Ia-cNlUwV8"" raises to 2.25",2022-01-22T05:08:18.527Z,164282809852700
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-01-22T05:08:14.458Z,164282809445800
"""K Godel @ Di5cxDUTF9"" folds",2022-01-22T05:08:08.218Z,164282808821800
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-01-22T05:08:04.104Z,164282808410406
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-01-22T05:08:04.104Z,164282808410405
"Your hand is 7♥, 2♣, K♠, 8♠",2022-01-22T05:08:04.104Z,164282808410404
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (258.65) | #3 ""Malarkey @ Ia-cNlUwV8"" (48.92) | #6 ""K Godel @ Di5cxDUTF9"" (175.75)",2022-01-22T05:08:04.104Z,164282808410401
"-- starting hand #152  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-01-22T05:08:04.104Z,164282808410400
"-- ending hand #151 --",2022-01-22T05:07:58.015Z,164282807801505
"""Malarkey @ Ia-cNlUwV8"" collected 12.76 from pot with low hand with seven high (combination: 2♥, 3♦, 5♠, 6♥, 7♦)",2022-01-22T05:07:58.015Z,164282807801504
"""Malarkey @ Ia-cNlUwV8"" collected 6.38 from pot with hi hand with two pair eights and twos (combination: Q♣, 2♥, 2♣, 8♦, 8♠)",2022-01-22T05:07:58.015Z,164282807801503
"""Malarkey @ Ia-cNlUwV8"" shows a 8♦, Q♣, 3♦, 5♠.",2022-01-22T05:07:58.015Z,164282807801502
"""Deckhole @ _yf6aQFJyI"" collected 6.39 from pot with hi hand with two pair eights and twos (combination: Q♥, 2♥, 2♣, 8♥, 8♠)",2022-01-22T05:07:58.015Z,164282807801501
"""Deckhole @ _yf6aQFJyI"" shows a 8♥, J♥, 3♣, Q♥.",2022-01-22T05:07:58.015Z,164282807801500
"""Malarkey @ Ia-cNlUwV8"" checks",2022-01-22T05:07:57.165Z,164282807716500
"""Deckhole @ _yf6aQFJyI"" checks",2022-01-22T05:07:53.774Z,164282807377400
