entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 53.32.",2022-02-13T08:47:34.785Z,164474205478502
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 39.88.",2022-02-13T08:47:34.785Z,164474205478501
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 178.19.",2022-02-13T08:47:34.785Z,164474205478500
"-- ending hand #390 --",2022-02-13T08:45:37.068Z,164474193706802
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-02-13T08:45:37.068Z,164474193706801
"Uncalled bet of 1.50 returned to ""Malarkey @ Ia-cNlUwV8""",2022-02-13T08:45:37.068Z,164474193706800
"""Deckhole @ _yf6aQFJyI"" folds",2022-02-13T08:45:36.198Z,164474193619800
"""Malarkey @ Ia-cNlUwV8"" bets 1.50",2022-02-13T08:45:34.075Z,164474193407500
"Turn: 8♦, A♦, 6♠ [5♣]",2022-02-13T08:45:24.657Z,164474192465700
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-13T08:45:23.669Z,164474192366900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-02-13T08:45:20.396Z,164474192039600
"Flop:  [8♦, A♦, 6♠]",2022-02-13T08:45:12.855Z,164474191285500
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-02-13T08:45:11.873Z,164474191187300
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-02-13T08:45:09.394Z,164474190939400
"""K Godel @ Di5cxDUTF9"" folds",2022-02-13T08:45:05.317Z,164474190531700
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-02-13T08:44:48.276Z,164474188827606
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-02-13T08:44:48.276Z,164474188827605
"Your hand is 2♥, 10♦, 6♥, 7♠",2022-02-13T08:44:48.276Z,164474188827602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (39.88) | #9 ""Malarkey @ Ia-cNlUwV8"" (52.57) | #10 ""Deckhole @ _yf6aQFJyI"" (178.94)",2022-02-13T08:44:48.276Z,164474188827601
