entry,at,order
"The player ""K. Godel @ TN11URmFSv"" stand up with the stack of 17.44.",2021-05-22T06:19:51.726Z,162166439172700
"-- ending hand #348 --",2021-05-22T06:19:48.786Z,162166438878702
"""Malarkey @ Ia-cNlUwV8"" collected 0.40 from pot",2021-05-22T06:19:48.786Z,162166438878701
"Uncalled bet of 0.30 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-22T06:19:48.786Z,162166438878700
"""K. Godel @ TN11URmFSv"" folds",2021-05-22T06:19:47.980Z,162166438798100
"""Malarkey @ Ia-cNlUwV8"" bets 0.30",2021-05-22T06:19:32.055Z,162166437205600
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:19:27.591Z,162166436759200
"Turn: 3♠, 10♥, 4♦ [2♣]",2021-05-22T06:19:25.645Z,162166436564600
"""K. Godel @ TN11URmFSv"" calls 0.10",2021-05-22T06:19:24.841Z,162166436484100
"""Malarkey @ Ia-cNlUwV8"" bets 0.10",2021-05-22T06:19:17.939Z,162166435794000
"The player ""Deckhole @ hqlKQ6Qj8d"" passed the room ownership to ""K. Godel @ TN11URmFSv"".",2021-05-22T06:19:14.764Z,162166435476500
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:19:13.090Z,162166435309100
"Flop:  [3♠, 10♥, 4♦]",2021-05-22T06:19:10.633Z,162166435063500
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:19:09.823Z,162166434982400
"""Malarkey @ Ia-cNlUwV8"" calls 0.10",2021-05-22T06:19:05.941Z,162166434594200
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-22T06:18:55.745Z,162166433574605
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.05",2021-05-22T06:18:55.745Z,162166433574604
"Your hand is 9♥, 2♦",2021-05-22T06:18:55.745Z,162166433574602
"Player stacks: #4 ""K. Godel @ TN11URmFSv"" (17.64) | #9 ""Malarkey @ Ia-cNlUwV8"" (24.75)",2021-05-22T06:18:55.745Z,162166433574601
"-- starting hand #348  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-05-22T06:18:55.745Z,162166433574600
"-- ending hand #347 --",2021-05-22T06:18:49.726Z,162166432972701
"""K. Godel @ TN11URmFSv"" collected 17.64 from pot with Full House, Q's over 7's (combination: Q♥, Q♠, Q♣, 7♣, 7♦)",2021-05-22T06:18:49.726Z,162166432972700
"River: Q♣, J♠, 7♣, 7♦ [4♠]",2021-05-22T06:18:45.715Z,162166432571700
"Turn: Q♣, J♠, 7♣ [7♦]",2021-05-22T06:18:41.686Z,162166432168800
"Flop:  [Q♣, J♠, 7♣]",2021-05-22T06:18:37.678Z,162166431769300
"""Malarkey @ Ia-cNlUwV8"" shows a K♣, A♣.",2021-05-22T06:18:33.652Z,162166431366301
"""K. Godel @ TN11URmFSv"" shows a Q♥, Q♠.",2021-05-22T06:18:33.652Z,162166431366300
"Some players choose to not run it twice.",2021-05-22T06:18:32.849Z,162166431285001
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2021-05-22T06:18:32.849Z,162166431285000
"Remaining players decide whether to run it twice.",2021-05-22T06:18:32.782Z,162166431278301
"""K. Godel @ TN11URmFSv"" calls 8.82 and go all in",2021-05-22T06:18:32.782Z,162166431278300
"""Malarkey @ Ia-cNlUwV8"" raises to 8.82 and go all in",2021-05-22T06:18:28.806Z,162166430880700
"""K. Godel @ TN11URmFSv"" raises to 2.70",2021-05-22T06:18:25.177Z,162166430517800
"""Malarkey @ Ia-cNlUwV8"" raises to 0.90",2021-05-22T06:18:19.650Z,162166429965100
"""K. Godel @ TN11URmFSv"" raises to 0.30",2021-05-22T06:18:14.243Z,162166429424700
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.10",2021-05-22T06:18:04.529Z,162166428453006
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-22T06:18:04.529Z,162166428453005
"Your hand is Q♥, Q♠",2021-05-22T06:18:04.529Z,162166428453003
"Player stacks: #4 ""K. Godel @ TN11URmFSv"" (8.82) | #9 ""Malarkey @ Ia-cNlUwV8"" (33.57)",2021-05-22T06:18:04.529Z,162166428453002
"-- starting hand #347  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-22T06:18:04.529Z,162166428453001
"The player ""Deckhole @ hqlKQ6Qj8d"" stand up with the stack of 47.61.",2021-05-22T06:18:04.529Z,162166428453000
"-- ending hand #346 --",2021-05-22T06:17:58.518Z,162166427852002
"""K. Godel @ TN11URmFSv"" collected 1.05 from pot with Pair, 7's (combination: 7♦, 7♣, K♣, J♥, 10♥)",2021-05-22T06:17:58.518Z,162166427852001
"""K. Godel @ TN11URmFSv"" shows a J♥, 7♦.",2021-05-22T06:17:58.518Z,162166427852000
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:17:57.712Z,162166427771300
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:17:56.060Z,162166427606000
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:17:53.222Z,162166427322200
"River: 9♥, 10♥, K♣, 6♥ [7♣]",2021-05-22T06:17:49.194Z,162166426919600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:17:48.384Z,162166426838500
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:17:46.749Z,162166426675000
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:17:44.971Z,162166426497100
"Turn: 9♥, 10♥, K♣ [6♥]",2021-05-22T06:17:40.715Z,162166426071600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:17:39.898Z,162166425989900
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:17:37.307Z,162166425730800
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:17:35.146Z,162166425514700
"Flop:  [9♥, 10♥, K♣]",2021-05-22T06:17:31.640Z,162166425164100
"""Malarkey @ Ia-cNlUwV8"" calls 0.35",2021-05-22T06:17:30.835Z,162166425083600
"""K. Godel @ TN11URmFSv"" calls 0.35",2021-05-22T06:17:27.984Z,162166424798500
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-05-22T06:17:26.260Z,162166424626000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.10",2021-05-22T06:17:19.580Z,162166423958106
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-22T06:17:19.580Z,162166423958105
"Your hand is J♥, 7♦",2021-05-22T06:17:19.580Z,162166423958103
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (47.96) | #4 ""K. Godel @ TN11URmFSv"" (8.12) | #9 ""Malarkey @ Ia-cNlUwV8"" (33.92)",2021-05-22T06:17:19.580Z,162166423958101
"-- starting hand #346  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-22T06:17:19.580Z,162166423958100
"-- ending hand #345 --",2021-05-22T06:17:16.663Z,162166423666302
"""Malarkey @ Ia-cNlUwV8"" collected 2.25 from pot",2021-05-22T06:17:16.663Z,162166423666301
"Uncalled bet of 2.25 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-22T06:17:16.663Z,162166423666300
"""K. Godel @ TN11URmFSv"" folds",2021-05-22T06:17:15.821Z,162166423582200
"""Malarkey @ Ia-cNlUwV8"" bets 2.25",2021-05-22T06:17:03.516Z,162166422351600
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:16:59.722Z,162166421972300
"Turn: 6♣, 7♣, 5♥ [4♥]",2021-05-22T06:16:55.631Z,162166421563200
"""K. Godel @ TN11URmFSv"" calls 0.75",2021-05-22T06:16:54.823Z,162166421482400
"""Malarkey @ Ia-cNlUwV8"" bets 0.75",2021-05-22T06:16:51.525Z,162166421152600
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:16:46.773Z,162166420677400
"Flop:  [6♣, 7♣, 5♥]",2021-05-22T06:16:42.117Z,162166420211800
"""K. Godel @ TN11URmFSv"" calls 0.35",2021-05-22T06:16:41.301Z,162166420130200
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-22T06:16:39.731Z,162166419973200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.35",2021-05-22T06:16:35.497Z,162166419549800
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-22T06:16:31.695Z,162166419169606
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-22T06:16:31.695Z,162166419169605
"Your hand is J♣, 4♣",2021-05-22T06:16:31.695Z,162166419169603
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (48.01) | #4 ""K. Godel @ TN11URmFSv"" (9.22) | #9 ""Malarkey @ Ia-cNlUwV8"" (32.77)",2021-05-22T06:16:31.695Z,162166419169601
"-- starting hand #345  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-05-22T06:16:31.695Z,162166419169600
"-- ending hand #344 --",2021-05-22T06:16:25.687Z,162166418568802
"""Malarkey @ Ia-cNlUwV8"" collected 7.89 from pot with Two Pair, 5's & 3's (combination: 5♥, 5♦, 3♣, 3♦, A♦)",2021-05-22T06:16:25.687Z,162166418568801
"""Malarkey @ Ia-cNlUwV8"" shows a 6♦, 3♣.",2021-05-22T06:16:25.687Z,162166418568800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:16:24.880Z,162166418488100
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:16:22.006Z,162166418200700
"River: 5♥, 7♠, 3♦, A♦ [5♦]",2021-05-22T06:16:16.776Z,162166417677800
"""Deckhole @ hqlKQ6Qj8d"" calls 1.97",2021-05-22T06:16:15.972Z,162166417597300
"""Malarkey @ Ia-cNlUwV8"" bets 1.97",2021-05-22T06:16:09.539Z,162166416954000
"Turn: 5♥, 7♠, 3♦ [A♦]",2021-05-22T06:16:03.629Z,162166416363100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:16:02.820Z,162166416282100
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:16:00.455Z,162166416045600
"Flop:  [5♥, 7♠, 3♦]",2021-05-22T06:15:51.630Z,162166415163000
"""Malarkey @ Ia-cNlUwV8"" calls 1.80",2021-05-22T06:15:50.817Z,162166415082100
"""K. Godel @ TN11URmFSv"" folds",2021-05-22T06:15:48.988Z,162166414898900
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.80",2021-05-22T06:15:46.126Z,162166414613500
"""Malarkey @ Ia-cNlUwV8"" calls 0.35",2021-05-22T06:15:35.915Z,162166413591600
"""K. Godel @ TN11URmFSv"" raises to 0.35",2021-05-22T06:15:33.883Z,162166413388400
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-22T06:15:28.567Z,162166412856806
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.05",2021-05-22T06:15:28.567Z,162166412856805
"Your hand is 3♥, A♥",2021-05-22T06:15:28.567Z,162166412856803
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (51.78) | #4 ""K. Godel @ TN11URmFSv"" (9.57) | #9 ""Malarkey @ Ia-cNlUwV8"" (28.65)",2021-05-22T06:15:28.567Z,162166412856801
"-- starting hand #344  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-22T06:15:28.567Z,162166412856800
"-- ending hand #343 --",2021-05-22T06:15:25.638Z,162166412563802
"""K. Godel @ TN11URmFSv"" collected 1.05 from pot",2021-05-22T06:15:25.638Z,162166412563801
"Uncalled bet of 0.52 returned to ""K. Godel @ TN11URmFSv""",2021-05-22T06:15:25.638Z,162166412563800
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-22T06:15:24.826Z,162166412482700
"""Malarkey @ Ia-cNlUwV8"" folds",2021-05-22T06:15:23.548Z,162166412354900
"""K. Godel @ TN11URmFSv"" bets 0.52",2021-05-22T06:15:21.375Z,162166412137600
"River: 2♦, A♥, 7♠, 6♥ [3♦]",2021-05-22T06:15:11.712Z,162166411171400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:15:10.886Z,162166411088600
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:15:09.097Z,162166410909800
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:15:06.133Z,162166410613400
"Turn: 2♦, A♥, 7♠ [6♥]",2021-05-22T06:14:59.693Z,162166409969400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-22T06:14:58.886Z,162166409888700
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:14:55.356Z,162166409535700
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:14:52.950Z,162166409295100
"Flop:  [2♦, A♥, 7♠]",2021-05-22T06:14:44.485Z,162166408448600
"""Malarkey @ Ia-cNlUwV8"" calls 0.35",2021-05-22T06:14:43.657Z,162166408365800
"""K. Godel @ TN11URmFSv"" calls 0.35",2021-05-22T06:14:41.642Z,162166408164300
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-05-22T06:14:31.292Z,162166407129300
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.10",2021-05-22T06:14:24.220Z,162166406422106
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-22T06:14:24.220Z,162166406422105
"Your hand is 9♠, 7♦",2021-05-22T06:14:24.220Z,162166406422103
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (52.13) | #4 ""K. Godel @ TN11URmFSv"" (8.87) | #9 ""Malarkey @ Ia-cNlUwV8"" (29.00)",2021-05-22T06:14:24.220Z,162166406422101
"-- starting hand #343  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-22T06:14:24.220Z,162166406422100
"""Malarkey @ Ia-cNlUwV8"" shows a 3♥, 4♣.",2021-05-22T06:14:22.005Z,162166406200500
"-- ending hand #342 --",2021-05-22T06:14:20.593Z,162166406059702
"""Malarkey @ Ia-cNlUwV8"" collected 3.71 from pot",2021-05-22T06:14:20.593Z,162166406059701
"Uncalled bet of 8.87 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-22T06:14:20.593Z,162166406059700
"""K. Godel @ TN11URmFSv"" folds",2021-05-22T06:14:19.789Z,162166405979000
"""Malarkey @ Ia-cNlUwV8"" bets 8.87 and go all in",2021-05-22T06:14:11.884Z,162166405188400
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:14:07.494Z,162166404749500
"River: 4♦, 4♠, K♥, 9♦ [7♠]",2021-05-22T06:13:59.818Z,162166403982000
"""K. Godel @ TN11URmFSv"" calls 1.11",2021-05-22T06:13:59.004Z,162166403900500
"""Malarkey @ Ia-cNlUwV8"" bets 1.11",2021-05-22T06:13:56.334Z,162166403633400
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:13:52.052Z,162166403205300
"Turn: 4♦, 4♠, K♥ [9♦]",2021-05-22T06:13:49.511Z,162166402951200
"""K. Godel @ TN11URmFSv"" calls 0.37",2021-05-22T06:13:48.704Z,162166402870500
"""Malarkey @ Ia-cNlUwV8"" bets 0.37",2021-05-22T06:13:45.442Z,162166402544300
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:13:41.176Z,162166402117700
"Flop:  [4♦, 4♠, K♥]",2021-05-22T06:13:39.029Z,162166401903000
"""K. Godel @ TN11URmFSv"" calls 0.35",2021-05-22T06:13:38.224Z,162166401822500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-22T06:13:36.411Z,162166401641200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.35",2021-05-22T06:13:35.560Z,162166401556100
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-22T06:13:32.053Z,162166401205506
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-05-22T06:13:32.053Z,162166401205505
"Your hand is J♠, K♦",2021-05-22T06:13:32.053Z,162166401205503
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (52.18) | #4 ""K. Godel @ TN11URmFSv"" (10.70) | #9 ""Malarkey @ Ia-cNlUwV8"" (27.12)",2021-05-22T06:13:32.053Z,162166401205501
"-- starting hand #342  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2021-05-22T06:13:32.053Z,162166401205500
"-- ending hand #341 --",2021-05-22T06:13:26.047Z,162166400604804
"""Malarkey @ Ia-cNlUwV8"" collected 2.40 from pot with Pair, 8's (combination: 8♠, 8♦, A♦, K♦, 7♣)",2021-05-22T06:13:26.047Z,162166400604803
"""Malarkey @ Ia-cNlUwV8"" shows a 2♣, A♦.",2021-05-22T06:13:26.047Z,162166400604802
"""K. Godel @ TN11URmFSv"" collected 2.40 from pot with Pair, 8's (combination: 8♠, 8♦, A♥, K♦, 7♣)",2021-05-22T06:13:26.047Z,162166400604801
"""K. Godel @ TN11URmFSv"" shows a 3♣, A♥.",2021-05-22T06:13:26.047Z,162166400604800
"""K. Godel @ TN11URmFSv"" calls 1.20",2021-05-22T06:13:25.242Z,162166400524300
"""Malarkey @ Ia-cNlUwV8"" bets 1.20",2021-05-22T06:13:22.780Z,162166400278100
"River: 7♣, K♦, 8♠, 8♦ [5♠]",2021-05-22T06:13:18.156Z,162166399815700
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:13:17.342Z,162166399734300
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:13:15.619Z,162166399562000
"Turn: 7♣, K♦, 8♠ [8♦]",2021-05-22T06:13:12.873Z,162166399287400
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:13:12.065Z,162166399206600
"""Malarkey @ Ia-cNlUwV8"" checks",2021-05-22T06:13:09.967Z,162166398996700
"Flop:  [7♣, K♦, 8♠]",2021-05-22T06:13:05.962Z,162166398596300
"""K. Godel @ TN11URmFSv"" calls 1.15",2021-05-22T06:13:05.111Z,162166398511100
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-22T06:13:00.437Z,162166398043800
"""Malarkey @ Ia-cNlUwV8"" raises to 1.15",2021-05-22T06:12:59.572Z,162166397957200
"""K. Godel @ TN11URmFSv"" raises to 0.35",2021-05-22T06:12:55.276Z,162166397527700
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-05-22T06:12:51.622Z,162166397162306
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.05",2021-05-22T06:12:51.622Z,162166397162305
"Your hand is 3♣, A♥",2021-05-22T06:12:51.622Z,162166397162303
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (52.28) | #4 ""K. Godel @ TN11URmFSv"" (10.65) | #9 ""Malarkey @ Ia-cNlUwV8"" (27.07)",2021-05-22T06:12:51.622Z,162166397162301
"-- starting hand #341  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-22T06:12:51.622Z,162166397162300
"-- ending hand #340 --",2021-05-22T06:12:48.698Z,162166396869902
"""Malarkey @ Ia-cNlUwV8"" collected 1.20 from pot",2021-05-22T06:12:48.698Z,162166396869901
"Uncalled bet of 0.90 returned to ""Malarkey @ Ia-cNlUwV8""",2021-05-22T06:12:48.698Z,162166396869900
"""K. Godel @ TN11URmFSv"" folds",2021-05-22T06:12:47.889Z,162166396789000
"""Malarkey @ Ia-cNlUwV8"" bets 0.90",2021-05-22T06:12:46.246Z,162166396624700
"""K. Godel @ TN11URmFSv"" checks",2021-05-22T06:12:38.826Z,162166395882800
"Turn: 7♥, 8♠, 7♦ [4♦]",2021-05-22T06:12:36.918Z,162166395692000
