entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 116.68.",2022-04-02T04:59:36.265Z,164887557626500
"-- ending hand #244 --",2022-04-02T04:59:33.339Z,164887557333902
"""Malarkey @ Ia-cNlUwV8"" collected 3.00 from pot",2022-04-02T04:59:33.339Z,164887557333901
"Uncalled bet of 3.00 returned to ""Malarkey @ Ia-cNlUwV8""",2022-04-02T04:59:33.339Z,164887557333900
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-02T04:59:32.456Z,164887557245600
"""Malarkey @ Ia-cNlUwV8"" bets 3.00",2022-04-02T04:59:30.861Z,164887557086100
"River: 2♠, A♥, 8♣, Q♥ [3♥]",2022-04-02T04:59:27.939Z,164887556793900
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-02T04:59:27.071Z,164887556707100
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-02T04:59:24.074Z,164887556407400
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-04-02T04:59:23.186Z,164887556318600
"Turn: 2♠, A♥, 8♣ [Q♥]",2022-04-02T04:59:20.935Z,164887556093500
"""Malarkey @ Ia-cNlUwV8"" calls 0.75",2022-04-02T04:59:20.065Z,164887556006500
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2022-04-02T04:59:17.954Z,164887555795400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-02T04:59:11.842Z,164887555184200
"Flop:  [2♠, A♥, 8♣]",2022-04-02T04:59:08.632Z,164887554863200
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-04-02T04:59:07.789Z,164887554778900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-04-02T04:59:05.580Z,164887554558000
"""K Godel @ Di5cxDUTF9"" folds",2022-04-02T04:58:57.974Z,164887553797400
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-04-02T04:58:49.348Z,164887552934806
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-04-02T04:58:49.348Z,164887552934805
