entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" stand up with the stack of 5.64.",2022-05-21T03:25:54.974Z,165310355497400
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 5.51.",2022-05-21T03:25:36.306Z,165310353630600
"-- ending hand #178 --",2022-05-21T03:25:27.292Z,165310352729202
"""Malarkey @ Ia-cNlUwV8"" collected 1.80 from pot with Straight (combination: Q♥, J♣, 10♥, 9♠, 8♣)",2022-05-21T03:25:27.292Z,165310352729201
"""Malarkey @ Ia-cNlUwV8"" shows a 8♣, 7♦, J♣, J♠.",2022-05-21T03:25:27.292Z,165310352729200
"""K Godel @ Di5cxDUTF9"" calls 0.60",2022-05-21T03:25:26.395Z,165310352639500
"""Malarkey @ Ia-cNlUwV8"" bets 0.60",2022-05-21T03:25:23.886Z,165310352388600
"River: 3♣, 10♥, 9♠, 4♣ [Q♥]",2022-05-21T03:25:19.567Z,165310351956700
"""K Godel @ Di5cxDUTF9"" checks",2022-05-21T03:25:18.749Z,165310351874900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-05-21T03:25:17.007Z,165310351700700
"Turn: 3♣, 10♥, 9♠ [4♣]",2022-05-21T03:25:14.761Z,165310351476100
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-05-21T03:25:13.911Z,165310351391100
"""Malarkey @ Ia-cNlUwV8"" bets 0.18",2022-05-21T03:25:12.109Z,165310351210900
"Flop:  [3♣, 10♥, 9♠]",2022-05-21T03:25:00.842Z,165310350084200
"""K Godel @ Di5cxDUTF9"" calls 0.12",2022-05-21T03:25:00.034Z,165310350003400
"""Malarkey @ Ia-cNlUwV8"" raises to 0.12",2022-05-21T03:24:54.810Z,165310349481000
"""K Godel @ Di5cxDUTF9"" posts a straddle of 0.04",2022-05-21T03:24:51.036Z,165310349103606
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-05-21T03:24:51.036Z,165310349103605
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-21T03:24:51.036Z,165310349103604
"Your hand is 5♦, 3♦, 10♣, 4♥",2022-05-21T03:24:51.036Z,165310349103602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (6.41) | #5 ""Malarkey @ Ia-cNlUwV8"" (4.74)",2022-05-21T03:24:51.036Z,165310349103601
"-- starting hand #178  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-21T03:24:51.036Z,165310349103600
"-- ending hand #177 --",2022-05-21T03:24:48.035Z,165310348803502
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-05-21T03:24:48.035Z,165310348803501
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-05-21T03:24:48.035Z,165310348803500
"""Malarkey @ Ia-cNlUwV8"" folds",2022-05-21T03:24:47.163Z,165310348716300
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-21T03:24:42.719Z,165310348271906
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-05-21T03:24:42.719Z,165310348271905
"Your hand is 5♦, 9♠, J♥, K♣",2022-05-21T03:24:42.719Z,165310348271903
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (6.40) | #5 ""Malarkey @ Ia-cNlUwV8"" (4.75)",2022-05-21T03:24:42.719Z,165310348271902
"-- starting hand #177  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-05-21T03:24:42.719Z,165310348271901
"The player ""TLS @ tfHtIxkcZq"" quits the game with a stack of 0.00.",2022-05-21T03:24:42.719Z,165310348271900
"-- ending hand #176 --",2022-05-21T03:24:33.625Z,165310347362501
