entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 0.",2022-03-16T00:44:42.273Z,164739148227300
"-- ending hand #113 --",2022-03-16T00:44:36.032Z,164739147603203
"""Deckhole @ _yf6aQFJyI"" shows a J♥, 9♣.",2022-03-16T00:44:36.032Z,164739147603202
"""K Godel @ Di5cxDUTF9"" collected 4400 from pot with Full House, 5's over J's (combination: 5♦, 5♣, 5♠, J♦, J♠)",2022-03-16T00:44:36.032Z,164739147603201
"""K Godel @ Di5cxDUTF9"" shows a J♦, 5♦.",2022-03-16T00:44:36.032Z,164739147603200
"""Deckhole @ _yf6aQFJyI"" calls 1450 and go all in",2022-03-16T00:44:35.169Z,164739147516900
"""K Godel @ Di5cxDUTF9"" bets 1450 and go all in",2022-03-16T00:44:15.045Z,164739145504500
"River: 5♣, J♠, 5♠, 3♦ [8♣]",2022-03-16T00:44:09.016Z,164739144901600
"""K Godel @ Di5cxDUTF9"" calls 375",2022-03-16T00:44:08.196Z,164739144819600
"""Deckhole @ _yf6aQFJyI"" bets 375",2022-03-16T00:43:51.846Z,164739143184600
"""K Godel @ Di5cxDUTF9"" checks",2022-03-16T00:43:42.251Z,164739142225100
"Turn: 5♣, J♠, 5♠ [3♦]",2022-03-16T00:43:35.897Z,164739141589700
"""K Godel @ Di5cxDUTF9"" calls 125",2022-03-16T00:43:35.072Z,164739141507200
"""Deckhole @ _yf6aQFJyI"" bets 125",2022-03-16T00:43:28.876Z,164739140887600
"""K Godel @ Di5cxDUTF9"" checks",2022-03-16T00:43:24.237Z,164739140423700
"Flop:  [5♣, J♠, 5♠]",2022-03-16T00:43:20.185Z,164739140018500
"""K Godel @ Di5cxDUTF9"" calls 250",2022-03-16T00:43:19.352Z,164739139935200
"""Deckhole @ _yf6aQFJyI"" raises to 250",2022-03-16T00:43:12.255Z,164739139225500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 100",2022-03-16T00:43:07.067Z,164739138706705
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 50",2022-03-16T00:43:07.067Z,164739138706704
"Your hand is J♦, 5♦",2022-03-16T00:43:07.067Z,164739138706703
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (2200) | #2 ""K Godel @ Di5cxDUTF9"" (17800)",2022-03-16T00:43:07.067Z,164739138706701
"-- starting hand #113  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-03-16T00:43:07.067Z,164739138706700
"-- ending hand #112 --",2022-03-16T00:43:04.051Z,164739138405102
"""Deckhole @ _yf6aQFJyI"" collected 100 from pot",2022-03-16T00:43:04.051Z,164739138405101
"Uncalled bet of 50 returned to ""Deckhole @ _yf6aQFJyI""",2022-03-16T00:43:04.051Z,164739138405100
