entry,at,order
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 3.77.",2022-05-13T03:57:48.359Z,165241426835901
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 9.09.",2022-05-13T03:57:48.359Z,165241426835900
"-- ending hand #144 --",2022-05-13T03:57:39.276Z,165241425927603
"""K Godel @ Di5cxDUTF9"" shows a Q♣, 8♠.",2022-05-13T03:57:39.276Z,165241425927602
"""Jean @ _qaxMUlwNf"" collected 0.36 from pot with Pair, 2's (combination: 2♠, 2♦, J♣, 9♦, 7♠)",2022-05-13T03:57:39.276Z,165241425927601
"""Jean @ _qaxMUlwNf"" shows a 2♠, 2♦.",2022-05-13T03:57:39.276Z,165241425927600
"""K Godel @ Di5cxDUTF9"" checks",2022-05-13T03:57:38.420Z,165241425842000
"""Jean @ _qaxMUlwNf"" checks",2022-05-13T03:57:36.891Z,165241425689100
"River: J♣, 9♦, 5♣, 7♠ [3♣]",2022-05-13T03:57:34.545Z,165241425454500
"""K Godel @ Di5cxDUTF9"" checks",2022-05-13T03:57:33.679Z,165241425367900
"""Jean @ _qaxMUlwNf"" checks",2022-05-13T03:57:31.469Z,165241425146900
"Turn: J♣, 9♦, 5♣ [7♠]",2022-05-13T03:57:29.742Z,165241424974200
"""K Godel @ Di5cxDUTF9"" checks",2022-05-13T03:57:28.869Z,165241424886900
"""Jean @ _qaxMUlwNf"" checks",2022-05-13T03:57:27.273Z,165241424727300
"Flop:  [J♣, 9♦, 5♣]",2022-05-13T03:57:24.649Z,165241424464900
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-05-13T03:57:23.751Z,165241424375100
"""Jean @ _qaxMUlwNf"" raises to 0.18",2022-05-13T03:57:21.879Z,165241424187900
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-05-13T03:57:16.781Z,165241423678100
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-05-13T03:57:08.427Z,165241422842705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-13T03:57:08.427Z,165241422842704
"Your hand is Q♣, 8♠",2022-05-13T03:57:08.427Z,165241422842702
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (9.27) | #2 ""Jean @ _qaxMUlwNf"" (3.59)",2022-05-13T03:57:08.427Z,165241422842701
"-- starting hand #144  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-13T03:57:08.427Z,165241422842700
"-- ending hand #143 --",2022-05-13T03:57:05.435Z,165241422543502
"""K Godel @ Di5cxDUTF9"" collected 0.02 from pot",2022-05-13T03:57:05.435Z,165241422543501
"Uncalled bet of 0.01 returned to ""K Godel @ Di5cxDUTF9""",2022-05-13T03:57:05.435Z,165241422543500
"""Jean @ _qaxMUlwNf"" folds",2022-05-13T03:57:04.582Z,165241422458200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-13T03:56:52.930Z,165241421293005
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-13T03:56:52.930Z,165241421293004
"Your hand is 6♥, 8♠",2022-05-13T03:56:52.930Z,165241421293002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (9.26) | #2 ""Jean @ _qaxMUlwNf"" (3.60)",2022-05-13T03:56:52.930Z,165241421293001
"-- starting hand #143  (No Limit Texas Hold'em) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-05-13T03:56:52.930Z,165241421293000
"-- ending hand #142 --",2022-05-13T03:56:50.016Z,165241421001602
"""Jean @ _qaxMUlwNf"" collected 0.02 from pot",2022-05-13T03:56:50.016Z,165241421001601
"Uncalled bet of 0.01 returned to ""Jean @ _qaxMUlwNf""",2022-05-13T03:56:50.016Z,165241421001600
"""K Godel @ Di5cxDUTF9"" folds",2022-05-13T03:56:49.172Z,165241420917200
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-05-13T03:56:40.919Z,165241420091906
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-13T03:56:40.919Z,165241420091905
"Your hand is 2♦, 9♣",2022-05-13T03:56:40.919Z,165241420091903
