entry,at,order
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 28.64.",2022-05-01T05:23:02.686Z,165138258268600
"The player ""Jean @ _qaxMUlwNf"" sit back with the stack of 28.64.",2022-05-01T05:23:00.617Z,165138258061700
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 28.64.",2022-05-01T05:22:57.692Z,165138257769200
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 76.61.",2022-05-01T05:15:52.601Z,165138215260101
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 184.75.",2022-05-01T05:15:52.601Z,165138215260100
"-- ending hand #336 --",2022-05-01T05:15:49.610Z,165138214961002
"""Deckhole @ _yf6aQFJyI"" collected 3.00 from pot",2022-05-01T05:15:49.610Z,165138214961001
"Uncalled bet of 3.00 returned to ""Deckhole @ _yf6aQFJyI""",2022-05-01T05:15:49.610Z,165138214961000
"""Jean @ _qaxMUlwNf"" folds",2022-05-01T05:15:48.791Z,165138214879100
"""Deckhole @ _yf6aQFJyI"" bets 3.00",2022-05-01T05:15:42.255Z,165138214225500
"Turn: 2♦, K♠, 4♥ [6♣]",2022-05-01T05:15:34.398Z,165138213439800
"""Jean @ _qaxMUlwNf"" calls 0.75",2022-05-01T05:15:33.573Z,165138213357300
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2022-05-01T05:15:28.167Z,165138212816700
"Flop:  [2♦, K♠, 4♥]",2022-05-01T05:15:10.777Z,165138211077700
"""Jean @ _qaxMUlwNf"" calls 0.75",2022-05-01T05:15:09.913Z,165138210991300
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-05-01T05:14:57.406Z,165138209740600
"""K Godel @ Di5cxDUTF9"" folds",2022-05-01T05:14:53.309Z,165138209330900
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.25",2022-05-01T05:14:42.873Z,165138208287306
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-05-01T05:14:42.873Z,165138208287305
"Your hand is 6♥, 10♠, 7♣, 5♠",2022-05-01T05:14:42.873Z,165138208287302
