entry,at,order
"The player ""scott @ nj_yF1nN56"" stand up with the stack of 97.44.",2022-04-30T04:40:24.186Z,165129362418601
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 217.33.",2022-04-30T04:40:24.186Z,165129362418600
"""Deckhole @ _yf6aQFJyI"" shows a 5♣, K♣, 6♠, 4♦.",2022-04-30T04:40:22.835Z,165129362283500
"-- ending hand #226 --",2022-04-30T04:33:06.330Z,165129318633002
"""Deckhole @ _yf6aQFJyI"" collected 0.50 from pot",2022-04-30T04:33:06.330Z,165129318633001
"Uncalled bet of 0.50 returned to ""Deckhole @ _yf6aQFJyI""",2022-04-30T04:33:06.330Z,165129318633000
"""scott @ nj_yF1nN56"" folds",2022-04-30T04:33:05.427Z,165129318542700
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-04-30T04:33:04.564Z,165129318456400
"""scott @ nj_yF1nN56"" posts a big blind of 0.25",2022-04-30T04:32:52.020Z,165129317202005
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-04-30T04:32:52.020Z,165129317202004
"Player stacks: #7 ""Deckhole @ _yf6aQFJyI"" (217.08) | #10 ""scott @ nj_yF1nN56"" (97.69)",2022-04-30T04:32:52.020Z,165129317202001
"-- starting hand #226  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-04-30T04:32:52.020Z,165129317202000
"-- ending hand #225 --",2022-04-30T04:32:49.022Z,165129316902202
"""scott @ nj_yF1nN56"" collected 0.50 from pot",2022-04-30T04:32:49.022Z,165129316902201
"Uncalled bet of 0.25 returned to ""scott @ nj_yF1nN56""",2022-04-30T04:32:49.022Z,165129316902200
"""Deckhole @ _yf6aQFJyI"" folds",2022-04-30T04:32:48.125Z,165129316812500
"""scott @ nj_yF1nN56"" bets 0.25",2022-04-30T04:32:44.792Z,165129316479200
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-30T04:32:39.826Z,165129315982600
"Flop:  [8♦, 5♣, 6♥]",2022-04-30T04:32:36.308Z,165129315630800
"""Deckhole @ _yf6aQFJyI"" checks",2022-04-30T04:32:35.471Z,165129315547100
