entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 12.24.",2022-04-25T04:42:11.252Z,165086173125200
"-- ending hand #254 --",2022-04-25T04:42:08.253Z,165086172825302
"""K Godel @ Di5cxDUTF9"" collected 0.30 from pot",2022-04-25T04:42:08.253Z,165086172825301
"Uncalled bet of 0.15 returned to ""K Godel @ Di5cxDUTF9""",2022-04-25T04:42:08.253Z,165086172825300
"""Malarkey @ Ia-cNlUwV8"" folds",2022-04-25T04:42:07.345Z,165086172734500
"""K Godel @ Di5cxDUTF9"" bets 0.15",2022-04-25T04:42:06.087Z,165086172608700
"River: 8♣, 3♦, Q♠, K♥ [6♣]",2022-04-25T04:41:59.050Z,165086171905000
"""Malarkey @ Ia-cNlUwV8"" calls 0.09",2022-04-25T04:41:58.239Z,165086171823900
"""K Godel @ Di5cxDUTF9"" bets 0.09",2022-04-25T04:41:56.871Z,165086171687100
"Turn: 8♣, 3♦, Q♠ [K♥]",2022-04-25T04:41:52.442Z,165086171244200
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-25T04:41:51.596Z,165086171159600
"""K Godel @ Di5cxDUTF9"" checks",2022-04-25T04:41:48.588Z,165086170858800
"Flop:  [8♣, 3♦, Q♠]",2022-04-25T04:41:45.842Z,165086170584200
"""K Godel @ Di5cxDUTF9"" calls 0.06",2022-04-25T04:41:44.995Z,165086170499500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-04-25T04:41:42.606Z,165086170260600
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-25T04:41:38.640Z,165086169864006
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-04-25T04:41:38.640Z,165086169864005
"Your hand is K♠, 3♠",2022-04-25T04:41:38.640Z,165086169864003
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.09) | #10 ""Malarkey @ Ia-cNlUwV8"" (19.60)",2022-04-25T04:41:38.640Z,165086169864002
"-- starting hand #254  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-04-25T04:41:38.640Z,165086169864001
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 0.00.",2022-04-25T04:41:38.640Z,165086169864000
"-- ending hand #253 --",2022-04-25T04:41:29.632Z,165086168963203
"""Poindexter @ _yf6aQFJyI"" shows a 10♠, 9♦.",2022-04-25T04:41:29.632Z,165086168963202
"""Malarkey @ Ia-cNlUwV8"" collected 15.54 from pot with Flush, Ah High (combination: A♥, K♥, Q♥, 10♥, 7♥)",2022-04-25T04:41:29.632Z,165086168963201
"""Malarkey @ Ia-cNlUwV8"" shows a A♥, 10♥.",2022-04-25T04:41:29.632Z,165086168963200
"""Malarkey @ Ia-cNlUwV8"" calls 3.45",2022-04-25T04:41:28.723Z,165086168872300
"""Poindexter @ _yf6aQFJyI"" bets 3.45 and go all in",2022-04-25T04:41:24.438Z,165086168443800
"River: J♠, K♥, 7♥, 6♦ [Q♥]",2022-04-25T04:41:19.455Z,165086167945500
"""Malarkey @ Ia-cNlUwV8"" calls 3.24",2022-04-25T04:41:18.519Z,165086167851900
"""Poindexter @ _yf6aQFJyI"" raises to 3.24",2022-04-25T04:41:16.372Z,165086167637200
"""Malarkey @ Ia-cNlUwV8"" bets 1.08",2022-04-25T04:40:52.416Z,165086165241600
"""Poindexter @ _yf6aQFJyI"" checks",2022-04-25T04:40:41.074Z,165086164107400
"Turn: J♠, K♥, 7♥ [6♦]",2022-04-25T04:40:39.085Z,165086163908500
"""Poindexter @ _yf6aQFJyI"" calls 0.90",2022-04-25T04:40:38.239Z,165086163823900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.90",2022-04-25T04:40:19.469Z,165086161946900
"""Poindexter @ _yf6aQFJyI"" bets 0.18",2022-04-25T04:40:02.328Z,165086160232800
"Flop:  [J♠, K♥, 7♥]",2022-04-25T04:39:53.373Z,165086159337300
"""Poindexter @ _yf6aQFJyI"" calls 0.18",2022-04-25T04:39:52.525Z,165086159252500
"""Malarkey @ Ia-cNlUwV8"" raises to 0.18",2022-04-25T04:39:44.248Z,165086158424800
"""Poindexter @ _yf6aQFJyI"" raises to 0.06",2022-04-25T04:39:40.804Z,165086158080400
"""K Godel @ Di5cxDUTF9"" folds",2022-04-25T04:39:35.269Z,165086157526900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-04-25T04:39:33.859Z,165086157385906
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-04-25T04:39:33.859Z,165086157385905
"Your hand is 7♣, 4♥",2022-04-25T04:39:33.859Z,165086157385902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.09) | #2 ""Poindexter @ _yf6aQFJyI"" (7.77) | #10 ""Malarkey @ Ia-cNlUwV8"" (11.83)",2022-04-25T04:39:33.859Z,165086157385901
"-- starting hand #253  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-04-25T04:39:33.859Z,165086157385900
"""Malarkey @ Ia-cNlUwV8"" shows a 6♥, 7♥.",2022-04-25T04:39:29.357Z,165086156935700
"""Poindexter @ _yf6aQFJyI"" shows a Q♥, 9♦.",2022-04-25T04:39:27.067Z,165086156706700
"-- ending hand #252 --",2022-04-25T04:39:26.461Z,165086156646102
"""Poindexter @ _yf6aQFJyI"" collected 0.15 from pot",2022-04-25T04:39:26.461Z,165086156646101
"Uncalled bet of 0.07 returned to ""Poindexter @ _yf6aQFJyI""",2022-04-25T04:39:26.461Z,165086156646100
"""Malarkey @ Ia-cNlUwV8"" folds",2022-04-25T04:39:25.639Z,165086156563900
"""Poindexter @ _yf6aQFJyI"" bets 0.07",2022-04-25T04:39:20.765Z,165086156076500
"Turn: 10♦, J♥, K♣ [5♠]",2022-04-25T04:39:17.150Z,165086155715000
"""Malarkey @ Ia-cNlUwV8"" checks",2022-04-25T04:39:16.267Z,165086155626700
"""Poindexter @ _yf6aQFJyI"" checks",2022-04-25T04:39:14.895Z,165086155489500
"Flop:  [10♦, J♥, K♣]",2022-04-25T04:39:08.552Z,165086154855200
"""Poindexter @ _yf6aQFJyI"" calls 0.07",2022-04-25T04:39:07.727Z,165086154772700
"""K Godel @ Di5cxDUTF9"" folds",2022-04-25T04:39:06.019Z,165086154601900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.07",2022-04-25T04:39:02.769Z,165086154276900
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-04-25T04:39:00.344Z,165086154034406
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-04-25T04:39:00.344Z,165086154034405
"Your hand is 7♦, K♦",2022-04-25T04:39:00.344Z,165086154034402
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (12.10) | #2 ""Poindexter @ _yf6aQFJyI"" (7.69) | #10 ""Malarkey @ Ia-cNlUwV8"" (11.90)",2022-04-25T04:39:00.344Z,165086154034401
