entry,at,order
"The player ""She’s cake @ rMEEwzMegO"" quits the game with a stack of 3.93.",2022-04-13T02:16:56.795Z,164981621679500
"The player ""She’s cake @ rMEEwzMegO"" stand up with the stack of 3.93.",2022-04-13T02:16:25.993Z,164981618599300
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.57.",2022-04-13T02:16:15.801Z,164981617580100
"-- ending hand #196 --",2022-04-13T02:16:12.871Z,164981617287102
"""She’s cake @ rMEEwzMegO"" collected 0.04 from pot",2022-04-13T02:16:12.871Z,164981617287101
"Uncalled bet of 0.02 returned to ""She’s cake @ rMEEwzMegO""",2022-04-13T02:16:12.871Z,164981617287100
"""K Godel @ Di5cxDUTF9"" folds",2022-04-13T02:16:12.019Z,164981617201900
"""She’s cake @ rMEEwzMegO"" raises to 0.04",2022-04-13T02:16:08.551Z,164981616855100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-13T02:16:05.188Z,164981616518806
"""She’s cake @ rMEEwzMegO"" posts a small blind of 0.01",2022-04-13T02:16:05.188Z,164981616518805
"Your hand is 5♣, 8♦",2022-04-13T02:16:05.188Z,164981616518803
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (7.59) | #9 ""She’s cake @ rMEEwzMegO"" (3.91)",2022-04-13T02:16:05.188Z,164981616518802
"-- starting hand #196  (No Limit Texas Hold'em) (dealer: ""She’s cake @ rMEEwzMegO"") --",2022-04-13T02:16:05.188Z,164981616518801
"The player ""Lori @ T4dnUDNjdJ"" quits the game with a stack of 2.23.",2022-04-13T02:16:05.188Z,164981616518800
"-- ending hand #195 --",2022-04-13T02:15:56.065Z,164981615606503
"""She’s cake @ rMEEwzMegO"" shows a Q♦, A♦.",2022-04-13T02:15:56.065Z,164981615606502
"""Lori @ T4dnUDNjdJ"" collected 0.12 from pot with Two Pair, K's & 10's (combination: K♦, K♥, 10♦, 10♠, 7♠)",2022-04-13T02:15:56.065Z,164981615606501
"""Lori @ T4dnUDNjdJ"" shows a K♦, 7♠.",2022-04-13T02:15:56.065Z,164981615606500
"""Lori @ T4dnUDNjdJ"" checks",2022-04-13T02:15:55.194Z,164981615519400
"""K Godel @ Di5cxDUTF9"" checks",2022-04-13T02:15:52.672Z,164981615267200
"""She’s cake @ rMEEwzMegO"" checks",2022-04-13T02:15:37.762Z,164981613776200
"River: 2♣, K♥, 10♦, 4♣ [10♠]",2022-04-13T02:15:35.569Z,164981613556900
"""Lori @ T4dnUDNjdJ"" checks",2022-04-13T02:15:34.748Z,164981613474800
"""K Godel @ Di5cxDUTF9"" checks",2022-04-13T02:15:30.687Z,164981613068700
"""She’s cake @ rMEEwzMegO"" checks",2022-04-13T02:15:09.602Z,164981610960200
"Turn: 2♣, K♥, 10♦ [4♣]",2022-04-13T02:15:07.536Z,164981610753600
"""Lori @ T4dnUDNjdJ"" checks",2022-04-13T02:15:06.646Z,164981610664600
"""K Godel @ Di5cxDUTF9"" checks",2022-04-13T02:14:57.544Z,164981609754400
"""She’s cake @ rMEEwzMegO"" checks",2022-04-13T02:14:36.174Z,164981607617400
"Flop:  [2♣, K♥, 10♦]",2022-04-13T02:14:34.022Z,164981607402200
"""Lori @ T4dnUDNjdJ"" calls 0.04",2022-04-13T02:14:33.147Z,164981607314700
"""K Godel @ Di5cxDUTF9"" calls 0.04",2022-04-13T02:14:26.078Z,164981606607800
"""She’s cake @ rMEEwzMegO"" raises to 0.04",2022-04-13T02:14:23.473Z,164981606347300
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-04-13T02:14:20.532Z,164981606053200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-04-13T02:14:18.004Z,164981605800406
"""She’s cake @ rMEEwzMegO"" posts a small blind of 0.01",2022-04-13T02:14:18.004Z,164981605800405
"Your hand is 6♠, 8♠",2022-04-13T02:14:18.004Z,164981605800402
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (7.63) | #5 ""Lori @ T4dnUDNjdJ"" (2.15) | #9 ""She’s cake @ rMEEwzMegO"" (3.95)",2022-04-13T02:14:18.004Z,164981605800401
"-- starting hand #195  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-04-13T02:14:18.004Z,164981605800400
"-- ending hand #194 --",2022-04-13T02:14:15.005Z,164981605500502
"""K Godel @ Di5cxDUTF9"" collected 0.05 from pot",2022-04-13T02:14:15.005Z,164981605500501
"Uncalled bet of 0.05 returned to ""K Godel @ Di5cxDUTF9""",2022-04-13T02:14:15.005Z,164981605500500
