entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-03-09T04:28:21.408Z,164680010140800
"-- ending hand #118 --",2022-03-09T04:28:12.385Z,164680009238503
"""Malarkey @ Ia-cNlUwV8"" shows a 7♦, A♠.",2022-03-09T04:28:12.385Z,164680009238502
"""Jean @ _qaxMUlwNf"" collected 3.98 from pot with Two Pair, J's & 5's (combination: J♥, J♣, 5♣, 5♥, 10♥)",2022-03-09T04:28:12.385Z,164680009238501
"""Jean @ _qaxMUlwNf"" shows a 5♣, J♥.",2022-03-09T04:28:12.385Z,164680009238500
"""Malarkey @ Ia-cNlUwV8"" calls 1.27 and go all in",2022-03-09T04:28:11.498Z,164680009149800
"""Jean @ _qaxMUlwNf"" bets 1.27",2022-03-09T04:28:05.319Z,164680008531900
"""Malarkey @ Ia-cNlUwV8"" checks",2022-03-09T04:28:00.066Z,164680008006600
"River: 2♦, 10♥, J♣, 7♠ [5♥]",2022-03-09T04:27:58.375Z,164680007837500
"""Jean @ _qaxMUlwNf"" calls 0.36",2022-03-09T04:27:57.408Z,164680007740800
"""Malarkey @ Ia-cNlUwV8"" bets 0.36",2022-03-09T04:27:55.389Z,164680007538900
"Turn: 2♦, 10♥, J♣ [7♠]",2022-03-09T04:27:51.573Z,164680007157300
"""Jean @ _qaxMUlwNf"" calls 0.18",2022-03-09T04:27:50.623Z,164680007062300
"""Malarkey @ Ia-cNlUwV8"" bets 0.18",2022-03-09T04:27:47.572Z,164680006757200
"Flop:  [2♦, 10♥, J♣]",2022-03-09T04:27:43.125Z,164680006312500
"""Jean @ _qaxMUlwNf"" calls 0.18",2022-03-09T04:27:42.292Z,164680006229200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.18",2022-03-09T04:27:38.640Z,164680005864000
"""Jean @ _qaxMUlwNf"" raises to 0.06",2022-03-09T04:27:34.279Z,164680005427900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-03-09T04:27:26.965Z,164680004696505
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-03-09T04:27:26.965Z,164680004696504
"Player stacks: #6 ""Jean @ _qaxMUlwNf"" (3.39) | #7 ""Malarkey @ Ia-cNlUwV8"" (1.99)",2022-03-09T04:27:26.965Z,164680004696501
"-- starting hand #118  (No Limit Texas Hold'em) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-03-09T04:27:26.965Z,164680004696500
"-- ending hand #117 --",2022-03-09T04:27:17.873Z,164680003787303
"""Malarkey @ Ia-cNlUwV8"" shows a 8♥, J♠.",2022-03-09T04:27:17.873Z,164680003787302
"""Jean @ _qaxMUlwNf"" collected 0.48 from pot with Pair, J's (combination: J♦, J♣, A♠, K♥, 9♦)",2022-03-09T04:27:17.873Z,164680003787301
"""Jean @ _qaxMUlwNf"" shows a 9♦, J♦.",2022-03-09T04:27:17.873Z,164680003787300
"""Jean @ _qaxMUlwNf"" calls 0.14",2022-03-09T04:27:16.969Z,164680003696900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.14",2022-03-09T04:27:15.037Z,164680003503700
"""Jean @ _qaxMUlwNf"" bets 0.02",2022-03-09T04:27:06.580Z,164680002658000
"River: K♥, J♣, A♠, 6♣ [5♥]",2022-03-09T04:27:04.721Z,164680002472100
"""Malarkey @ Ia-cNlUwV8"" calls 0.02",2022-03-09T04:27:03.891Z,164680002389100
"""Jean @ _qaxMUlwNf"" bets 0.02",2022-03-09T04:27:01.725Z,164680002172500
"Turn: K♥, J♣, A♠ [6♣]",2022-03-09T04:26:59.233Z,164680001923300
"""Malarkey @ Ia-cNlUwV8"" calls 0.02",2022-03-09T04:26:58.394Z,164680001839400
"""Jean @ _qaxMUlwNf"" bets 0.02",2022-03-09T04:26:55.344Z,164680001534400
"Flop:  [K♥, J♣, A♠]",2022-03-09T04:26:49.836Z,164680000983600
"""Jean @ _qaxMUlwNf"" calls 0.06",2022-03-09T04:26:48.992Z,164680000899200
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-03-09T04:26:45.265Z,164680000526500
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-03-09T04:26:42.128Z,164680000212805
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-03-09T04:26:42.128Z,164680000212804
"Player stacks: #6 ""Jean @ _qaxMUlwNf"" (3.15) | #7 ""Malarkey @ Ia-cNlUwV8"" (2.23)",2022-03-09T04:26:42.128Z,164680000212801
"-- starting hand #117  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-03-09T04:26:42.128Z,164680000212800
"""Malarkey @ Ia-cNlUwV8"" shows a 7♠, A♦.",2022-03-09T04:26:40.820Z,164680000082000
"""Jean @ _qaxMUlwNf"" shows a 5♠, 4♥.",2022-03-09T04:26:39.601Z,164679999960100
"-- ending hand #116 --",2022-03-09T04:26:37.807Z,164679999780702
"""Malarkey @ Ia-cNlUwV8"" collected 0.12 from pot",2022-03-09T04:26:37.807Z,164679999780701
"Uncalled bet of 0.06 returned to ""Malarkey @ Ia-cNlUwV8""",2022-03-09T04:26:37.807Z,164679999780700
"""Jean @ _qaxMUlwNf"" folds",2022-03-09T04:26:36.940Z,164679999694000
"""Malarkey @ Ia-cNlUwV8"" bets 0.06",2022-03-09T04:26:34.190Z,164679999419000
"Flop:  [K♥, K♦, 9♠]",2022-03-09T04:26:30.205Z,164679999020500
"""Jean @ _qaxMUlwNf"" calls 0.06",2022-03-09T04:26:29.378Z,164679998937800
"""Malarkey @ Ia-cNlUwV8"" raises to 0.06",2022-03-09T04:26:27.277Z,164679998727700
"""Jean @ _qaxMUlwNf"" calls 0.02",2022-03-09T04:26:21.607Z,164679998160700
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.02",2022-03-09T04:26:18.101Z,164679997810105
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-03-09T04:26:18.101Z,164679997810104
"Player stacks: #6 ""Jean @ _qaxMUlwNf"" (3.21) | #7 ""Malarkey @ Ia-cNlUwV8"" (2.17)",2022-03-09T04:26:18.101Z,164679997810101
"-- starting hand #116  (No Limit Texas Hold'em) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-03-09T04:26:18.101Z,164679997810100
"""Malarkey @ Ia-cNlUwV8"" shows a 10♥, 5♥.",2022-03-09T04:26:16.737Z,164679997673700
"""Jean @ _qaxMUlwNf"" shows a 2♠, 7♦.",2022-03-09T04:26:14.707Z,164679997470700
"-- ending hand #115 --",2022-03-09T04:26:13.702Z,164679997370202
"""Jean @ _qaxMUlwNf"" collected 0.02 from pot",2022-03-09T04:26:13.702Z,164679997370201
"Uncalled bet of 0.01 returned to ""Jean @ _qaxMUlwNf""",2022-03-09T04:26:13.702Z,164679997370200
"""Malarkey @ Ia-cNlUwV8"" folds",2022-03-09T04:26:12.877Z,164679997287700
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-03-09T04:26:10.491Z,164679997049105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.01",2022-03-09T04:26:10.491Z,164679997049104
"Player stacks: #6 ""Jean @ _qaxMUlwNf"" (3.20) | #7 ""Malarkey @ Ia-cNlUwV8"" (2.18)",2022-03-09T04:26:10.491Z,164679997049101
"-- starting hand #115  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-03-09T04:26:10.491Z,164679997049100
"""Malarkey @ Ia-cNlUwV8"" shows a 9♣, 5♦.",2022-03-09T04:26:09.102Z,164679996910200
"""Jean @ _qaxMUlwNf"" shows a A♦, Q♠.",2022-03-09T04:26:07.695Z,164679996769500
"-- ending hand #114 --",2022-03-09T04:26:06.115Z,164679996611502
