entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""Malarkey @ Ia-cNlUwV8"".",2022-03-12T05:57:21.001Z,164706464100100
"The player ""Lori @ T4dnUDNjdJ"" quits the game with a stack of 6.04.",2022-03-12T05:48:07.910Z,164706408791000
"The player ""Lori @ T4dnUDNjdJ"" stand up with the stack of 6.04.",2022-03-12T05:48:05.436Z,164706408543600
"""jean @ IR5E81bjnF"" shows a A♣, K♦.",2022-03-12T05:48:03.689Z,164706408368900
"-- ending hand #257 --",2022-03-12T05:48:01.776Z,164706408177602
"""jean @ IR5E81bjnF"" collected 0.02 from pot",2022-03-12T05:48:01.776Z,164706408177601
"Uncalled bet of 0.01 returned to ""jean @ IR5E81bjnF""",2022-03-12T05:48:01.776Z,164706408177600
"""Lori @ T4dnUDNjdJ"" folds",2022-03-12T05:48:00.836Z,164706408083600
"""jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-03-12T05:47:55.977Z,164706407597705
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-03-12T05:47:55.977Z,164706407597704
"Player stacks: #3 ""jean @ IR5E81bjnF"" (18.53) | #9 ""Lori @ T4dnUDNjdJ"" (6.05)",2022-03-12T05:47:55.977Z,164706407597701
"-- starting hand #257  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-03-12T05:47:55.977Z,164706407597700
"""Lori @ T4dnUDNjdJ"" shows a 7♥, 4♥.",2022-03-12T05:47:50.420Z,164706407042000
"""jean @ IR5E81bjnF"" shows a 3♥, 7♠.",2022-03-12T05:47:49.497Z,164706406949700
"-- ending hand #256 --",2022-03-12T05:47:48.574Z,164706406857402
"""Lori @ T4dnUDNjdJ"" collected 0.02 from pot",2022-03-12T05:47:48.574Z,164706406857401
"Uncalled bet of 0.01 returned to ""Lori @ T4dnUDNjdJ""",2022-03-12T05:47:48.574Z,164706406857400
"""jean @ IR5E81bjnF"" folds",2022-03-12T05:47:47.703Z,164706406770300
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-03-12T05:47:42.974Z,164706406297405
"""jean @ IR5E81bjnF"" posts a small blind of 0.01",2022-03-12T05:47:42.974Z,164706406297404
"Player stacks: #3 ""jean @ IR5E81bjnF"" (18.54) | #9 ""Lori @ T4dnUDNjdJ"" (6.04)",2022-03-12T05:47:42.974Z,164706406297401
"-- starting hand #256  (No Limit Texas Hold'em) (dealer: ""jean @ IR5E81bjnF"") --",2022-03-12T05:47:42.974Z,164706406297400
"""Lori @ T4dnUDNjdJ"" shows a J♦, A♠.",2022-03-12T05:47:39.857Z,164706405985700
"""jean @ IR5E81bjnF"" shows a 7♣, Q♦.",2022-03-12T05:47:39.551Z,164706405955100
"-- ending hand #255 --",2022-03-12T05:47:38.572Z,164706405857202
"""Lori @ T4dnUDNjdJ"" collected 0.04 from pot",2022-03-12T05:47:38.572Z,164706405857201
"Uncalled bet of 0.02 returned to ""Lori @ T4dnUDNjdJ""",2022-03-12T05:47:38.572Z,164706405857200
"""jean @ IR5E81bjnF"" folds",2022-03-12T05:47:37.701Z,164706405770100
"""Lori @ T4dnUDNjdJ"" bets 0.02",2022-03-12T05:47:35.146Z,164706405514600
"""jean @ IR5E81bjnF"" checks",2022-03-12T05:47:29.892Z,164706404989200
"Flop:  [A♥, K♣, 3♥]",2022-03-12T05:47:27.027Z,164706404702700
"""jean @ IR5E81bjnF"" checks",2022-03-12T05:47:26.183Z,164706404618300
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-03-12T05:47:24.296Z,164706404429600
"""jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-03-12T05:47:21.367Z,164706404136705
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-03-12T05:47:21.367Z,164706404136704
"Player stacks: #3 ""jean @ IR5E81bjnF"" (18.56) | #9 ""Lori @ T4dnUDNjdJ"" (6.02)",2022-03-12T05:47:21.367Z,164706404136701
"-- starting hand #255  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-03-12T05:47:21.367Z,164706404136700
"""jean @ IR5E81bjnF"" shows a 4♥, J♥.",2022-03-12T05:47:15.690Z,164706403569000
"""Lori @ T4dnUDNjdJ"" shows a 8♣, Q♥.",2022-03-12T05:47:14.910Z,164706403491000
"-- ending hand #254 --",2022-03-12T05:47:13.965Z,164706403396502
"""jean @ IR5E81bjnF"" collected 0.12 from pot",2022-03-12T05:47:13.965Z,164706403396501
"Uncalled bet of 0.12 returned to ""jean @ IR5E81bjnF""",2022-03-12T05:47:13.965Z,164706403396500
"""Lori @ T4dnUDNjdJ"" folds",2022-03-12T05:47:13.040Z,164706403304000
"""jean @ IR5E81bjnF"" bets 0.12",2022-03-12T05:47:04.602Z,164706402460200
"""Lori @ T4dnUDNjdJ"" checks",2022-03-12T05:46:59.166Z,164706401916600
"Turn: K♠, 4♦, 7♣ [J♦]",2022-03-12T05:46:54.157Z,164706401415700
"""jean @ IR5E81bjnF"" checks",2022-03-12T05:46:53.273Z,164706401327300
"""Lori @ T4dnUDNjdJ"" checks",2022-03-12T05:46:52.370Z,164706401237000
"Flop:  [K♠, 4♦, 7♣]",2022-03-12T05:46:46.556Z,164706400655600
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-03-12T05:46:45.679Z,164706400567900
"""jean @ IR5E81bjnF"" raises to 0.06",2022-03-12T05:46:41.341Z,164706400134100
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-03-12T05:46:33.952Z,164706399395205
"""jean @ IR5E81bjnF"" posts a small blind of 0.01",2022-03-12T05:46:33.952Z,164706399395204
"Player stacks: #3 ""jean @ IR5E81bjnF"" (18.50) | #9 ""Lori @ T4dnUDNjdJ"" (6.08)",2022-03-12T05:46:33.952Z,164706399395201
"-- starting hand #254  (No Limit Texas Hold'em) (dealer: ""jean @ IR5E81bjnF"") --",2022-03-12T05:46:33.952Z,164706399395200
"""jean @ IR5E81bjnF"" shows a K♣, J♦.",2022-03-12T05:46:29.130Z,164706398913000
"-- ending hand #253 --",2022-03-12T05:46:27.389Z,164706398738902
"""Lori @ T4dnUDNjdJ"" collected 1.32 from pot with Two Pair, A's & J's (combination: A♣, A♥, J♣, J♠, 8♣)",2022-03-12T05:46:27.389Z,164706398738901
"""Lori @ T4dnUDNjdJ"" shows a J♣, A♣.",2022-03-12T05:46:27.389Z,164706398738900
"""jean @ IR5E81bjnF"" calls 0.30",2022-03-12T05:46:26.573Z,164706398657300
"""Lori @ T4dnUDNjdJ"" bets 0.30",2022-03-12T05:46:24.013Z,164706398401300
"""jean @ IR5E81bjnF"" checks",2022-03-12T05:46:15.786Z,164706397578600
"River: A♥, J♠, 3♣, 7♠ [8♣]",2022-03-12T05:46:12.547Z,164706397254700
"""Lori @ T4dnUDNjdJ"" calls 0.18",2022-03-12T05:46:11.648Z,164706397164800
"""jean @ IR5E81bjnF"" bets 0.18",2022-03-12T05:46:05.879Z,164706396587900
"Turn: A♥, J♠, 3♣ [7♠]",2022-03-12T05:45:55.541Z,164706395554100
"""Lori @ T4dnUDNjdJ"" calls 0.12",2022-03-12T05:45:54.615Z,164706395461500
"""jean @ IR5E81bjnF"" bets 0.12",2022-03-12T05:45:48.480Z,164706394848000
"Flop:  [A♥, J♠, 3♣]",2022-03-12T05:45:41.132Z,164706394113200
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-03-12T05:45:40.171Z,164706394017100
"""jean @ IR5E81bjnF"" raises to 0.06",2022-03-12T05:45:36.781Z,164706393678100
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-03-12T05:45:25.429Z,164706392542900
"""jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-03-12T05:45:22.725Z,164706392272505
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-03-12T05:45:22.725Z,164706392272504
"Player stacks: #3 ""jean @ IR5E81bjnF"" (19.16) | #9 ""Lori @ T4dnUDNjdJ"" (5.42)",2022-03-12T05:45:22.725Z,164706392272501
"-- starting hand #253  (No Limit Texas Hold'em) (dealer: ""Lori @ T4dnUDNjdJ"") --",2022-03-12T05:45:22.725Z,164706392272500
"-- ending hand #252 --",2022-03-12T05:45:19.726Z,164706391972602
"""Lori @ T4dnUDNjdJ"" collected 0.08 from pot",2022-03-12T05:45:19.726Z,164706391972601
"Uncalled bet of 0.04 returned to ""Lori @ T4dnUDNjdJ""",2022-03-12T05:45:19.726Z,164706391972600
"""jean @ IR5E81bjnF"" folds",2022-03-12T05:45:18.793Z,164706391879300
"""Lori @ T4dnUDNjdJ"" bets 0.04",2022-03-12T05:45:16.840Z,164706391684000
"Turn: 6♠, 2♥, 6♣ [Q♠]",2022-03-12T05:45:10.522Z,164706391052200
"""jean @ IR5E81bjnF"" calls 0.02",2022-03-12T05:45:09.564Z,164706390956400
"""Lori @ T4dnUDNjdJ"" bets 0.02",2022-03-12T05:44:54.713Z,164706389471300
"Flop:  [6♠, 2♥, 6♣]",2022-03-12T05:44:48.920Z,164706388892000
"""Lori @ T4dnUDNjdJ"" checks",2022-03-12T05:44:48.104Z,164706388810400
"""jean @ IR5E81bjnF"" calls 0.02",2022-03-12T05:44:45.505Z,164706388550500
"""Lori @ T4dnUDNjdJ"" posts a big blind of 0.02",2022-03-12T05:44:32.848Z,164706387284805
"""jean @ IR5E81bjnF"" posts a small blind of 0.01",2022-03-12T05:44:32.848Z,164706387284804
"Player stacks: #3 ""jean @ IR5E81bjnF"" (19.20) | #9 ""Lori @ T4dnUDNjdJ"" (5.38)",2022-03-12T05:44:32.848Z,164706387284801
"-- starting hand #252  (No Limit Texas Hold'em) (dealer: ""jean @ IR5E81bjnF"") --",2022-03-12T05:44:32.848Z,164706387284800
"""Lori @ T4dnUDNjdJ"" shows a J♣, 3♠.",2022-03-12T05:44:29.386Z,164706386938600
"""jean @ IR5E81bjnF"" shows a 10♣, 10♠.",2022-03-12T05:44:27.493Z,164706386749300
"-- ending hand #251 --",2022-03-12T05:44:25.444Z,164706386544402
"""jean @ IR5E81bjnF"" collected 0.12 from pot",2022-03-12T05:44:25.444Z,164706386544401
"Uncalled bet of 0.12 returned to ""jean @ IR5E81bjnF""",2022-03-12T05:44:25.444Z,164706386544400
"""Lori @ T4dnUDNjdJ"" folds",2022-03-12T05:44:24.577Z,164706386457700
"""jean @ IR5E81bjnF"" bets 0.12",2022-03-12T05:44:22.120Z,164706386212000
"Flop:  [4♠, 10♥, 9♥]",2022-03-12T05:44:15.509Z,164706385550900
"""Lori @ T4dnUDNjdJ"" calls 0.06",2022-03-12T05:44:14.701Z,164706385470100
"""jean @ IR5E81bjnF"" raises to 0.06",2022-03-12T05:44:11.744Z,164706385174400
"""Lori @ T4dnUDNjdJ"" calls 0.02",2022-03-12T05:44:01.011Z,164706384101100
"""jean @ IR5E81bjnF"" posts a big blind of 0.02",2022-03-12T05:43:57.215Z,164706383721505
"""Lori @ T4dnUDNjdJ"" posts a small blind of 0.01",2022-03-12T05:43:57.215Z,164706383721504
