entry,at,order
"The player ""Poindexter @ _yf6aQFJyI"" passed the room ownership to ""K Godel @ Di5cxDUTF9"".",2022-04-18T03:10:58.009Z,165025145800900
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 2.14.",2022-04-18T02:59:27.806Z,165025076780601
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 0.32.",2022-04-18T02:59:27.806Z,165025076780600
"""jean @ _qaxMUlwNf"" shows a K♦, 10♦, 7♦, 7♣.",2022-04-18T02:59:25.740Z,165025076574000
"-- ending hand #134 --",2022-04-18T02:59:24.062Z,165025076406202
"""jean @ _qaxMUlwNf"" collected 0.14 from pot",2022-04-18T02:59:24.062Z,165025076406201
"Uncalled bet of 0.14 returned to ""jean @ _qaxMUlwNf""",2022-04-18T02:59:24.062Z,165025076406200
"""K Godel @ Di5cxDUTF9"" folds",2022-04-18T02:59:23.210Z,165025076321000
"""jean @ _qaxMUlwNf"" bets 0.14",2022-04-18T02:59:18.503Z,165025075850300
"""K Godel @ Di5cxDUTF9"" checks",2022-04-18T02:59:11.476Z,165025075147600
"Flop:  [Q♦, 8♦, 8♣]",2022-04-18T02:59:08.993Z,165025074899300
"""Poindexter @ _yf6aQFJyI"" folds",2022-04-18T02:59:08.058Z,165025074805800
"""jean @ _qaxMUlwNf"" calls 0.06",2022-04-18T02:58:38.535Z,165025071853500
"""K Godel @ Di5cxDUTF9"" raises to 0.06",2022-04-18T02:58:26.386Z,165025070638600
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-04-18T02:58:20.505Z,165025070050507
"Dead Small Blind",2022-04-18T02:58:20.505Z,165025070050506
"Your hand is 4♠, J♥, 2♥, J♠",2022-04-18T02:58:20.505Z,165025070050504
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (2.16) | #2 ""K Godel @ Di5cxDUTF9"" (0.38) | #6 ""jean @ _qaxMUlwNf"" (16.76)",2022-04-18T02:58:20.505Z,165025070050502
"-- starting hand #134  (Pot Limit Omaha Hi) (dealer: ""jean @ _qaxMUlwNf"") --",2022-04-18T02:58:20.505Z,165025070050501
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-04-18T02:58:20.505Z,165025070050500
"""Poindexter @ _yf6aQFJyI"" shows a J♦, 9♠, 9♦, J♣.",2022-04-18T02:58:18.080Z,165025069808000
"-- ending hand #133 --",2022-04-18T02:58:11.385Z,165025069138501
"""jean @ _qaxMUlwNf"" collected 5.52 from pot with Three of a Kind (combination: 4♣, 4♦, 4♥, Q♥, 10♥)",2022-04-18T02:58:11.385Z,165025069138500
