entry,at,order
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 0.00.",2022-05-06T03:45:54.672Z,165180875467201
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 7.63.",2022-05-06T03:45:54.672Z,165180875467200
"-- ending hand #238 --",2022-05-06T03:45:45.656Z,165180874565601
"""Jean @ _qaxMUlwNf"" collected 1.36 from pot with Three of a Kind (combination: 10♦, 10♣, 10♠, A♣, 6♥)",2022-05-06T03:45:45.656Z,165180874565600
"River: 10♣, 10♠, J♦, 7♠ [A♣]",2022-05-06T03:45:41.553Z,165180874155300
"Turn: 10♣, 10♠, J♦ [7♠]",2022-05-06T03:45:37.457Z,165180873745700
"""Poindexter @ _yf6aQFJyI"" shows a K♠, 4♦, A♦, 5♠.",2022-05-06T03:45:33.367Z,165180873336701
"""Jean @ _qaxMUlwNf"" shows a 5♥, 6♥, 10♦, 5♦.",2022-05-06T03:45:33.367Z,165180873336700
"Some players choose to not run it twice.",2022-05-06T03:45:32.504Z,165180873250401
"""Poindexter @ _yf6aQFJyI"" chooses to not run it twice.",2022-05-06T03:45:32.504Z,165180873250400
"""Jean @ _qaxMUlwNf"" chooses to  run it twice.",2022-05-06T03:45:32.496Z,165180873249600
"Remaining players decide whether to run it twice.",2022-05-06T03:45:29.192Z,165180872919201
"""Jean @ _qaxMUlwNf"" calls 0.44",2022-05-06T03:45:29.192Z,165180872919200
"""Poindexter @ _yf6aQFJyI"" bets 0.44 and go all in",2022-05-06T03:45:27.443Z,165180872744300
"Flop:  [10♣, 10♠, J♦]",2022-05-06T03:45:07.134Z,165180870713400
"""Jean @ _qaxMUlwNf"" calls 0.23",2022-05-06T03:45:06.328Z,165180870632800
"""K Godel @ Di5cxDUTF9"" folds",2022-05-06T03:45:05.061Z,165180870506100
"""Poindexter @ _yf6aQFJyI"" raises to 0.23",2022-05-06T03:45:02.143Z,165180870214300
"""Jean @ _qaxMUlwNf"" raises to 0.07",2022-05-06T03:44:51.491Z,165180869149100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-05-06T03:44:41.609Z,165180868160906
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-05-06T03:44:41.609Z,165180868160905
"Your hand is 9♣, 3♠, 3♥, Q♦",2022-05-06T03:44:41.609Z,165180868160902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (7.65) | #4 ""Jean @ _qaxMUlwNf"" (5.95) | #6 ""Poindexter @ _yf6aQFJyI"" (0.67)",2022-05-06T03:44:41.609Z,165180868160901
"-- starting hand #238  (Pot Limit Omaha Hi) (dealer: ""Jean @ _qaxMUlwNf"") --",2022-05-06T03:44:41.609Z,165180868160900
"""Poindexter @ _yf6aQFJyI"" shows a 4♠, 2♥, 10♣, 7♥.",2022-05-06T03:44:38.633Z,165180867863300
"""Jean @ _qaxMUlwNf"" shows a 5♦, 3♥, 9♥, J♥.",2022-05-06T03:44:38.585Z,165180867858500
"-- ending hand #237 --",2022-05-06T03:44:37.210Z,165180867721002
"""Poindexter @ _yf6aQFJyI"" collected 0.02 from pot",2022-05-06T03:44:37.210Z,165180867721001
"Uncalled bet of 0.01 returned to ""Poindexter @ _yf6aQFJyI""",2022-05-06T03:44:37.210Z,165180867721000
"""Jean @ _qaxMUlwNf"" folds",2022-05-06T03:44:36.359Z,165180867635900
"""K Godel @ Di5cxDUTF9"" folds",2022-05-06T03:44:32.569Z,165180867256900
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-05-06T03:44:30.208Z,165180867020806
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-06T03:44:30.208Z,165180867020805
"Your hand is 3♦, 9♠, 8♦, 6♥",2022-05-06T03:44:30.208Z,165180867020802
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (7.65) | #4 ""Jean @ _qaxMUlwNf"" (5.96) | #6 ""Poindexter @ _yf6aQFJyI"" (0.66)",2022-05-06T03:44:30.208Z,165180867020801
"-- starting hand #237  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-06T03:44:30.208Z,165180867020800
"""Jean @ _qaxMUlwNf"" shows a 6♣, 4♦, 2♠, 8♣.",2022-05-06T03:44:28.539Z,165180866853900
"""Poindexter @ _yf6aQFJyI"" shows a K♦, 9♦, J♥, 10♦.",2022-05-06T03:44:26.322Z,165180866632200
"""K Godel @ Di5cxDUTF9"" shows a 6♠, 6♦, 10♥, 7♠.",2022-05-06T03:44:26.170Z,165180866617000
"-- ending hand #236 --",2022-05-06T03:44:25.193Z,165180866519302
"""K Godel @ Di5cxDUTF9"" collected 0.36 from pot",2022-05-06T03:44:25.193Z,165180866519301
"Uncalled bet of 0.36 returned to ""K Godel @ Di5cxDUTF9""",2022-05-06T03:44:25.193Z,165180866519300
"""Poindexter @ _yf6aQFJyI"" folds",2022-05-06T03:44:24.324Z,165180866432400
"""K Godel @ Di5cxDUTF9"" raises to 0.46",2022-05-06T03:44:19.061Z,165180865906100
"""Poindexter @ _yf6aQFJyI"" bets 0.10",2022-05-06T03:44:07.615Z,165180864761500
"""K Godel @ Di5cxDUTF9"" checks",2022-05-06T03:44:00.138Z,165180864013800
"Flop:  [6♥, 5♦, A♣]",2022-05-06T03:43:51.672Z,165180863167200
"""Jean @ _qaxMUlwNf"" folds",2022-05-06T03:43:50.780Z,165180863078000
"""K Godel @ Di5cxDUTF9"" calls 0.07",2022-05-06T03:43:49.182Z,165180862918200
"""Poindexter @ _yf6aQFJyI"" raises to 0.07",2022-05-06T03:43:40.340Z,165180862034000
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.02",2022-05-06T03:43:35.266Z,165180861526606
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-05-06T03:43:35.266Z,165180861526605
"Your hand is 6♠, 6♦, 10♥, 7♠",2022-05-06T03:43:35.266Z,165180861526602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (7.46) | #4 ""Jean @ _qaxMUlwNf"" (5.98) | #6 ""Poindexter @ _yf6aQFJyI"" (0.83)",2022-05-06T03:43:35.266Z,165180861526601
"-- starting hand #236  (Pot Limit Omaha Hi) (dealer: ""Poindexter @ _yf6aQFJyI"") --",2022-05-06T03:43:35.266Z,165180861526600
"""K Godel @ Di5cxDUTF9"" shows a 6♠, 2♥, Q♠, 6♥.",2022-05-06T03:43:31.944Z,165180861194400
"""Poindexter @ _yf6aQFJyI"" shows a 3♦, A♦, Q♣, 7♦.",2022-05-06T03:43:31.850Z,165180861185000
"-- ending hand #235 --",2022-05-06T03:43:30.924Z,165180861092402
"""K Godel @ Di5cxDUTF9"" collected 0.12 from pot",2022-05-06T03:43:30.924Z,165180861092401
