entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""Mag Kirwin @ e4MtM50XXb"".",2022-02-26T07:07:27.155Z,164585924715500
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 81.63.",2022-02-26T07:01:33.575Z,164585889357500
"""K Godel @ Di5cxDUTF9"" shows a J♥, 4♣, 5♦, 10♣.",2022-02-26T07:01:31.072Z,164585889107200
"-- ending hand #259 --",2022-02-26T07:01:29.876Z,164585888987602
"""K Godel @ Di5cxDUTF9"" collected 1.50 from pot",2022-02-26T07:01:29.876Z,164585888987601
"Uncalled bet of 1.12 returned to ""K Godel @ Di5cxDUTF9""",2022-02-26T07:01:29.876Z,164585888987600
"""Mag Kirwin @ e4MtM50XXb"" folds",2022-02-26T07:01:29.027Z,164585888902700
"""K Godel @ Di5cxDUTF9"" bets 1.12",2022-02-26T07:01:27.094Z,164585888709400
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-02-26T07:01:18.558Z,164585887855800
"River: 10♦, A♥, 6♥, 3♠ [A♠]",2022-02-26T07:01:13.574Z,164585887357400
"""Mag Kirwin @ e4MtM50XXb"" calls 0.45",2022-02-26T07:01:12.764Z,164585887276400
"""K Godel @ Di5cxDUTF9"" bets 0.45",2022-02-26T07:01:03.863Z,164585886386300
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-02-26T07:00:57.057Z,164585885705700
"Turn: 10♦, A♥, 6♥ [3♠]",2022-02-26T07:00:53.759Z,164585885375900
"""K Godel @ Di5cxDUTF9"" calls 0.18",2022-02-26T07:00:52.898Z,164585885289800
"""Mag Kirwin @ e4MtM50XXb"" bets 0.18",2022-02-26T07:00:50.806Z,164585885080600
"Flop:  [10♦, A♥, 6♥]",2022-02-26T07:00:43.947Z,164585884394700
"""K Godel @ Di5cxDUTF9"" calls 0.12",2022-02-26T07:00:43.093Z,164585884309300
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.12",2022-02-26T07:00:37.750Z,164585883775000
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-02-26T07:00:33.657Z,164585883365700
"""Deckhole @ _yf6aQFJyI"" folds",2022-02-26T07:00:30.588Z,164585883058800
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.05",2022-02-26T07:00:23.072Z,164585882307206
"""Mag Kirwin @ e4MtM50XXb"" posts a small blind of 0.02",2022-02-26T07:00:23.072Z,164585882307205
"Your hand is J♥, 4♣, 5♦, 10♣",2022-02-26T07:00:23.072Z,164585882307204
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (81.63) | #6 ""Mag Kirwin @ e4MtM50XXb"" (26.41) | #7 ""K Godel @ Di5cxDUTF9"" (24.11)",2022-02-26T07:00:23.072Z,164585882307201
"-- starting hand #259  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-02-26T07:00:23.072Z,164585882307200
"-- ending hand #258 --",2022-02-26T07:00:17.071Z,164585881707102
"""Mag Kirwin @ e4MtM50XXb"" collected 0.36 from pot",2022-02-26T07:00:17.071Z,164585881707101
"Uncalled bet of 0.27 returned to ""Mag Kirwin @ e4MtM50XXb""",2022-02-26T07:00:17.071Z,164585881707100
"""K Godel @ Di5cxDUTF9"" folds",2022-02-26T07:00:16.175Z,164585881617500
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.44",2022-02-26T07:00:08.702Z,164585880870200
"""Deckhole @ _yf6aQFJyI"" folds",2022-02-26T06:59:59.227Z,164585879922700
"""K Godel @ Di5cxDUTF9"" raises to 0.17",2022-02-26T06:59:58.371Z,164585879837100
"""Mag Kirwin @ e4MtM50XXb"" posts a big blind of 0.05",2022-02-26T06:59:53.214Z,164585879321406
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.02",2022-02-26T06:59:53.214Z,164585879321405
"Your hand is 5♦, 8♣, 9♦, A♥",2022-02-26T06:59:53.214Z,164585879321404
"Player stacks: #1 ""Deckhole @ _yf6aQFJyI"" (81.65) | #6 ""Mag Kirwin @ e4MtM50XXb"" (26.22) | #7 ""K Godel @ Di5cxDUTF9"" (24.28)",2022-02-26T06:59:53.214Z,164585879321401
"-- starting hand #258  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-02-26T06:59:53.214Z,164585879321400
"-- ending hand #257 --",2022-02-26T06:59:44.203Z,164585878420302
"""Deckhole @ _yf6aQFJyI"" collected 3.24 from pot with One Pair (combination: A♣, A♦, Q♣, 8♦, 6♠)",2022-02-26T06:59:44.203Z,164585878420301
"""Deckhole @ _yf6aQFJyI"" shows a A♣, A♦, 2♦, K♥.",2022-02-26T06:59:44.203Z,164585878420300
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-02-26T06:59:43.376Z,164585878337600
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-26T06:59:39.603Z,164585877960300
"River: 2♣, 6♠, Q♣, 8♦ [3♣]",2022-02-26T06:59:37.385Z,164585877738500
"""Mag Kirwin @ e4MtM50XXb"" calls 1.08",2022-02-26T06:59:36.577Z,164585877657700
"""Deckhole @ _yf6aQFJyI"" bets 1.08",2022-02-26T06:59:31.433Z,164585877143300
"Turn: 2♣, 6♠, Q♣ [8♦]",2022-02-26T06:59:28.491Z,164585876849100
"""Mag Kirwin @ e4MtM50XXb"" checks",2022-02-26T06:59:27.649Z,164585876764900
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-26T06:59:25.833Z,164585876583300
"Flop:  [2♣, 6♠, Q♣]",2022-02-26T06:59:20.881Z,164585876088100
"""Mag Kirwin @ e4MtM50XXb"" calls 0.53",2022-02-26T06:59:20.020Z,164585876002000
"""Deckhole @ _yf6aQFJyI"" raises to 0.53",2022-02-26T06:59:16.612Z,164585875661200
"""K Godel @ Di5cxDUTF9"" folds",2022-02-26T06:59:13.609Z,164585875360900
"""Mag Kirwin @ e4MtM50XXb"" raises to 0.17",2022-02-26T06:59:09.992Z,164585874999200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.05",2022-02-26T06:59:03.342Z,164585874334206
