entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 2.91.",2022-03-16T04:53:23.070Z,164740640307000
"-- ending hand #107 --",2022-03-16T04:53:20.137Z,164740640013702
"""Poindexter @ _yf6aQFJyI"" collected 0.02 from pot",2022-03-16T04:53:20.137Z,164740640013701
"Uncalled bet of 0.01 returned to ""Poindexter @ _yf6aQFJyI""",2022-03-16T04:53:20.137Z,164740640013700
"""K Godel @ Di5cxDUTF9"" folds",2022-03-16T04:53:19.304Z,164740639930400
"""Poindexter @ _yf6aQFJyI"" posts a big blind of 0.02",2022-03-16T04:52:57.241Z,164740637724105
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.01",2022-03-16T04:52:57.241Z,164740637724104
"Your hand is 3♥, K♥, J♦, 9♠",2022-03-16T04:52:57.241Z,164740637724103
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (11.22) | #2 ""K Godel @ Di5cxDUTF9"" (2.92)",2022-03-16T04:52:57.241Z,164740637724101
"-- starting hand #107  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-16T04:52:57.241Z,164740637724100
"-- ending hand #106 --",2022-03-16T04:52:54.240Z,164740637424002
"""Poindexter @ _yf6aQFJyI"" collected 0.08 from pot",2022-03-16T04:52:54.240Z,164740637424001
"Uncalled bet of 0.08 returned to ""Poindexter @ _yf6aQFJyI""",2022-03-16T04:52:54.240Z,164740637424000
"""K Godel @ Di5cxDUTF9"" folds",2022-03-16T04:52:53.371Z,164740637337100
"""Poindexter @ _yf6aQFJyI"" bets 0.08",2022-03-16T04:52:50.168Z,164740637016800
"""K Godel @ Di5cxDUTF9"" checks",2022-03-16T04:52:45.778Z,164740636577800
"Flop:  [8♠, 3♥, 4♣]",2022-03-16T04:52:41.306Z,164740636130600
"""K Godel @ Di5cxDUTF9"" calls 0.04",2022-03-16T04:52:40.473Z,164740636047300
"""Poindexter @ _yf6aQFJyI"" raises to 0.04",2022-03-16T04:52:30.825Z,164740635082500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.02",2022-03-16T04:52:18.989Z,164740633898906
"""Poindexter @ _yf6aQFJyI"" posts a small blind of 0.01",2022-03-16T04:52:18.989Z,164740633898905
"Your hand is 10♣, 10♥, 3♠, K♦",2022-03-16T04:52:18.989Z,164740633898904
"Player stacks: #1 ""Poindexter @ _yf6aQFJyI"" (11.18) | #2 ""K Godel @ Di5cxDUTF9"" (2.96)",2022-03-16T04:52:18.989Z,164740633898902
"-- starting hand #106  (Pot Limit Omaha Hi) (dealer: ""Poindexter @ _yf6aQFJyI"") --",2022-03-16T04:52:18.989Z,164740633898901
"The player ""Mag Kirwin @ e4MtM50XXb"" stand up with the stack of 2.37.",2022-03-16T04:52:18.989Z,164740633898900
"""K Godel @ Di5cxDUTF9"" shows a 2♠, J♣, J♦, K♦.",2022-03-16T04:52:15.732Z,164740633573200
"-- ending hand #105 --",2022-03-16T04:52:15.283Z,164740633528302
"""K Godel @ Di5cxDUTF9"" collected 0.04 from pot",2022-03-16T04:52:15.283Z,164740633528301
"Uncalled bet of 0.04 returned to ""K Godel @ Di5cxDUTF9""",2022-03-16T04:52:15.283Z,164740633528300
"""Poindexter @ _yf6aQFJyI"" folds",2022-03-16T04:52:14.418Z,164740633441800
"""K Godel @ Di5cxDUTF9"" bets 0.04",2022-03-16T04:52:03.872Z,164740632387200
"""Poindexter @ _yf6aQFJyI"" checks",2022-03-16T04:51:56.293Z,164740631629300
"Flop:  [10♣, J♠, 3♠]",2022-03-16T04:51:47.568Z,164740630756800
"""K Godel @ Di5cxDUTF9"" checks",2022-03-16T04:51:46.664Z,164740630666400
"""Poindexter @ _yf6aQFJyI"" calls 0.02",2022-03-16T04:51:38.167Z,164740629816700
