entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 110.95.",2022-05-08T06:03:28.158Z,165198980815800
"The player ""Deckhole @ _yf6aQFJyI"" sit back with the stack of 110.95.",2022-05-08T06:03:25.596Z,165198980559600
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 108.41.",2022-05-08T05:34:52.667Z,165198809266701
"The player ""TLS @ tfHtIxkcZq"" stand up with the stack of 147.89.",2022-05-08T05:34:52.667Z,165198809266700
"Undealt cards:  [6♣, 5♥, 7♦, K♦, Q♥]",2022-05-08T05:34:49.496Z,165198808949600
"-- ending hand #188 --",2022-05-08T05:34:46.697Z,165198808669702
"""K Godel @ Di5cxDUTF9"" collected 0.50 from pot",2022-05-08T05:34:46.697Z,165198808669701
"Uncalled bet of 0.50 returned to ""K Godel @ Di5cxDUTF9""",2022-05-08T05:34:46.697Z,165198808669700
"""TLS @ tfHtIxkcZq"" folds",2022-05-08T05:34:45.861Z,165198808586100
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2022-05-08T05:34:14.911Z,165198805491100
"""TLS @ tfHtIxkcZq"" posts a big blind of 0.25",2022-05-08T05:34:06.431Z,165198804643107
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-05-08T05:34:06.431Z,165198804643106
"Your hand is Q♠, 2♠",2022-05-08T05:34:06.431Z,165198804643104
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (108.16) | #2 ""TLS @ tfHtIxkcZq"" (148.14)",2022-05-08T05:34:06.431Z,165198804643103
"-- starting hand #188  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-08T05:34:06.431Z,165198804643102
"The player ""Jean @ _qaxMUlwNf"" quits the game with a stack of 0.00.",2022-05-08T05:34:06.431Z,165198804643101
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 110.95.",2022-05-08T05:34:06.431Z,165198804643100
"-- ending hand #187 --",2022-05-08T05:34:00.403Z,165198804040303
"""Jean @ _qaxMUlwNf"" shows a A♠, Q♦.",2022-05-08T05:34:00.403Z,165198804040302
"""K Godel @ Di5cxDUTF9"" collected 35.18 from pot with Two Pair, A's & 9's (combination: A♥, A♦, 9♠, 9♣, 7♣)",2022-05-08T05:34:00.403Z,165198804040301
"""K Godel @ Di5cxDUTF9"" shows a 9♠, A♥.",2022-05-08T05:34:00.403Z,165198804040300
"""Jean @ _qaxMUlwNf"" calls 12.49 and go all in",2022-05-08T05:33:59.585Z,165198803958500
"""K Godel @ Di5cxDUTF9"" raises to 12.49",2022-05-08T05:33:55.544Z,165198803554400
"""Jean @ _qaxMUlwNf"" bets 5.10",2022-05-08T05:33:45.416Z,165198802541600
"River: 7♣, 3♠, 5♣, A♦ [9♣]",2022-05-08T05:33:35.416Z,165198801541600
"""TLS @ tfHtIxkcZq"" folds",2022-05-08T05:33:34.571Z,165198801457100
"""K Godel @ Di5cxDUTF9"" calls 3.40",2022-05-08T05:33:03.728Z,165198798372800
"""Deckhole @ _yf6aQFJyI"" folds",2022-05-08T05:33:00.060Z,165198798006000
"""Jean @ _qaxMUlwNf"" bets 3.40",2022-05-08T05:32:48.968Z,165198796896800
"Turn: 7♣, 3♠, 5♣ [A♦]",2022-05-08T05:32:41.582Z,165198796158200
"""TLS @ tfHtIxkcZq"" checks",2022-05-08T05:32:40.727Z,165198796072700
"""K Godel @ Di5cxDUTF9"" checks",2022-05-08T05:32:09.798Z,165198792979800
"""Deckhole @ _yf6aQFJyI"" checks",2022-05-08T05:32:07.852Z,165198792785200
"""Jean @ _qaxMUlwNf"" checks",2022-05-08T05:32:04.908Z,165198792490800
"Flop:  [7♣, 3♠, 5♣]",2022-05-08T05:32:01.957Z,165198792195700
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-05-08T05:32:01.133Z,165198792113300
"""Jean @ _qaxMUlwNf"" calls 0.85",2022-05-08T05:31:57.466Z,165198791746600
"""TLS @ tfHtIxkcZq"" calls 0.85",2022-05-08T05:31:56.544Z,165198791654400
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-05-08T05:31:51.279Z,165198791127900
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-05-08T05:31:46.180Z,165198790618007
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.10",2022-05-08T05:31:46.180Z,165198790618006
"Your hand is 9♠, A♥",2022-05-08T05:31:46.180Z,165198790618002
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (89.72) | #2 ""TLS @ tfHtIxkcZq"" (148.99) | #3 ""Jean @ _qaxMUlwNf"" (16.74) | #10 ""Deckhole @ _yf6aQFJyI"" (111.80)",2022-05-08T05:31:46.180Z,165198790618001
"-- starting hand #187  (No Limit Texas Hold'em) (dealer: ""TLS @ tfHtIxkcZq"") --",2022-05-08T05:31:46.180Z,165198790618000
"-- ending hand #186 --",2022-05-08T05:31:43.261Z,165198790326102
"""K Godel @ Di5cxDUTF9"" collected 1.95 from pot",2022-05-08T05:31:43.261Z,165198790326101
"Uncalled bet of 0.97 returned to ""K Godel @ Di5cxDUTF9""",2022-05-08T05:31:43.261Z,165198790326100
"""TLS @ tfHtIxkcZq"" folds",2022-05-08T05:31:42.379Z,165198790237900
"""K Godel @ Di5cxDUTF9"" bets 0.97",2022-05-08T05:31:38.280Z,165198789828000
"""TLS @ tfHtIxkcZq"" checks",2022-05-08T05:31:31.789Z,165198789178900
"Flop:  [2♦, 9♥, 9♦]",2022-05-08T05:31:28.656Z,165198788865600
"""Jean @ _qaxMUlwNf"" folds",2022-05-08T05:31:27.815Z,165198788781500
"""TLS @ tfHtIxkcZq"" calls 0.85",2022-05-08T05:31:26.775Z,165198788677500
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-05-08T05:31:16.552Z,165198787655200
"""Deckhole @ _yf6aQFJyI"" folds",2022-05-08T05:31:11.850Z,165198787185000
"""Jean @ _qaxMUlwNf"" posts a big blind of 0.25",2022-05-08T05:31:08.237Z,165198786823707
"""TLS @ tfHtIxkcZq"" posts a small blind of 0.10",2022-05-08T05:31:08.237Z,165198786823706
"Your hand is A♥, 3♥",2022-05-08T05:31:08.237Z,165198786823702
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (88.62) | #2 ""TLS @ tfHtIxkcZq"" (149.84) | #3 ""Jean @ _qaxMUlwNf"" (16.99) | #10 ""Deckhole @ _yf6aQFJyI"" (111.80)",2022-05-08T05:31:08.237Z,165198786823701
"-- starting hand #186  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-08T05:31:08.237Z,165198786823700
