entry,at,order
"The player ""Jean @ _qaxMUlwNf"" stand up with the stack of 1.90.",2022-05-10T03:06:03.586Z,165215196358601
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 4.97.",2022-05-10T03:06:03.586Z,165215196358600
"""Jean @ _qaxMUlwNf"" shows a 3♠, 2♦.",2022-05-10T03:05:29.946Z,165215192994600
"""K Godel @ Di5cxDUTF9"" shows a J♣, Q♥.",2022-05-10T03:05:28.923Z,165215192892300
"-- ending hand #159 --",2022-05-10T03:05:27.133Z,165215192713302
"""K Godel @ Di5cxDUTF9"" collected 0.27 from pot",2022-05-10T03:05:27.133Z,165215192713301
"Uncalled bet of 0.27 returned to ""K Godel @ Di5cxDUTF9""",2022-05-10T03:05:27.133Z,165215192713300
"""She’s cake @ rMEEwzMegO"" folds",2022-05-10T03:05:26.302Z,165215192630200
"""K Godel @ Di5cxDUTF9"" bets 0.27",2022-05-10T03:05:24.889Z,165215192488900
"""She’s cake @ rMEEwzMegO"" checks",2022-05-10T03:05:21.174Z,165215192117400
"Flop:  [8♦, 9♣, J♠]",2022-05-10T03:05:17.881Z,165215191788100
"""She’s cake @ rMEEwzMegO"" calls 0.13",2022-05-10T03:05:16.993Z,165215191699300
"""K Godel @ Di5cxDUTF9"" raises to 0.13",2022-05-10T03:05:13.960Z,165215191396000
"""She’s cake @ rMEEwzMegO"" calls 0.04",2022-05-10T03:05:05.992Z,165215190599200
"""Jean @ _qaxMUlwNf"" folds",2022-05-10T03:04:59.426Z,165215189942600
"""K Godel @ Di5cxDUTF9"" posts a straddle of 0.04",2022-05-10T03:04:52.053Z,165215189205308
"""She’s cake @ rMEEwzMegO"" posts a big blind of 0.02",2022-05-10T03:04:52.053Z,165215189205307
"""Jean @ _qaxMUlwNf"" posts a small blind of 0.01",2022-05-10T03:04:52.053Z,165215189205306
"Your hand is J♣, Q♥",2022-05-10T03:04:52.053Z,165215189205303
"Player stacks: #2 ""K Godel @ Di5cxDUTF9"" (4.83) | #3 ""Jean @ _qaxMUlwNf"" (1.91) | #10 ""She’s cake @ rMEEwzMegO"" (0.63)",2022-05-10T03:04:52.053Z,165215189205302
"-- starting hand #159  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-10T03:04:52.053Z,165215189205301
"The player ""Poindexter @ _yf6aQFJyI"" quits the game with a stack of 4.10.",2022-05-10T03:04:52.053Z,165215189205300
"""Jean @ _qaxMUlwNf"" shows a 7♣, 3♠.",2022-05-10T03:04:47.167Z,165215188716700
"-- ending hand #158 --",2022-05-10T03:04:42.904Z,165215188290403
"""K Godel @ Di5cxDUTF9"" shows a J♠, 9♣.",2022-05-10T03:04:42.904Z,165215188290402
"""She’s cake @ rMEEwzMegO"" collected 0.16 from pot with A High (combination: A♦, K♠, Q♣, 10♠, 8♠)",2022-05-10T03:04:42.904Z,165215188290401
"""She’s cake @ rMEEwzMegO"" shows a 10♠, Q♣.",2022-05-10T03:04:42.904Z,165215188290400
"""She’s cake @ rMEEwzMegO"" checks",2022-05-10T03:04:42.058Z,165215188205800
"""K Godel @ Di5cxDUTF9"" checks",2022-05-10T03:04:39.434Z,165215187943400
"River: K♠, 6♣, A♦, 4♠ [8♠]",2022-05-10T03:04:24.699Z,165215186469900
"""She’s cake @ rMEEwzMegO"" checks",2022-05-10T03:04:23.892Z,165215186389200
"""K Godel @ Di5cxDUTF9"" checks",2022-05-10T03:04:22.006Z,165215186200600
"Turn: K♠, 6♣, A♦ [4♠]",2022-05-10T03:04:03.010Z,165215184301000
"""She’s cake @ rMEEwzMegO"" checks",2022-05-10T03:04:02.169Z,165215184216900
