entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""K Godel @ Di5cxDUTF9"".",2022-05-22T04:56:58.168Z,165319541816800
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 172.14.",2022-05-22T04:31:18.161Z,165319387816100
"-- ending hand #345 --",2022-05-22T04:31:15.163Z,165319387516302
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-05-22T04:31:15.163Z,165319387516301
"Uncalled bet of 1.12 returned to ""Malarkey @ Ia-cNlUwV8""",2022-05-22T04:31:15.163Z,165319387516300
"""K Godel @ Di5cxDUTF9"" folds",2022-05-22T04:31:14.327Z,165319387432700
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-05-22T04:31:11.990Z,165319387199000
"""K Godel @ Di5cxDUTF9"" checks",2022-05-22T04:31:08.622Z,165319386862200
"Turn: 2♥, 10♠, 4♣ [2♣]",2022-05-22T04:31:06.422Z,165319386642200
"""Malarkey @ Ia-cNlUwV8"" checks",2022-05-22T04:31:05.600Z,165319386560000
"""K Godel @ Di5cxDUTF9"" checks",2022-05-22T04:31:03.393Z,165319386339300
"Flop:  [2♥, 10♠, 4♣]",2022-05-22T04:31:00.618Z,165319386061800
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-05-22T04:30:59.781Z,165319385978100
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-05-22T04:30:55.255Z,165319385525500
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-05-22T04:30:51.140Z,165319385114006
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-05-22T04:30:51.140Z,165319385114005
"Your hand is 9♣, Q♦",2022-05-22T04:30:51.140Z,165319385114004
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (266.04) | #8 ""K Godel @ Di5cxDUTF9"" (172.89)",2022-05-22T04:30:51.140Z,165319385114002
"-- starting hand #345  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-05-22T04:30:51.140Z,165319385114001
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 0.00.",2022-05-22T04:30:51.140Z,165319385114000
"-- ending hand #344 --",2022-05-22T04:30:45.014Z,165319384501401
"""Malarkey @ Ia-cNlUwV8"" collected 139.44 from pot with Straight, 9 High (combination: 9♣, 8♦, 7♣, 6♠, 5♥)",2022-05-22T04:30:45.014Z,165319384501400
"River: 9♣, 7♣, 5♥, 8♦ [5♠]",2022-05-22T04:30:40.995Z,165319384099500
"""Deckhole @ _yf6aQFJyI"" shows a 4♣, 5♣.",2022-05-22T04:30:36.936Z,165319383693601
"""Malarkey @ Ia-cNlUwV8"" shows a 6♠, A♣.",2022-05-22T04:30:36.936Z,165319383693600
"Some players choose to not run it twice.",2022-05-22T04:30:35.993Z,165319383599301
"""Malarkey @ Ia-cNlUwV8"" chooses to not run it twice.",2022-05-22T04:30:35.993Z,165319383599300
"Remaining players decide whether to run it twice.",2022-05-22T04:30:35.917Z,165319383591701
"""Malarkey @ Ia-cNlUwV8"" calls 55.42",2022-05-22T04:30:35.917Z,165319383591700
"""Deckhole @ _yf6aQFJyI"" raises to 55.42 and go all in",2022-05-22T04:30:34.475Z,165319383447500
"""Malarkey @ Ia-cNlUwV8"" bets 21.45",2022-05-22T04:30:30.083Z,165319383008300
"Turn: 9♣, 7♣, 5♥ [8♦]",2022-05-22T04:30:17.129Z,165319381712900
"""Malarkey @ Ia-cNlUwV8"" calls 10.10",2022-05-22T04:30:16.277Z,165319381627700
"""K Godel @ Di5cxDUTF9"" folds",2022-05-22T04:30:14.574Z,165319381457400
"""Deckhole @ _yf6aQFJyI"" raises to 10.10",2022-05-22T04:30:12.051Z,165319381205100
"""Malarkey @ Ia-cNlUwV8"" bets 4.20",2022-05-22T04:29:59.446Z,165319379944600
"Flop:  [9♣, 7♣, 5♥]",2022-05-22T04:29:53.895Z,165319379389500
"""K Godel @ Di5cxDUTF9"" calls 2.80",2022-05-22T04:29:53.063Z,165319379306300
"""Deckhole @ _yf6aQFJyI"" calls 2.80",2022-05-22T04:29:48.794Z,165319378879400
"""Malarkey @ Ia-cNlUwV8"" raises to 2.80",2022-05-22T04:29:44.814Z,165319378481400
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-05-22T04:29:41.902Z,165319378190200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-05-22T04:29:37.663Z,165319377766306
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-05-22T04:29:37.663Z,165319377766305
"Your hand is 7♠, A♦",2022-05-22T04:29:37.663Z,165319377766304
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (194.92) | #2 ""Deckhole @ _yf6aQFJyI"" (68.32) | #8 ""K Godel @ Di5cxDUTF9"" (175.69)",2022-05-22T04:29:37.663Z,165319377766301
"-- starting hand #344  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-05-22T04:29:37.663Z,165319377766300
"-- ending hand #343 --",2022-05-22T04:29:34.682Z,165319377468202
"""Malarkey @ Ia-cNlUwV8"" collected 0.20 from pot",2022-05-22T04:29:34.682Z,165319377468201
"Uncalled bet of 0.15 returned to ""Malarkey @ Ia-cNlUwV8""",2022-05-22T04:29:34.682Z,165319377468200
"""K Godel @ Di5cxDUTF9"" folds",2022-05-22T04:29:33.823Z,165319377382300
"""Deckhole @ _yf6aQFJyI"" folds",2022-05-22T04:29:32.926Z,165319377292600
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-05-22T04:29:31.055Z,165319377105506
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2022-05-22T04:29:31.055Z,165319377105505
"Your hand is 7♣, 2♦",2022-05-22T04:29:31.055Z,165319377105504
"Player stacks: #1 ""Malarkey @ Ia-cNlUwV8"" (194.82) | #2 ""Deckhole @ _yf6aQFJyI"" (68.32) | #8 ""K Godel @ Di5cxDUTF9"" (175.79)",2022-05-22T04:29:31.055Z,165319377105501
"-- starting hand #343  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-05-22T04:29:31.055Z,165319377105500
"-- ending hand #342 --",2022-05-22T04:29:28.142Z,165319376814202
"""Malarkey @ Ia-cNlUwV8"" collected 1.95 from pot",2022-05-22T04:29:28.142Z,165319376814201
"Uncalled bet of 0.97 returned to ""Malarkey @ Ia-cNlUwV8""",2022-05-22T04:29:28.142Z,165319376814200
"""Deckhole @ _yf6aQFJyI"" folds",2022-05-22T04:29:27.282Z,165319376728200
"""Malarkey @ Ia-cNlUwV8"" bets 0.97",2022-05-22T04:29:24.724Z,165319376472400
"""Deckhole @ _yf6aQFJyI"" checks",2022-05-22T04:29:21.489Z,165319376148900
"Flop:  [3♠, A♣, A♥]",2022-05-22T04:29:18.428Z,165319375842800
"""K Godel @ Di5cxDUTF9"" folds",2022-05-22T04:29:17.594Z,165319375759400
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-05-22T04:29:10.866Z,165319375086600
"""Malarkey @ Ia-cNlUwV8"" raises to 0.85",2022-05-22T04:29:09.130Z,165319374913000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-05-22T04:29:03.118Z,165319374311806
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-05-22T04:29:03.118Z,165319374311805
