entry,at,order
"The player ""Jeangreen7 @ _qaxMUlwNf"" quits the game with a stack of 0.",2022-03-07T00:42:54.660Z,164661377466000
"-- ending hand #117 --",2022-03-07T00:42:48.548Z,164661376854803
"""Jeangreen7 @ _qaxMUlwNf"" shows a 5♦, K♠.",2022-03-07T00:42:48.548Z,164661376854802
"""K Godel @ Di5cxDUTF9"" collected 4250 from pot with Straight, A High (combination: A♠, K♣, Q♠, J♣, 10♦)",2022-03-07T00:42:48.548Z,164661376854801
"""K Godel @ Di5cxDUTF9"" shows a J♣, K♣.",2022-03-07T00:42:48.548Z,164661376854800
"""Jeangreen7 @ _qaxMUlwNf"" calls 1525 and go all in",2022-03-07T00:42:47.617Z,164661376761700
"""K Godel @ Di5cxDUTF9"" bets 1525 and go all in",2022-03-07T00:42:41.364Z,164661376136400
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:42:32.880Z,164661375288000
"River: 9♣, Q♠, A♠, 10♦ [5♠]",2022-03-07T00:42:29.529Z,164661374952900
"""Jeangreen7 @ _qaxMUlwNf"" calls 300",2022-03-07T00:42:28.626Z,164661374862600
"""K Godel @ Di5cxDUTF9"" bets 300",2022-03-07T00:42:26.550Z,164661374655000
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:42:22.139Z,164661374213900
"Turn: 9♣, Q♠, A♠ [10♦]",2022-03-07T00:42:19.724Z,164661373972400
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:42:18.835Z,164661373883500
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:42:15.200Z,164661373520000
"Flop:  [9♣, Q♠, A♠]",2022-03-07T00:42:10.646Z,164661373064600
"""Jeangreen7 @ _qaxMUlwNf"" calls 300",2022-03-07T00:42:09.766Z,164661372976600
"""K Godel @ Di5cxDUTF9"" raises to 300",2022-03-07T00:42:08.275Z,164661372827500
"""Jeangreen7 @ _qaxMUlwNf"" posts a big blind of 100",2022-03-07T00:42:04.940Z,164661372494005
"""K Godel @ Di5cxDUTF9"" posts a small blind of 50",2022-03-07T00:42:04.940Z,164661372494004
"Your hand is J♣, K♣",2022-03-07T00:42:04.940Z,164661372494003
"Player stacks: #1 ""Jeangreen7 @ _qaxMUlwNf"" (2125) | #2 ""K Godel @ Di5cxDUTF9"" (17875)",2022-03-07T00:42:04.940Z,164661372494001
"-- starting hand #117  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-07T00:42:04.940Z,164661372494000
"-- ending hand #116 --",2022-03-07T00:42:01.846Z,164661372184602
"""K Godel @ Di5cxDUTF9"" collected 100 from pot",2022-03-07T00:42:01.846Z,164661372184601
"Uncalled bet of 50 returned to ""K Godel @ Di5cxDUTF9""",2022-03-07T00:42:01.846Z,164661372184600
"""Jeangreen7 @ _qaxMUlwNf"" folds",2022-03-07T00:42:00.989Z,164661372098900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 100",2022-03-07T00:41:58.749Z,164661371874905
"""Jeangreen7 @ _qaxMUlwNf"" posts a small blind of 50",2022-03-07T00:41:58.749Z,164661371874904
"Your hand is 2♠, K♣",2022-03-07T00:41:58.749Z,164661371874903
"Player stacks: #1 ""Jeangreen7 @ _qaxMUlwNf"" (2175) | #2 ""K Godel @ Di5cxDUTF9"" (17825)",2022-03-07T00:41:58.749Z,164661371874901
"-- starting hand #116  (No Limit Texas Hold'em) (dealer: ""Jeangreen7 @ _qaxMUlwNf"") --",2022-03-07T00:41:58.749Z,164661371874900
"-- ending hand #115 --",2022-03-07T00:41:55.727Z,164661371572702
"""K Godel @ Di5cxDUTF9"" collected 200 from pot",2022-03-07T00:41:55.727Z,164661371572701
"Uncalled bet of 200 returned to ""K Godel @ Di5cxDUTF9""",2022-03-07T00:41:55.727Z,164661371572700
"""Jeangreen7 @ _qaxMUlwNf"" folds",2022-03-07T00:41:54.910Z,164661371491000
"""K Godel @ Di5cxDUTF9"" raises to 300",2022-03-07T00:41:52.182Z,164661371218200
"""Jeangreen7 @ _qaxMUlwNf"" posts a big blind of 100",2022-03-07T00:41:48.133Z,164661370813305
"""K Godel @ Di5cxDUTF9"" posts a small blind of 50",2022-03-07T00:41:48.133Z,164661370813304
"Your hand is 8♣, 8♥",2022-03-07T00:41:48.133Z,164661370813303
"Player stacks: #1 ""Jeangreen7 @ _qaxMUlwNf"" (2275) | #2 ""K Godel @ Di5cxDUTF9"" (17725)",2022-03-07T00:41:48.133Z,164661370813301
"-- starting hand #115  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-07T00:41:48.133Z,164661370813300
"""K Godel @ Di5cxDUTF9"" shows a 9♠, 9♣.",2022-03-07T00:41:45.516Z,164661370551600
"-- ending hand #114 --",2022-03-07T00:41:44.318Z,164661370431802
"""K Godel @ Di5cxDUTF9"" collected 100 from pot",2022-03-07T00:41:44.318Z,164661370431801
"Uncalled bet of 50 returned to ""K Godel @ Di5cxDUTF9""",2022-03-07T00:41:44.318Z,164661370431800
"""Jeangreen7 @ _qaxMUlwNf"" folds",2022-03-07T00:41:43.432Z,164661370343200
"""K Godel @ Di5cxDUTF9"" posts a big blind of 100",2022-03-07T00:41:39.447Z,164661369944705
"""Jeangreen7 @ _qaxMUlwNf"" posts a small blind of 50",2022-03-07T00:41:39.447Z,164661369944704
"Your hand is 9♠, 9♣",2022-03-07T00:41:39.447Z,164661369944703
"Player stacks: #1 ""Jeangreen7 @ _qaxMUlwNf"" (2325) | #2 ""K Godel @ Di5cxDUTF9"" (17675)",2022-03-07T00:41:39.447Z,164661369944701
"-- starting hand #114  (No Limit Texas Hold'em) (dealer: ""Jeangreen7 @ _qaxMUlwNf"") --",2022-03-07T00:41:39.447Z,164661369944700
"-- ending hand #113 --",2022-03-07T00:41:33.223Z,164661369322302
"""Jeangreen7 @ _qaxMUlwNf"" collected 600 from pot with Pair, J's (combination: J♦, J♥, K♥, 10♠, 7♥)",2022-03-07T00:41:33.223Z,164661369322301
"""Jeangreen7 @ _qaxMUlwNf"" shows a 6♠, K♥.",2022-03-07T00:41:33.223Z,164661369322300
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:41:32.331Z,164661369233100
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:41:30.798Z,164661369079800
"River: 10♠, 5♥, J♦, 7♥ [J♥]",2022-03-07T00:41:28.517Z,164661368851700
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:41:27.636Z,164661368763600
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:41:26.199Z,164661368619900
"Turn: 10♠, 5♥, J♦ [7♥]",2022-03-07T00:41:24.304Z,164661368430400
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:41:23.352Z,164661368335200
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:41:21.294Z,164661368129400
"Flop:  [10♠, 5♥, J♦]",2022-03-07T00:41:18.137Z,164661367813700
"""Jeangreen7 @ _qaxMUlwNf"" calls 300",2022-03-07T00:41:17.274Z,164661367727400
"""K Godel @ Di5cxDUTF9"" raises to 300",2022-03-07T00:41:14.815Z,164661367481500
"""Jeangreen7 @ _qaxMUlwNf"" posts a big blind of 100",2022-03-07T00:41:04.267Z,164661366426705
"""K Godel @ Di5cxDUTF9"" posts a small blind of 50",2022-03-07T00:41:04.267Z,164661366426704
"Your hand is Q♣, 8♦",2022-03-07T00:41:04.267Z,164661366426703
"Player stacks: #1 ""Jeangreen7 @ _qaxMUlwNf"" (2025) | #2 ""K Godel @ Di5cxDUTF9"" (17975)",2022-03-07T00:41:04.267Z,164661366426701
"-- starting hand #113  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-03-07T00:41:04.267Z,164661366426700
"-- ending hand #112 --",2022-03-07T00:40:58.052Z,164661365805204
"""K Godel @ Di5cxDUTF9"" collected 100 from pot with Flush, Qc High (combination: Q♣, 8♣, 7♣, 6♣, 5♣)",2022-03-07T00:40:58.052Z,164661365805203
"""K Godel @ Di5cxDUTF9"" shows a 3♦, 2♠.",2022-03-07T00:40:58.052Z,164661365805202
"""Jeangreen7 @ _qaxMUlwNf"" collected 100 from pot with Flush, Qc High (combination: Q♣, 8♣, 7♣, 6♣, 5♣)",2022-03-07T00:40:58.052Z,164661365805201
"""Jeangreen7 @ _qaxMUlwNf"" shows a K♥, 3♠.",2022-03-07T00:40:58.052Z,164661365805200
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:40:57.154Z,164661365715400
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:40:55.116Z,164661365511600
"River: 7♣, Q♣, 8♣, 6♣ [5♣]",2022-03-07T00:40:53.251Z,164661365325100
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:40:52.438Z,164661365243800
"""K Godel @ Di5cxDUTF9"" checks",2022-03-07T00:40:50.603Z,164661365060300
"Turn: 7♣, Q♣, 8♣ [6♣]",2022-03-07T00:40:48.643Z,164661364864300
"""Jeangreen7 @ _qaxMUlwNf"" checks",2022-03-07T00:40:47.783Z,164661364778300
