entry,at,order
"The player ""K. Godel @ TN11URmFSv"" stand up with the stack of 100.40.",2021-05-01T05:18:38.961Z,161984631896100
"-- ending hand #257 --",2021-05-01T05:18:36.018Z,161984631602002
"""K. Godel @ TN11URmFSv"" collected 3.00 from pot",2021-05-01T05:18:36.018Z,161984631601901
"Uncalled bet of 1.50 returned to ""K. Godel @ TN11URmFSv""",2021-05-01T05:18:36.018Z,161984631601900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-05-01T05:18:35.211Z,161984631521100
"""K. Godel @ TN11URmFSv"" bets 1.50",2021-05-01T05:18:28.422Z,161984630842300
"River: 2♥, 5♥, J♠, A♦ [10♠]",2021-05-01T05:18:20.114Z,161984630011600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-05-01T05:18:19.259Z,161984629926000
"""K. Godel @ TN11URmFSv"" checks",2021-05-01T05:18:17.884Z,161984629788500
"Turn: 2♥, 5♥, J♠ [A♦]",2021-05-01T05:18:13.591Z,161984629359200
"""K. Godel @ TN11URmFSv"" calls 0.75",2021-05-01T05:18:12.782Z,161984629278300
"""Deckhole @ hqlKQ6Qj8d"" bets 0.75",2021-05-01T05:18:09.121Z,161984628912200
"""K. Godel @ TN11URmFSv"" checks",2021-05-01T05:18:05.832Z,161984628583200
"Flop:  [2♥, 5♥, J♠]",2021-05-01T05:17:56.130Z,161984627613100
"""K. Godel @ TN11URmFSv"" calls 0.75",2021-05-01T05:17:55.325Z,161984627532600
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-05-01T05:17:53.050Z,161984627305200
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-05-01T05:17:49.580Z,161984626958105
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-05-01T05:17:49.580Z,161984626958104
"Your hand is A♥, 6♥",2021-05-01T05:17:49.580Z,161984626958103
"Player stacks: #5 ""Deckhole @ hqlKQ6Qj8d"" (135.37) | #6 ""K. Godel @ TN11URmFSv"" (98.90)",2021-05-01T05:17:49.580Z,161984626958101
"-- starting hand #257  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-05-01T05:17:49.580Z,161984626958100
"-- ending hand #256 --",2021-05-01T05:17:46.671Z,161984626667202
"""Deckhole @ hqlKQ6Qj8d"" collected 9.30 from pot",2021-05-01T05:17:46.671Z,161984626667201
"Uncalled bet of 6.97 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-05-01T05:17:46.671Z,161984626667200
"""K. Godel @ TN11URmFSv"" folds",2021-05-01T05:17:45.860Z,161984626586100
"""Deckhole @ hqlKQ6Qj8d"" bets 6.97",2021-05-01T05:17:25.195Z,161984624519600
"Turn: 7♠, A♣, K♦ [6♣]",2021-05-01T05:17:21.005Z,161984624100700
"""K. Godel @ TN11URmFSv"" calls 2.79",2021-05-01T05:17:20.195Z,161984624019700
"""Deckhole @ hqlKQ6Qj8d"" bets 2.79",2021-05-01T05:17:05.658Z,161984622565800
"Flop:  [7♠, A♣, K♦]",2021-05-01T05:17:00.625Z,161984622062600
"""K. Godel @ TN11URmFSv"" calls 1.86",2021-05-01T05:16:59.818Z,161984621981900
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.86",2021-05-01T05:16:54.467Z,161984621446800
"""K. Godel @ TN11URmFSv"" raises to 0.62",2021-05-01T05:16:50.842Z,161984621084300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-05-01T05:16:38.533Z,161984619853405
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-05-01T05:16:38.533Z,161984619853404
"Your hand is 8♦, K♠, 7♦, 4♥",2021-05-01T05:16:38.533Z,161984619853403
"Player stacks: #5 ""Deckhole @ hqlKQ6Qj8d"" (130.72) | #6 ""K. Godel @ TN11URmFSv"" (103.55)",2021-05-01T05:16:38.533Z,161984619853401
"-- starting hand #256  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-01T05:16:38.533Z,161984619853400
"""Deckhole @ hqlKQ6Qj8d"" shows a 7♠, 4♥, 2♥, 7♣.",2021-05-01T05:16:36.600Z,161984619660000
"""K. Godel @ TN11URmFSv"" shows a 4♣, A♥, 2♣, 8♣.",2021-05-01T05:16:34.973Z,161984619497300
"-- ending hand #255 --",2021-05-01T05:16:34.222Z,161984619422202
"""Deckhole @ hqlKQ6Qj8d"" collected 4.50 from pot",2021-05-01T05:16:34.222Z,161984619422201
