entry,at,order
"The player ""Baxter @ pUWVTl3lN1"" quits the game with a stack of 48.44.",2021-08-01T07:38:04.533Z,162780348453301
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""Baxter @ pUWVTl3lN1"".",2021-08-01T07:38:04.533Z,162780348453300
"The player ""Malarkey @ yzkS3efRJS"" quits the game with a stack of 46.33.",2021-08-01T07:37:56.556Z,162780347655601
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""Malarkey @ yzkS3efRJS"".",2021-08-01T07:37:56.556Z,162780347655600
"""K Godel @ Di5cxDUTF9"" shows a 3♥, 3♠, 4♠, K♠.",2021-08-01T07:35:34.082Z,162780333408200
"-- ending hand #312 --",2021-08-01T07:35:32.819Z,162780333281902
"""Deckhole @ hqlKQ6Qj8d"" collected 13.50 from pot with Flush (combination: Q♠, J♠, 9♠, 6♠, 5♠)",2021-08-01T07:35:32.819Z,162780333281901
"""Deckhole @ hqlKQ6Qj8d"" shows a Q♠, J♠, 5♦, K♣.",2021-08-01T07:35:32.819Z,162780333281900
"""Baxter @ pUWVTl3lN1"" calls 4.50",2021-08-01T07:35:32.010Z,162780333201000
"""Deckhole @ hqlKQ6Qj8d"" bets 4.50",2021-08-01T07:35:22.364Z,162780332236400
"""Baxter @ pUWVTl3lN1"" checks",2021-08-01T07:35:19.409Z,162780331940900
"River: 2♥, 6♣, 9♠, 5♠ [6♠]",2021-08-01T07:35:13.208Z,162780331320800
"""Baxter @ pUWVTl3lN1"" calls 1.50",2021-08-01T07:35:12.402Z,162780331240200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.50",2021-08-01T07:35:08.009Z,162780330800900
"""Baxter @ pUWVTl3lN1"" checks",2021-08-01T07:35:02.796Z,162780330279600
"Turn: 2♥, 6♣, 9♠ [5♠]",2021-08-01T07:34:59.698Z,162780329969800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-08-01T07:34:58.890Z,162780329889000
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-08-01T07:34:55.408Z,162780329540800
"""Baxter @ pUWVTl3lN1"" checks",2021-08-01T07:34:49.105Z,162780328910500
"Flop:  [2♥, 6♣, 9♠]",2021-08-01T07:34:46.090Z,162780328609000
"""Baxter @ pUWVTl3lN1"" calls 0.75",2021-08-01T07:34:45.281Z,162780328528100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-08-01T07:34:42.499Z,162780328249900
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-08-01T07:34:34.858Z,162780327485800
"""K Godel @ Di5cxDUTF9"" folds",2021-08-01T07:34:30.413Z,162780327041300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-08-01T07:34:18.545Z,162780325854506
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-08-01T07:34:18.545Z,162780325854505
"Your hand is 3♥, 3♠, 4♠, K♠",2021-08-01T07:34:18.545Z,162780325854503
"Player stacks: #3 ""Deckhole @ hqlKQ6Qj8d"" (83.82) | #5 ""K Godel @ Di5cxDUTF9"" (218.83) | #7 ""Baxter @ pUWVTl3lN1"" (55.19)",2021-08-01T07:34:18.545Z,162780325854501
"-- starting hand #312  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-08-01T07:34:18.545Z,162780325854500
"""K Godel @ Di5cxDUTF9"" shows a Q♣, 8♣, 10♣, 2♥.",2021-08-01T07:34:13.048Z,162780325304800
"-- ending hand #311 --",2021-08-01T07:34:11.996Z,162780325199602
"""Baxter @ pUWVTl3lN1"" collected 2.00 from pot with Flush (combination: Q♥, J♥, 10♥, 9♥, 7♥)",2021-08-01T07:34:11.996Z,162780325199601
"""Baxter @ pUWVTl3lN1"" shows a 5♥, 7♥, 4♠, 10♥.",2021-08-01T07:34:11.996Z,162780325199600
"""K Godel @ Di5cxDUTF9"" calls 0.25",2021-08-01T07:34:11.187Z,162780325118700
"""Baxter @ pUWVTl3lN1"" bets 0.25",2021-08-01T07:34:06.186Z,162780324618600
"""K Godel @ Di5cxDUTF9"" checks",2021-08-01T07:34:03.831Z,162780324383100
"River: J♥, Q♥, 9♥, 5♠ [10♦]",2021-08-01T07:34:00.306Z,162780324030600
"""K Godel @ Di5cxDUTF9"" calls 0.25",2021-08-01T07:33:59.495Z,162780323949500
"""Baxter @ pUWVTl3lN1"" bets 0.25",2021-08-01T07:33:57.430Z,162780323743000
"""K Godel @ Di5cxDUTF9"" checks",2021-08-01T07:33:55.287Z,162780323528700
"Turn: J♥, Q♥, 9♥ [5♠]",2021-08-01T07:33:50.311Z,162780323031100
"""K Godel @ Di5cxDUTF9"" calls 0.25",2021-08-01T07:33:49.505Z,162780322950500
"""Baxter @ pUWVTl3lN1"" bets 0.25",2021-08-01T07:33:40.882Z,162780322088200
"""K Godel @ Di5cxDUTF9"" checks",2021-08-01T07:33:37.659Z,162780321765900
"Flop:  [J♥, Q♥, 9♥]",2021-08-01T07:33:35.066Z,162780321506600
"""Baxter @ pUWVTl3lN1"" checks",2021-08-01T07:33:34.257Z,162780321425700
"""K Godel @ Di5cxDUTF9"" calls 0.25",2021-08-01T07:33:31.596Z,162780321159600
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-08-01T07:33:01.619Z,162780318161900
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.25",2021-08-01T07:32:57.411Z,162780317741106
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-08-01T07:32:57.411Z,162780317741105
"Your hand is Q♣, 8♣, 10♣, 2♥",2021-08-01T07:32:57.411Z,162780317741103
"Player stacks: #3 ""Deckhole @ hqlKQ6Qj8d"" (83.82) | #5 ""K Godel @ Di5cxDUTF9"" (219.83) | #7 ""Baxter @ pUWVTl3lN1"" (54.19)",2021-08-01T07:32:57.411Z,162780317741101
"-- starting hand #311  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-08-01T07:32:57.411Z,162780317741100
"-- ending hand #310 --",2021-08-01T07:32:51.405Z,162780317140504
"""Baxter @ pUWVTl3lN1"" collected 1.87 from pot with Straight (combination: J♠, 10♠, 9♣, 8♣, 7♦)",2021-08-01T07:32:51.405Z,162780317140503
