entry,at,order
"The player ""Malarkey69 @ PYJoLwcqQY"" stand up with the stack of 207.32.",2021-12-19T06:27:02.384Z,163989522238400
"-- ending hand #371 --",2021-12-19T06:26:59.475Z,163989521947502
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2021-12-19T06:26:59.475Z,163989521947501
"Uncalled bet of 1.50 returned to ""Deckhole @ _yf6aQFJyI""",2021-12-19T06:26:59.475Z,163989521947500
"""Malarkey69 @ PYJoLwcqQY"" folds",2021-12-19T06:26:58.664Z,163989521866400
"""Deckhole @ _yf6aQFJyI"" bets 1.50",2021-12-19T06:26:52.838Z,163989521283800
"""Malarkey69 @ PYJoLwcqQY"" checks",2021-12-19T06:26:48.010Z,163989520801000
"Flop:  [9♠, 6♣, 4♣]",2021-12-19T06:26:43.168Z,163989520316800
"""Malarkey69 @ PYJoLwcqQY"" calls 0.75",2021-12-19T06:26:42.250Z,163989520225000
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2021-12-19T06:26:39.372Z,163989519937200
"""Malarkey69 @ PYJoLwcqQY"" posts a big blind of 0.25",2021-12-19T06:26:36.125Z,163989519612505
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2021-12-19T06:26:36.125Z,163989519612504
"Player stacks: #6 ""Deckhole @ _yf6aQFJyI"" (56.07) | #10 ""Malarkey69 @ PYJoLwcqQY"" (208.07)",2021-12-19T06:26:36.125Z,163989519612501
"-- starting hand #371  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2021-12-19T06:26:36.125Z,163989519612500
"-- ending hand #370 --",2021-12-19T06:26:30.031Z,163989519003102
"""Malarkey69 @ PYJoLwcqQY"" collected 67.50 from pot with Three of a Kind, 9's (combination: 9♦, 9♠, 9♥, 8♣, 4♠)",2021-12-19T06:26:30.031Z,163989519003101
"""Malarkey69 @ PYJoLwcqQY"" shows a 9♦, 9♠.",2021-12-19T06:26:30.031Z,163989519003100
"""Deckhole @ _yf6aQFJyI"" calls 22.50",2021-12-19T06:26:29.219Z,163989518921900
"""Malarkey69 @ PYJoLwcqQY"" bets 22.50",2021-12-19T06:26:14.429Z,163989517442900
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-19T06:26:10.862Z,163989517086200
"River: 2♦, 9♥, 4♠, 8♣ [3♠]",2021-12-19T06:26:07.202Z,163989516720200
"""Deckhole @ _yf6aQFJyI"" calls 6.75",2021-12-19T06:26:06.306Z,163989516630600
"""Malarkey69 @ PYJoLwcqQY"" bets 6.75",2021-12-19T06:26:03.668Z,163989516366800
"""Deckhole @ _yf6aQFJyI"" checks",2021-12-19T06:25:58.947Z,163989515894700
"Turn: 2♦, 9♥, 4♠ [8♣]",2021-12-19T06:25:55.483Z,163989515548300
"""Deckhole @ _yf6aQFJyI"" calls 2.25",2021-12-19T06:25:54.592Z,163989515459200
"""Malarkey69 @ PYJoLwcqQY"" bets 2.25",2021-12-19T06:25:50.097Z,163989515009700
