entry,at,order
"The player ""scott @ nj_yF1nN56"" quits the game with a stack of 148.01.",2022-10-01T05:38:14.934Z,166460269493401
"The player ""lynn @ 1ddDN9WP3n"" stand up with the stack of 106.74.",2022-10-01T05:38:14.934Z,166460269493400
"-- ending hand #190 --",2022-10-01T05:38:11.935Z,166460269193502
"""K Godel @ TN11URmFSv"" collected 1.00 from pot",2022-10-01T05:38:11.935Z,166460269193501
"Uncalled bet of 1.00 returned to ""K Godel @ TN11URmFSv""",2022-10-01T05:38:11.935Z,166460269193500
"""lynn @ 1ddDN9WP3n"" folds",2022-10-01T05:38:11.084Z,166460269108400
"""K Godel @ TN11URmFSv"" raises to 1.50",2022-10-01T05:38:01.444Z,166460268144400
"""lynn @ 1ddDN9WP3n"" posts a big blind of 0.50",2022-10-01T05:37:54.726Z,166460267472605
"""K Godel @ TN11URmFSv"" posts a small blind of 0.25",2022-10-01T05:37:54.726Z,166460267472604
"Your hand is J♠, 10♥, 7♥, 8♥",2022-10-01T05:37:54.726Z,166460267472603
"Player stacks: #1 ""lynn @ 1ddDN9WP3n"" (107.24) | #6 ""K Godel @ TN11URmFSv"" (174.61)",2022-10-01T05:37:54.726Z,166460267472601
"-- starting hand #190  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""K Godel @ TN11URmFSv"") --",2022-10-01T05:37:54.726Z,166460267472600
"-- ending hand #189 --",2022-10-01T05:37:48.802Z,166460266880202
"""lynn @ 1ddDN9WP3n"" collected 1.00 from pot",2022-10-01T05:37:48.802Z,166460266880201
"Uncalled bet of 1.00 returned to ""lynn @ 1ddDN9WP3n""",2022-10-01T05:37:48.802Z,166460266880200
"""K Godel @ TN11URmFSv"" folds",2022-10-01T05:37:47.921Z,166460266792100
"""lynn @ 1ddDN9WP3n"" bets 1.00",2022-10-01T05:37:44.969Z,166460266496900
"""K Godel @ TN11URmFSv"" checks",2022-10-01T05:37:39.784Z,166460265978400
"Flop:  [10♠, 6♦, A♥]",2022-10-01T05:37:33.717Z,166460265371700
"""K Godel @ TN11URmFSv"" checks",2022-10-01T05:37:32.897Z,166460265289700
"""lynn @ 1ddDN9WP3n"" calls 0.50",2022-10-01T05:37:28.221Z,166460264822100
"""K Godel @ TN11URmFSv"" posts a big blind of 0.50",2022-10-01T05:37:14.374Z,166460263437407
"""lynn @ 1ddDN9WP3n"" posts a small blind of 0.25",2022-10-01T05:37:14.374Z,166460263437406
"Your hand is 9♥, 8♥, 2♣, 4♣",2022-10-01T05:37:14.374Z,166460263437405
"Player stacks: #1 ""lynn @ 1ddDN9WP3n"" (106.74) | #6 ""K Godel @ TN11URmFSv"" (175.11)",2022-10-01T05:37:14.374Z,166460263437403
"-- starting hand #189  (Pot Limit Omaha Hi/Lo 8 or Better) (dealer: ""lynn @ 1ddDN9WP3n"") --",2022-10-01T05:37:14.374Z,166460263437402
"The player ""Breezy @ _8CiDq023a"" quits the game with a stack of 132.84.",2022-10-01T05:37:14.374Z,166460263437401
"The player ""Deckhole @ 3URETjsK60"" stand up with the stack of 449.93.",2022-10-01T05:37:14.374Z,166460263437400
"""K Godel @ TN11URmFSv"" shows a A♥, 8♣, 2♠, A♠.",2022-10-01T05:37:12.754Z,166460263275400
"-- ending hand #188 --",2022-10-01T05:37:10.771Z,166460263077102
"""K Godel @ TN11URmFSv"" collected 1.25 from pot",2022-10-01T05:37:10.771Z,166460263077101
"Uncalled bet of 1.25 returned to ""K Godel @ TN11URmFSv""",2022-10-01T05:37:10.771Z,166460263077100
"""lynn @ 1ddDN9WP3n"" folds",2022-10-01T05:37:09.939Z,166460262993900
"""Deckhole @ 3URETjsK60"" folds",2022-10-01T05:37:09.011Z,166460262901100
"""Breezy @ _8CiDq023a"" folds",2022-10-01T05:36:56.873Z,166460261687300
"""K Godel @ TN11URmFSv"" raises to 1.75",2022-10-01T05:36:56.011Z,166460261601100
"""lynn @ 1ddDN9WP3n"" posts a big blind of 0.50",2022-10-01T05:36:41.657Z,166460260165708
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.25",2022-10-01T05:36:41.657Z,166460260165707
"Your hand is A♥, 8♣, 2♠, A♠",2022-10-01T05:36:41.657Z,166460260165704
"Player stacks: #1 ""lynn @ 1ddDN9WP3n"" (107.24) | #6 ""K Godel @ TN11URmFSv"" (174.36) | #8 ""Breezy @ _8CiDq023a"" (132.84) | #9 ""Deckhole @ 3URETjsK60"" (450.18)",2022-10-01T05:36:41.657Z,166460260165702
"-- starting hand #188  (Pot Limit Omaha Hi) (dealer: ""Breezy @ _8CiDq023a"") --",2022-10-01T05:36:41.657Z,166460260165701
"The player ""scott @ nj_yF1nN56"" stand up with the stack of 148.01.",2022-10-01T05:36:41.657Z,166460260165700
"-- ending hand #187 --",2022-10-01T05:36:35.641Z,166460259564102
"""lynn @ 1ddDN9WP3n"" collected 21.00 from pot with Straight (combination: Q♠, J♠, 10♣, 9♦, 8♣)",2022-10-01T05:36:35.641Z,166460259564101
"""lynn @ 1ddDN9WP3n"" shows a 3♣, J♠, 9♦, 3♥.",2022-10-01T05:36:35.641Z,166460259564100
"""Breezy @ _8CiDq023a"" calls 3.00",2022-10-01T05:36:34.770Z,166460259477000
"""lynn @ 1ddDN9WP3n"" bets 3.00",2022-10-01T05:36:27.707Z,166460258770700
"""Breezy @ _8CiDq023a"" checks",2022-10-01T05:36:13.908Z,166460257390800
"River: 10♣, 2♠, Q♠, 8♣ [5♥]",2022-10-01T05:36:02.916Z,166460256291600
"""Breezy @ _8CiDq023a"" calls 5.00",2022-10-01T05:36:02.095Z,166460256209500
"""scott @ nj_yF1nN56"" folds",2022-10-01T05:35:57.269Z,166460255726900
"""lynn @ 1ddDN9WP3n"" raises to 5.00",2022-10-01T05:35:52.875Z,166460255287500
"""Breezy @ _8CiDq023a"" bets 2.50",2022-10-01T05:35:48.548Z,166460254854800
"Turn: 10♣, 2♠, Q♠ [8♣]",2022-10-01T05:35:37.094Z,166460253709400
"""scott @ nj_yF1nN56"" calls 1.00",2022-10-01T05:35:36.245Z,166460253624500
"""lynn @ 1ddDN9WP3n"" calls 1.00",2022-10-01T05:35:29.147Z,166460252914700
"""Deckhole @ 3URETjsK60"" folds",2022-10-01T05:35:20.360Z,166460252036000
"""Breezy @ _8CiDq023a"" bets 1.00",2022-10-01T05:35:18.444Z,166460251844400
"Flop:  [10♣, 2♠, Q♠]",2022-10-01T05:35:05.972Z,166460250597200
"""Deckhole @ 3URETjsK60"" checks",2022-10-01T05:35:05.123Z,166460250512300
"""Breezy @ _8CiDq023a"" calls 0.50",2022-10-01T05:35:01.932Z,166460250193200
"""K Godel @ TN11URmFSv"" folds",2022-10-01T05:34:59.622Z,166460249962200
"""scott @ nj_yF1nN56"" calls 0.50",2022-10-01T05:34:58.664Z,166460249866400
"""lynn @ 1ddDN9WP3n"" calls 0.50",2022-10-01T05:34:56.148Z,166460249614800
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.50",2022-10-01T05:34:53.463Z,166460249346308
"""Breezy @ _8CiDq023a"" posts a small blind of 0.25",2022-10-01T05:34:53.463Z,166460249346307
"Your hand is 9♥, 5♦, 7♠, 3♠",2022-10-01T05:34:53.463Z,166460249346304
"Player stacks: #1 ""lynn @ 1ddDN9WP3n"" (95.74) | #3 ""scott @ nj_yF1nN56"" (149.51) | #6 ""K Godel @ TN11URmFSv"" (174.36) | #8 ""Breezy @ _8CiDq023a"" (142.34) | #9 ""Deckhole @ 3URETjsK60"" (450.68)",2022-10-01T05:34:53.463Z,166460249346301
"-- starting hand #187  (Pot Limit Omaha Hi) (dealer: ""K Godel @ TN11URmFSv"") --",2022-10-01T05:34:53.463Z,166460249346300
"Undealt cards:  [7♠, 7♣, J♣, A♣, 6♠]",2022-10-01T05:34:52.278Z,166460249227800
"-- ending hand #186 --",2022-10-01T05:34:47.464Z,166460248746402
"""Breezy @ _8CiDq023a"" collected 3.00 from pot",2022-10-01T05:34:47.464Z,166460248746401
"Uncalled bet of 3.00 returned to ""Breezy @ _8CiDq023a""",2022-10-01T05:34:47.464Z,166460248746400
"""K Godel @ TN11URmFSv"" folds",2022-10-01T05:34:46.651Z,166460248665100
"""Breezy @ _8CiDq023a"" raises to 4.50",2022-10-01T05:34:42.757Z,166460248275700
"""K Godel @ TN11URmFSv"" raises to 1.50",2022-10-01T05:34:35.765Z,166460247576500
"""scott @ nj_yF1nN56"" folds",2022-10-01T05:34:02.179Z,166460244217900
"""lynn @ 1ddDN9WP3n"" folds",2022-10-01T05:33:52.386Z,166460243238600
"""Deckhole @ 3URETjsK60"" folds",2022-10-01T05:33:50.149Z,166460243014900
"""Breezy @ _8CiDq023a"" posts a big blind of 0.50",2022-10-01T05:33:47.407Z,166460242740708
"""K Godel @ TN11URmFSv"" posts a small blind of 0.25",2022-10-01T05:33:47.407Z,166460242740707
"Your hand is Q♠, 3♠, 10♠, 8♣",2022-10-01T05:33:47.407Z,166460242740704
"Player stacks: #1 ""lynn @ 1ddDN9WP3n"" (95.74) | #3 ""scott @ nj_yF1nN56"" (149.51) | #6 ""K Godel @ TN11URmFSv"" (175.86) | #8 ""Breezy @ _8CiDq023a"" (140.84) | #9 ""Deckhole @ 3URETjsK60"" (450.68)",2022-10-01T05:33:47.407Z,166460242740701
"-- starting hand #186  (Pot Limit Omaha Hi) (dealer: ""scott @ nj_yF1nN56"") --",2022-10-01T05:33:47.407Z,166460242740700
"-- ending hand #185 --",2022-10-01T05:33:41.388Z,166460242138803
"""scott @ nj_yF1nN56"" shows a 5♠, A♥, 5♣, 9♣.",2022-10-01T05:33:41.388Z,166460242138802
"""Deckhole @ 3URETjsK60"" collected 8.44 from pot with One Pair (combination: J♦, J♣, Q♣, 9♥, 7♠)",2022-10-01T05:33:41.388Z,166460242138801
"""Deckhole @ 3URETjsK60"" shows a J♦, 8♠, J♣, A♣.",2022-10-01T05:33:41.388Z,166460242138800
"""Deckhole @ 3URETjsK60"" checks",2022-10-01T05:33:40.563Z,166460242056300
"""scott @ nj_yF1nN56"" checks",2022-10-01T05:33:27.819Z,166460240781900
"River: Q♣, 2♠, 6♥, 7♠ [9♥]",2022-10-01T05:33:18.092Z,166460239809200
"""Deckhole @ 3URETjsK60"" checks",2022-10-01T05:33:17.189Z,166460239718900
"""scott @ nj_yF1nN56"" checks",2022-10-01T05:33:01.585Z,166460238158500
"Turn: Q♣, 2♠, 6♥ [7♠]",2022-10-01T05:32:50.351Z,166460237035100
