entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""Malarkey @ Ia-cNlUwV8"".",2022-01-16T06:05:20.214Z,164231312021400
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 206.36.",2022-01-16T05:58:09.499Z,164231268949900
"""Deckhole @ _yf6aQFJyI"" shows a 5♥, K♥.",2022-01-16T05:50:13.519Z,164231221351900
"-- ending hand #387 --",2022-01-16T05:50:12.592Z,164231221259202
"""Malarkey @ Ia-cNlUwV8"" collected 1.50 from pot",2022-01-16T05:50:12.592Z,164231221259201
"Uncalled bet of 1.12 returned to ""Malarkey @ Ia-cNlUwV8""",2022-01-16T05:50:12.592Z,164231221259200
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-16T05:50:11.760Z,164231221176000
"""Malarkey @ Ia-cNlUwV8"" bets 1.12",2022-01-16T05:50:10.008Z,164231221000800
"""Deckhole @ _yf6aQFJyI"" checks",2022-01-16T05:50:03.717Z,164231220371700
"Turn: 3♦, 9♣, Q♥ [6♣]",2022-01-16T05:50:01.698Z,164231220169800
"""Malarkey @ Ia-cNlUwV8"" checks",2022-01-16T05:50:00.827Z,164231220082700
"""Deckhole @ _yf6aQFJyI"" checks",2022-01-16T05:49:57.324Z,164231219732400
"Flop:  [3♦, 9♣, Q♥]",2022-01-16T05:49:53.849Z,164231219384900
"""Deckhole @ _yf6aQFJyI"" calls 0.75",2022-01-16T05:49:53.009Z,164231219300900
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-01-16T05:49:47.697Z,164231218769700
"The admin ""Deckhole @ _yf6aQFJyI"" enqueued the game stop on next hand.",2022-01-16T05:49:45.661Z,164231218566100
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-01-16T05:49:37.843Z,164231217784305
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-01-16T05:49:37.843Z,164231217784304
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (207.11) | #4 ""Malarkey @ Ia-cNlUwV8"" (48.23)",2022-01-16T05:49:37.843Z,164231217784301
"-- starting hand #387  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-01-16T05:49:37.843Z,164231217784300
"-- ending hand #386 --",2022-01-16T05:49:34.880Z,164231217488002
"""Malarkey @ Ia-cNlUwV8"" collected 4.50 from pot",2022-01-16T05:49:34.880Z,164231217488001
"Uncalled bet of 2.25 returned to ""Malarkey @ Ia-cNlUwV8""",2022-01-16T05:49:34.880Z,164231217488000
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-16T05:49:34.066Z,164231217406600
"""Malarkey @ Ia-cNlUwV8"" bets 2.25",2022-01-16T05:49:28.724Z,164231216872400
"Flop:  [2♦, 6♠, A♥]",2022-01-16T05:49:20.272Z,164231216027200
"""Deckhole @ _yf6aQFJyI"" calls 2.25",2022-01-16T05:49:19.452Z,164231215945200
"""Malarkey @ Ia-cNlUwV8"" raises to 2.25",2022-01-16T05:49:09.919Z,164231214991900
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-01-16T05:49:05.739Z,164231214573900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.25",2022-01-16T05:49:03.588Z,164231214358805
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-01-16T05:49:03.588Z,164231214358804
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (209.36) | #4 ""Malarkey @ Ia-cNlUwV8"" (45.98)",2022-01-16T05:49:03.588Z,164231214358801
