entry,at,order
"""K. Godel @ TN11URmFSv"" shows a 3♦, Q♠, A♥, 4♣.",2021-03-20T06:46:08.446Z,161622276844800
"-- ending hand #330 --",2021-03-20T06:46:07.654Z,161622276765902
"""Baxter @ pUWVTl3lN1"" collected 2.00 from pot",2021-03-20T06:46:07.654Z,161622276765901
"Uncalled bet of 2.00 returned to ""Baxter @ pUWVTl3lN1""",2021-03-20T06:46:07.654Z,161622276765900
"""K. Godel @ TN11URmFSv"" folds",2021-03-20T06:46:06.843Z,161622276684400
"""Baxter @ pUWVTl3lN1"" bets 2.00",2021-03-20T06:45:46.205Z,161622274620600
"""K. Godel @ TN11URmFSv"" checks",2021-03-20T06:45:38.737Z,161622273873700
"River: Q♥, 9♥, 3♣, J♣ [6♥]",2021-03-20T06:45:34.448Z,161622273445100
"""K. Godel @ TN11URmFSv"" calls 0.30",2021-03-20T06:45:33.634Z,161622273363600
"""Baxter @ pUWVTl3lN1"" bets 0.30",2021-03-20T06:45:31.705Z,161622273170600
"""K. Godel @ TN11URmFSv"" checks",2021-03-20T06:45:23.135Z,161622272313600
"Turn: Q♥, 9♥, 3♣ [J♣]",2021-03-20T06:45:17.735Z,161622271774200
"""K. Godel @ TN11URmFSv"" calls 0.30",2021-03-20T06:45:16.920Z,161622271692100
"""Baxter @ pUWVTl3lN1"" bets 0.30",2021-03-20T06:45:15.152Z,161622271515300
"""K. Godel @ TN11URmFSv"" checks",2021-03-20T06:45:06.593Z,161622270659400
"Flop:  [Q♥, 9♥, 3♣]",2021-03-20T06:45:00.963Z,161622270096400
"""K. Godel @ TN11URmFSv"" calls 0.40",2021-03-20T06:45:00.150Z,161622270015300
"""Baxter @ pUWVTl3lN1"" raises to 0.40",2021-03-20T06:44:57.733Z,161622269773500
"""K. Godel @ TN11URmFSv"" raises to 0.25",2021-03-20T06:44:51.084Z,161622269108500
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-03-20T06:44:47.441Z,161622268744200
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-03-20T06:44:12.155Z,161622265215600
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.10",2021-03-20T06:44:06.823Z,161622264682406
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-03-20T06:44:06.823Z,161622264682405
"Your hand is 3♦, Q♠, A♥, 4♣",2021-03-20T06:44:06.823Z,161622264682403
"Player stacks: #2 ""Deckhole @ hqlKQ6Qj8d"" (38.55) | #4 ""K. Godel @ TN11URmFSv"" (69.49) | #7 ""Baxter @ pUWVTl3lN1"" (20.34)",2021-03-20T06:44:06.823Z,161622264682401
