entry,at,order
"""K Godel @ Di5cxDUTF9"" shows a 2♦, Q♠, 3♠, 5♣.",2021-11-21T08:50:57.705Z,163748465770500
"-- ending hand #329 --",2021-11-21T08:50:56.234Z,163748465623402
"""Deckhole @ 3URETjsK60"" collected 3.50 from pot with Two Pair (combination: 7♠, 7♥, 4♦, 4♣, K♦)",2021-11-21T08:50:56.234Z,163748465623401
"""Deckhole @ 3URETjsK60"" shows a 8♥, 7♠, 7♥, 10♣.",2021-11-21T08:50:56.234Z,163748465623400
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:50:55.346Z,163748465534600
"""Deckhole @ 3URETjsK60"" checks",2021-11-21T08:50:51.719Z,163748465171900
"River: 3♥, K♦, 9♥, 4♦ [4♣]",2021-11-21T08:50:45.681Z,163748464568100
"""K Godel @ Di5cxDUTF9"" calls 1.00",2021-11-21T08:50:44.844Z,163748464484400
"""Deckhole @ 3URETjsK60"" bets 1.00",2021-11-21T08:50:43.442Z,163748464344200
"Turn: 3♥, K♦, 9♥ [4♦]",2021-11-21T08:50:36.215Z,163748463621500
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:50:35.401Z,163748463540100
"""Deckhole @ 3URETjsK60"" checks",2021-11-21T08:50:32.921Z,163748463292100
"Flop:  [3♥, K♦, 9♥]",2021-11-21T08:50:29.610Z,163748462961000
"""Deckhole @ 3URETjsK60"" calls 0.75",2021-11-21T08:50:28.762Z,163748462876200
"The admin ""Deckhole @ 3URETjsK60"" enqueued the game stop on next hand.",2021-11-21T08:50:26.415Z,163748462641500
"""K Godel @ Di5cxDUTF9"" raises to 0.75",2021-11-21T08:50:16.753Z,163748461675300
"""Deckhole @ 3URETjsK60"" posts a big blind of 0.25",2021-11-21T08:50:04.739Z,163748460473905
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.10",2021-11-21T08:50:04.739Z,163748460473904
"Your hand is 2♦, Q♠, 3♠, 5♣",2021-11-21T08:50:04.739Z,163748460473902
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (208.30) | #10 ""Deckhole @ 3URETjsK60"" (26.37)",2021-11-21T08:50:04.739Z,163748460473901
"-- starting hand #329  (Pot Limit Omaha Hi) (dealer: ""K Godel @ Di5cxDUTF9"") --",2021-11-21T08:50:04.739Z,163748460473900
"""K Godel @ Di5cxDUTF9"" shows a 3♥, 9♥, Q♥, A♥.",2021-11-21T08:50:01.826Z,163748460182600
"-- ending hand #328 --",2021-11-21T08:50:01.129Z,163748460112902
"""Deckhole @ 3URETjsK60"" collected 11.22 from pot",2021-11-21T08:50:01.129Z,163748460112901
"Uncalled bet of 11.22 returned to ""Deckhole @ 3URETjsK60""",2021-11-21T08:50:01.129Z,163748460112900
"""K Godel @ Di5cxDUTF9"" folds",2021-11-21T08:50:00.279Z,163748460027900
"""Deckhole @ 3URETjsK60"" bets 11.22",2021-11-21T08:49:57.329Z,163748459732900
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:49:53.651Z,163748459365100
"River: A♣, 4♥, 6♥, 5♣ [K♦]",2021-11-21T08:49:50.722Z,163748459072200
"""K Godel @ Di5cxDUTF9"" calls 3.74",2021-11-21T08:49:49.898Z,163748458989800
"""Deckhole @ 3URETjsK60"" bets 3.74",2021-11-21T08:49:43.392Z,163748458339200
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:49:40.265Z,163748458026500
"Turn: A♣, 4♥, 6♥ [5♣]",2021-11-21T08:49:29.106Z,163748456910600
"""K Godel @ Di5cxDUTF9"" calls 1.12",2021-11-21T08:49:28.227Z,163748456822700
"""Deckhole @ 3URETjsK60"" bets 1.12",2021-11-21T08:49:15.840Z,163748455584000
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:49:07.801Z,163748454780100
"Flop:  [A♣, 4♥, 6♥]",2021-11-21T08:48:56.876Z,163748453687600
"""K Godel @ Di5cxDUTF9"" calls 0.75",2021-11-21T08:48:56.020Z,163748453602000
"""Deckhole @ 3URETjsK60"" raises to 0.75",2021-11-21T08:48:49.384Z,163748452938400
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2021-11-21T08:48:46.066Z,163748452606605
"""Deckhole @ 3URETjsK60"" posts a small blind of 0.10",2021-11-21T08:48:46.066Z,163748452606604
"Your hand is 3♥, 9♥, Q♥, A♥",2021-11-21T08:48:46.066Z,163748452606602
"Player stacks: #1 ""K Godel @ Di5cxDUTF9"" (213.91) | #10 ""Deckhole @ 3URETjsK60"" (20.76)",2021-11-21T08:48:46.066Z,163748452606601
"-- starting hand #328  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ 3URETjsK60"") --",2021-11-21T08:48:46.066Z,163748452606600
"-- ending hand #327 --",2021-11-21T08:48:43.146Z,163748452314602
"""Deckhole @ 3URETjsK60"" collected 1.50 from pot",2021-11-21T08:48:43.146Z,163748452314601
"Uncalled bet of 1.50 returned to ""Deckhole @ 3URETjsK60""",2021-11-21T08:48:43.146Z,163748452314600
"""K Godel @ Di5cxDUTF9"" folds",2021-11-21T08:48:42.270Z,163748452227000
"""Deckhole @ 3URETjsK60"" bets 1.50",2021-11-21T08:48:34.812Z,163748451481200
"Turn: 7♣, 9♣, 4♣ [5♦]",2021-11-21T08:48:29.049Z,163748450904900
"""K Godel @ Di5cxDUTF9"" checks",2021-11-21T08:48:28.138Z,163748450813800
