entry,at,order
"-- ending hand #284 --",2021-04-11T05:50:20.529Z,161812022053502
"""Baxter @ pUWVTl3lN1"" collected 4.50 from pot with Flush (combination: K♦, 9♦, 5♦, 3♦, 2♦)",2021-04-11T05:50:20.529Z,161812022053501
"""Baxter @ pUWVTl3lN1"" shows a 2♦, K♥, 3♦, Q♣.",2021-04-11T05:50:20.529Z,161812022053500
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-04-11T05:50:19.722Z,161812021972300
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:50:18.807Z,161812021880800
"River: 6♠, K♦, 9♦, 4♠ [5♦]",2021-04-11T05:50:14.816Z,161812021482000
"""Baxter @ pUWVTl3lN1"" calls 1.35",2021-04-11T05:50:14.007Z,161812021400800
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.35",2021-04-11T05:50:07.927Z,161812020792800
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:50:01.534Z,161812020153600
"Turn: 6♠, K♦, 9♦ [4♠]",2021-04-11T05:49:58.892Z,161812019889400
"""Baxter @ pUWVTl3lN1"" calls 0.60",2021-04-11T05:49:58.069Z,161812019807000
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.60",2021-04-11T05:49:53.537Z,161812019353800
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:49:49.750Z,161812018975100
"Flop:  [6♠, K♦, 9♦]",2021-04-11T05:49:44.779Z,161812018478100
"""Baxter @ pUWVTl3lN1"" calls 0.30",2021-04-11T05:49:43.971Z,161812018397200
"""LLATFFEJ @ cp8PZiuFnj"" raises to 0.30",2021-04-11T05:49:41.113Z,161812018111400
"""Baxter @ pUWVTl3lN1"" calls 0.10",2021-04-11T05:49:36.806Z,161812017680700
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-11T05:49:32.538Z,161812017253900
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-04-11T05:49:30.850Z,161812017085100
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.10",2021-04-11T05:49:10.813Z,161812015081406
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.05",2021-04-11T05:49:10.813Z,161812015081405
"Player stacks: #2 ""Baxter @ pUWVTl3lN1"" (20.69) | #4 ""LLATFFEJ @ cp8PZiuFnj"" (69.47) | #5 ""Deckhole @ hqlKQ6Qj8d"" (174.12)",2021-04-11T05:49:10.813Z,161812015081401
"-- starting hand #284  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-04-11T05:49:10.813Z,161812015081400
"-- ending hand #283 --",2021-04-11T05:49:04.796Z,161812014479902
"""Deckhole @ hqlKQ6Qj8d"" collected 10.80 from pot with Full House (combination: 9♠, 9♥, 9♦, 10♦, 10♣)",2021-04-11T05:49:04.796Z,161812014479901
"""Deckhole @ hqlKQ6Qj8d"" shows a 3♦, Q♥, 9♠, 10♦.",2021-04-11T05:49:04.796Z,161812014479900
"""LLATFFEJ @ cp8PZiuFnj"" calls 3.60",2021-04-11T05:49:03.983Z,161812014398400
"""Deckhole @ hqlKQ6Qj8d"" bets 3.60",2021-04-11T05:48:59.826Z,161812013982700
"River: 4♦, 9♥, K♣, 10♣ [9♦]",2021-04-11T05:48:42.821Z,161812012282900
"""Baxter @ pUWVTl3lN1"" folds",2021-04-11T05:48:42.008Z,161812012200900
"""Deckhole @ hqlKQ6Qj8d"" calls 1.20",2021-04-11T05:48:38.731Z,161812011873200
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.20",2021-04-11T05:48:34.519Z,161812011452000
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:48:31.271Z,161812011127200
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-11T05:48:26.660Z,161812010666200
"Turn: 4♦, 9♥, K♣ [10♣]",2021-04-11T05:48:18.440Z,161812009844400
"""Baxter @ pUWVTl3lN1"" calls 0.30",2021-04-11T05:48:17.625Z,161812009762700
"""Deckhole @ hqlKQ6Qj8d"" calls 0.30",2021-04-11T05:48:14.035Z,161812009403600
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.30",2021-04-11T05:48:09.214Z,161812008921500
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:48:05.631Z,161812008563200
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-11T05:48:03.700Z,161812008370100
"Flop:  [4♦, 9♥, K♣]",2021-04-11T05:48:00.208Z,161812008021000
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:47:59.402Z,161812007940200
"""Deckhole @ hqlKQ6Qj8d"" calls 0.10",2021-04-11T05:47:55.021Z,161812007502200
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.10",2021-04-11T05:47:51.227Z,161812007122800
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.10",2021-04-11T05:47:48.883Z,161812006888406
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-04-11T05:47:48.883Z,161812006888405
"Player stacks: #2 ""Baxter @ pUWVTl3lN1"" (21.09) | #4 ""LLATFFEJ @ cp8PZiuFnj"" (74.67) | #5 ""Deckhole @ hqlKQ6Qj8d"" (168.52)",2021-04-11T05:47:48.883Z,161812006888401
"-- starting hand #283  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-04-11T05:47:48.883Z,161812006888400
"-- ending hand #282 --",2021-04-11T05:47:42.943Z,161812006294402
"""LLATFFEJ @ cp8PZiuFnj"" collected 1.20 from pot",2021-04-11T05:47:42.943Z,161812006294401
"Uncalled bet of 0.60 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-04-11T05:47:42.943Z,161812006294400
"""Baxter @ pUWVTl3lN1"" folds",2021-04-11T05:47:42.134Z,161812006213500
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-11T05:47:39.548Z,161812005954900
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.60",2021-04-11T05:47:35.927Z,161812005592900
"Flop:  [7♥, A♦, 2♠]",2021-04-11T05:47:29.987Z,161812004998900
"""Baxter @ pUWVTl3lN1"" calls 0.40",2021-04-11T05:47:29.178Z,161812004917900
"""Deckhole @ hqlKQ6Qj8d"" calls 0.40",2021-04-11T05:47:25.149Z,161812004515000
"""LLATFFEJ @ cp8PZiuFnj"" raises to 0.40",2021-04-11T05:47:21.812Z,161812004181300
"""Baxter @ pUWVTl3lN1"" calls 0.10",2021-04-11T05:47:16.610Z,161812003661100
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-04-11T05:47:12.300Z,161812003230106
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.05",2021-04-11T05:47:12.300Z,161812003230105
"Player stacks: #2 ""Baxter @ pUWVTl3lN1"" (21.49) | #4 ""LLATFFEJ @ cp8PZiuFnj"" (73.87) | #5 ""Deckhole @ hqlKQ6Qj8d"" (168.92)",2021-04-11T05:47:12.300Z,161812003230101
"-- starting hand #282  (Pot Limit Omaha Hi) (dealer: ""Baxter @ pUWVTl3lN1"") --",2021-04-11T05:47:12.300Z,161812003230100
"-- ending hand #281 --",2021-04-11T05:47:09.382Z,161812002938302
"""LLATFFEJ @ cp8PZiuFnj"" collected 15.63 from pot",2021-04-11T05:47:09.382Z,161812002938301
"Uncalled bet of 4.40 returned to ""LLATFFEJ @ cp8PZiuFnj""",2021-04-11T05:47:09.382Z,161812002938300
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-11T05:47:08.572Z,161812002857300
"""LLATFFEJ @ cp8PZiuFnj"" bets 4.40",2021-04-11T05:46:55.292Z,161812001529300
"River: 7♥, 5♣, J♦, K♦ [8♦]",2021-04-11T05:46:47.721Z,161812000772500
"""LLATFFEJ @ cp8PZiuFnj"" calls 6.51",2021-04-11T05:46:46.910Z,161812000691200
"""Deckhole @ hqlKQ6Qj8d"" raises to 6.51",2021-04-11T05:46:44.933Z,161812000493500
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.30",2021-04-11T05:46:41.869Z,161812000187000
"Turn: 7♥, 5♣, J♦ [K♦]",2021-04-11T05:46:32.216Z,161811999222300
"""Baxter @ pUWVTl3lN1"" folds",2021-04-11T05:46:31.404Z,161811999140500
"""Deckhole @ hqlKQ6Qj8d"" calls 0.78",2021-04-11T05:46:25.789Z,161811998579000
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.78",2021-04-11T05:46:24.249Z,161811998425000
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:46:19.605Z,161811997960600
"Flop:  [7♥, 5♣, J♦]",2021-04-11T05:46:15.342Z,161811997534300
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.35",2021-04-11T05:46:14.528Z,161811997452900
"""Baxter @ pUWVTl3lN1"" calls 0.35",2021-04-11T05:46:13.626Z,161811997362700
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.35",2021-04-11T05:46:10.949Z,161811997095000
"""LLATFFEJ @ cp8PZiuFnj"" posts a big blind of 0.10",2021-04-11T05:46:07.096Z,161811996709706
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.05",2021-04-11T05:46:07.096Z,161811996709705
"Player stacks: #2 ""Baxter @ pUWVTl3lN1"" (21.84) | #4 ""LLATFFEJ @ cp8PZiuFnj"" (65.88) | #5 ""Deckhole @ hqlKQ6Qj8d"" (176.56)",2021-04-11T05:46:07.096Z,161811996709701
"-- starting hand #281  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-04-11T05:46:07.096Z,161811996709700
"-- ending hand #280 --",2021-04-11T05:46:01.060Z,161811996106802
"""LLATFFEJ @ cp8PZiuFnj"" collected 13.01 from pot with Flush (combination: A♦, K♦, 7♦, 4♦, 3♦)",2021-04-11T05:46:01.060Z,161811996106801
"""LLATFFEJ @ cp8PZiuFnj"" shows a 3♦, A♦, 2♠, 3♣.",2021-04-11T05:46:01.060Z,161811996106800
"""Baxter @ pUWVTl3lN1"" calls 3.25",2021-04-11T05:46:00.252Z,161811996025300
"""LLATFFEJ @ cp8PZiuFnj"" bets 3.25",2021-04-11T05:45:57.824Z,161811995782500
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:45:54.391Z,161811995439200
"River: 6♠, 7♦, 4♦, 3♥ [K♦]",2021-04-11T05:45:50.369Z,161811995037300
"""Baxter @ pUWVTl3lN1"" calls 1.95",2021-04-11T05:45:49.561Z,161811994956200
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-11T05:45:46.975Z,161811994697600
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.95",2021-04-11T05:45:45.722Z,161811994572300
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:45:41.710Z,161811994171100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-11T05:45:38.854Z,161811993885500
"Turn: 6♠, 7♦, 4♦ [3♥]",2021-04-11T05:45:31.553Z,161811993155500
"""Baxter @ pUWVTl3lN1"" calls 0.52",2021-04-11T05:45:30.716Z,161811993071800
"""Deckhole @ hqlKQ6Qj8d"" calls 0.52",2021-04-11T05:45:28.102Z,161811992810300
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.52",2021-04-11T05:45:26.767Z,161811992676800
"""Baxter @ pUWVTl3lN1"" checks",2021-04-11T05:45:23.942Z,161811992394300
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-11T05:45:19.942Z,161811991994300
"Flop:  [6♠, 7♦, 4♦]",2021-04-11T05:45:14.628Z,161811991463000
"""Baxter @ pUWVTl3lN1"" calls 0.35",2021-04-11T05:45:13.819Z,161811991382000
"""Deckhole @ hqlKQ6Qj8d"" calls 0.35",2021-04-11T05:45:10.535Z,161811991053600
"""LLATFFEJ @ cp8PZiuFnj"" raises to 0.35",2021-04-11T05:45:07.951Z,161811990795200
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.10",2021-04-11T05:44:59.053Z,161811989905406
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-04-11T05:44:59.053Z,161811989905405
"Player stacks: #2 ""Baxter @ pUWVTl3lN1"" (27.91) | #4 ""LLATFFEJ @ cp8PZiuFnj"" (58.94) | #5 ""Deckhole @ hqlKQ6Qj8d"" (177.43)",2021-04-11T05:44:59.053Z,161811989905401
"-- starting hand #280  (Pot Limit Omaha Hi) (dealer: ""LLATFFEJ @ cp8PZiuFnj"") --",2021-04-11T05:44:59.053Z,161811989905400
"-- ending hand #279 --",2021-04-11T05:44:53.020Z,161811989302403
"""LLATFFEJ @ cp8PZiuFnj"" shows a 5♦, 2♦, 7♣, 9♣.",2021-04-11T05:44:53.020Z,161811989302402
"""Deckhole @ hqlKQ6Qj8d"" collected 23.40 from pot with Two Pair (combination: K♠, K♣, 4♦, 4♠, 5♥)",2021-04-11T05:44:53.020Z,161811989302401
"""Deckhole @ hqlKQ6Qj8d"" shows a K♠, 8♣, 8♠, 4♦.",2021-04-11T05:44:53.020Z,161811989302400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-11T05:44:52.207Z,161811989220800
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-04-11T05:44:40.893Z,161811988089400
"River: 3♠, K♣, 2♣, 4♠ [5♥]",2021-04-11T05:44:37.475Z,161811987748100
"""LLATFFEJ @ cp8PZiuFnj"" calls 9.75",2021-04-11T05:44:36.668Z,161811987666900
"""Baxter @ pUWVTl3lN1"" folds",2021-04-11T05:44:34.458Z,161811987445900
"""Deckhole @ hqlKQ6Qj8d"" raises to 9.75",2021-04-11T05:44:29.879Z,161811986988000
"""LLATFFEJ @ cp8PZiuFnj"" bets 1.95",2021-04-11T05:44:26.797Z,161811986679800
"Turn: 3♠, K♣, 2♣ [4♠]",2021-04-11T05:44:20.068Z,161811986007300
"""Baxter @ pUWVTl3lN1"" calls 0.90",2021-04-11T05:44:19.257Z,161811985925800
"""Deckhole @ hqlKQ6Qj8d"" calls 0.90",2021-04-11T05:44:16.455Z,161811985645600
"""LLATFFEJ @ cp8PZiuFnj"" bets 0.90",2021-04-11T05:44:14.742Z,161811985474300
