entry,at,order
"The player ""Deckhole @ _yf6aQFJyI"" passed the room ownership to ""Malarkey @ Ia-cNlUwV8"".",2022-01-17T05:06:01.408Z,164239596140800
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 169.85.",2022-01-17T04:58:04.710Z,164239548471000
"-- ending hand #175 --",2022-01-17T04:58:01.705Z,164239548170502
"""Malarkey @ Ia-cNlUwV8"" collected 0.50 from pot",2022-01-17T04:58:01.705Z,164239548170501
"Uncalled bet of 0.50 returned to ""Malarkey @ Ia-cNlUwV8""",2022-01-17T04:58:01.705Z,164239548170500
"""K Godel @ Di5cxDUTF9"" folds",2022-01-17T04:58:00.750Z,164239548075000
"""Malarkey @ Ia-cNlUwV8"" raises to 0.75",2022-01-17T04:57:28.379Z,164239544837900
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-01-17T04:57:01.587Z,164239542158706
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-01-17T04:57:01.587Z,164239542158705
"Your hand is 9♣, 4♠",2022-01-17T04:57:01.587Z,164239542158703
"Player stacks: #7 ""K Godel @ Di5cxDUTF9"" (170.10) | #8 ""Malarkey @ Ia-cNlUwV8"" (74.90)",2022-01-17T04:57:01.587Z,164239542158702
"-- starting hand #175  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-01-17T04:57:01.587Z,164239542158701
"The player ""Deckhole @ _yf6aQFJyI"" quits the game with a stack of 0.00.",2022-01-17T04:57:01.587Z,164239542158700
"-- ending hand #174 --",2022-01-17T04:56:55.495Z,164239541549503
"""Deckhole @ _yf6aQFJyI"" shows a 7♠, 8♥.",2022-01-17T04:56:55.495Z,164239541549502
"""K Godel @ Di5cxDUTF9"" collected 166.52 from pot with Straight Flush, Kh High (combination: K♥, Q♥, J♥, 10♥, 9♥)",2022-01-17T04:56:55.495Z,164239541549501
"""K Godel @ Di5cxDUTF9"" shows a K♥, 5♥.",2022-01-17T04:56:55.495Z,164239541549500
"""K Godel @ Di5cxDUTF9"" raises to 79.41 and go all in",2022-01-17T04:56:54.559Z,164239541455900
"""Deckhole @ _yf6aQFJyI"" raises to 79.41 and go all in",2022-01-17T04:56:49.506Z,164239540950600
"""K Godel @ Di5cxDUTF9"" raises to 10.55",2022-01-17T04:56:45.865Z,164239540586500
"""Deckhole @ _yf6aQFJyI"" bets 3.35",2022-01-17T04:56:37.563Z,164239539756300
"River: 6♠, J♥, 9♥, 10♥ [Q♥]",2022-01-17T04:56:17.204Z,164239537720400
"""K Godel @ Di5cxDUTF9"" calls 2.05",2022-01-17T04:56:16.328Z,164239537632800
"""Deckhole @ _yf6aQFJyI"" bets 2.05",2022-01-17T04:56:07.334Z,164239536733400
"Turn: 6♠, J♥, 9♥ [10♥]",2022-01-17T04:55:56.092Z,164239535609200
"""K Godel @ Di5cxDUTF9"" calls 0.90",2022-01-17T04:55:55.208Z,164239535520800
"""Deckhole @ _yf6aQFJyI"" bets 0.90",2022-01-17T04:55:50.156Z,164239535015600
"Flop:  [6♠, J♥, 9♥]",2022-01-17T04:55:46.193Z,164239534619300
"""Deckhole @ _yf6aQFJyI"" calls 0.85",2022-01-17T04:55:45.365Z,164239534536500
"""Malarkey @ Ia-cNlUwV8"" folds",2022-01-17T04:55:40.708Z,164239534070800
"""K Godel @ Di5cxDUTF9"" raises to 0.85",2022-01-17T04:55:37.881Z,164239533788100
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.25",2022-01-17T04:55:32.402Z,164239533240207
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.10",2022-01-17T04:55:32.402Z,164239533240206
"Your hand is K♥, 5♥",2022-01-17T04:55:32.402Z,164239533240204
"Player stacks: #6 ""Deckhole @ _yf6aQFJyI"" (83.21) | #7 ""K Godel @ Di5cxDUTF9"" (86.79) | #8 ""Malarkey @ Ia-cNlUwV8"" (75.00)",2022-01-17T04:55:32.402Z,164239533240202
"-- starting hand #174  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-01-17T04:55:32.402Z,164239533240201
"The player ""Malarkey @ Ia-cNlUwV8"" joined the game with a stack of 75.00.",2022-01-17T04:55:32.402Z,164239533240200
"-- ending hand #173 --",2022-01-17T04:55:26.382Z,164239532638202
"""Deckhole @ _yf6aQFJyI"" collected 1.50 from pot",2022-01-17T04:55:26.382Z,164239532638201
"Uncalled bet of 0.75 returned to ""Deckhole @ _yf6aQFJyI""",2022-01-17T04:55:26.382Z,164239532638200
"""K Godel @ Di5cxDUTF9"" folds",2022-01-17T04:55:25.497Z,164239532549700
"""Deckhole @ _yf6aQFJyI"" bets 0.75",2022-01-17T04:55:16.669Z,164239531666900
"The admin approved the player ""Malarkey @ Ia-cNlUwV8"" participation with a stack of 75.00.",2022-01-17T04:55:11.420Z,164239531142000
"The player ""Malarkey @ Ia-cNlUwV8"" requested a seat.",2022-01-17T04:55:00.712Z,164239530071200
"""K Godel @ Di5cxDUTF9"" checks",2022-01-17T04:54:57.170Z,164239529717000
"Flop:  [Q♣, 5♥, 2♣]",2022-01-17T04:54:53.192Z,164239529319200
"""K Godel @ Di5cxDUTF9"" calls 0.75",2022-01-17T04:54:52.310Z,164239529231000
"""Deckhole @ _yf6aQFJyI"" raises to 0.75",2022-01-17T04:54:50.630Z,164239529063000
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.25",2022-01-17T04:54:43.904Z,164239528390405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.10",2022-01-17T04:54:43.904Z,164239528390404
"Your hand is 6♣, K♦",2022-01-17T04:54:43.904Z,164239528390403
"Player stacks: #6 ""Deckhole @ _yf6aQFJyI"" (82.46) | #7 ""K Godel @ Di5cxDUTF9"" (87.54)",2022-01-17T04:54:43.904Z,164239528390401
"-- starting hand #173  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-01-17T04:54:43.904Z,164239528390400
"-- ending hand #172 --",2022-01-17T04:54:40.913Z,164239528091302
