entry,at,order
"-- ending hand #479 --",2021-10-16T10:05:31.839Z,163437873183902
"""Deckhole @ 5Wa3y-CeG8"" collected 3.00 from pot",2021-10-16T10:05:31.839Z,163437873183901
"Uncalled bet of 3.00 returned to ""Deckhole @ 5Wa3y-CeG8""",2021-10-16T10:05:31.839Z,163437873183900
"""Malarkey @ yzkS3efRJS"" folds",2021-10-16T10:05:31.025Z,163437873102500
"""Deckhole @ 5Wa3y-CeG8"" bets 3.00",2021-10-16T10:05:27.170Z,163437872717000
"River: 10♥, 2♣, 2♠, 5♠ [4♠]",2021-10-16T10:05:23.847Z,163437872384700
"""Malarkey @ yzkS3efRJS"" checks",2021-10-16T10:05:23.039Z,163437872303900
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-10-16T10:05:20.144Z,163437872014400
"Turn: 10♥, 2♣, 2♠ [5♠]",2021-10-16T10:05:18.448Z,163437871844800
"""Deckhole @ 5Wa3y-CeG8"" calls 0.75",2021-10-16T10:05:17.641Z,163437871764100
"The admin ""Deckhole @ 5Wa3y-CeG8"" enqueued the game stop on next hand.",2021-10-16T10:05:16.019Z,163437871601900
"""Malarkey @ yzkS3efRJS"" bets 0.75",2021-10-16T10:05:11.611Z,163437871161100
"""Deckhole @ 5Wa3y-CeG8"" checks",2021-10-16T10:05:08.238Z,163437870823800
"Flop:  [10♥, 2♣, 2♠]",2021-10-16T10:05:05.758Z,163437870575800
"""Deckhole @ 5Wa3y-CeG8"" calls 0.75",2021-10-16T10:05:04.950Z,163437870495000
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-10-16T10:04:58.300Z,163437869830000
"""Deckhole @ 5Wa3y-CeG8"" posts a big blind of 0.25",2021-10-16T10:04:54.550Z,163437869455005
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-10-16T10:04:54.550Z,163437869455004
"Player stacks: #4 ""Malarkey @ yzkS3efRJS"" (261.22) | #7 ""Deckhole @ 5Wa3y-CeG8"" (222.93)",2021-10-16T10:04:54.550Z,163437869455001
"-- starting hand #479  (Pot Limit Omaha Hi) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-10-16T10:04:54.550Z,163437869455000
"-- ending hand #478 --",2021-10-16T10:04:51.612Z,163437869161202
"""Deckhole @ 5Wa3y-CeG8"" collected 33.72 from pot",2021-10-16T10:04:51.612Z,163437869161201
"Uncalled bet of 20.04 returned to ""Deckhole @ 5Wa3y-CeG8""",2021-10-16T10:04:51.612Z,163437869161200
"""Malarkey @ yzkS3efRJS"" folds",2021-10-16T10:04:50.803Z,163437869080300
"""Deckhole @ 5Wa3y-CeG8"" bets 20.04",2021-10-16T10:04:29.105Z,163437866910500
"""Malarkey @ yzkS3efRJS"" checks",2021-10-16T10:04:04.134Z,163437864413400
"Turn: 9♦, 6♥, K♦ [4♥]",2021-10-16T10:04:01.088Z,163437864108800
"""Malarkey @ yzkS3efRJS"" calls 14.61",2021-10-16T10:04:00.280Z,163437864028000
"""Deckhole @ 5Wa3y-CeG8"" raises to 14.61",2021-10-16T10:03:56.441Z,163437863644100
"""Malarkey @ yzkS3efRJS"" bets 3.37",2021-10-16T10:03:51.674Z,163437863167400
"Flop:  [9♦, 6♥, K♦]",2021-10-16T10:03:37.986Z,163437861798600
"""Deckhole @ 5Wa3y-CeG8"" calls 2.25",2021-10-16T10:03:37.177Z,163437861717700
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-10-16T10:03:34.805Z,163437861480500
"""Deckhole @ 5Wa3y-CeG8"" raises to 0.75",2021-10-16T10:03:31.495Z,163437861149500
