entry,at,order
"The player ""LLATFFEJ @ WtMwiUnkT6"" quits the game with a stack of 75.79.",2021-02-14T08:21:40.143Z,161329090015001
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""LLATFFEJ @ WtMwiUnkT6"".",2021-02-14T08:21:40.143Z,161329090015000
"The player ""Baxter @ pUWVTl3lN1"" quits the game with a stack of 142.50.",2021-02-14T08:12:25.989Z,161329034599600
"The player ""Baxter @ pUWVTl3lN1"" stand up with the stack of 142.50.",2021-02-14T08:04:01.380Z,161328984138100
"""K. Godel @ TN11URmFSv"" shows a J♠, 10♣.",2021-02-14T08:03:58.821Z,161328983882200
"""Deckhole @ hqlKQ6Qj8d"" shows a Q♦, A♣.",2021-02-14T08:03:57.570Z,161328983757100
"-- ending hand #250 --",2021-02-14T08:03:57.061Z,161328983706202
"""K. Godel @ TN11URmFSv"" collected 1.95 from pot",2021-02-14T08:03:57.061Z,161328983706201
"Uncalled bet of 1.46 returned to ""K. Godel @ TN11URmFSv""",2021-02-14T08:03:57.061Z,161328983706200
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-02-14T08:03:56.251Z,161328983625200
"""K. Godel @ TN11URmFSv"" bets 1.46",2021-02-14T08:03:38.702Z,161328981870300
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-02-14T08:03:33.611Z,161328981361200
"Turn: K♦, J♦, 7♠ [2♣]",2021-02-14T08:03:19.602Z,161328979960300
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-14T08:03:18.787Z,161328979878700
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:03:17.251Z,161328979725200
"Flop:  [K♦, J♦, 7♠]",2021-02-14T08:03:12.222Z,161328979222300
"""Baxter @ pUWVTl3lN1"" folds",2021-02-14T08:03:11.413Z,161328979141400
"""K. Godel @ TN11URmFSv"" calls 0.85",2021-02-14T08:03:08.450Z,161328978845000
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-02-14T08:03:05.755Z,161328978575600
"""Baxter @ pUWVTl3lN1"" posts a big blind of 0.25",2021-02-14T08:03:02.637Z,161328978263806
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-02-14T08:03:02.637Z,161328978263805
"Your hand is J♠, 10♣",2021-02-14T08:03:02.637Z,161328978263803
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (278.40) | #4 ""K. Godel @ TN11URmFSv"" (77.91) | #5 ""Baxter @ pUWVTl3lN1"" (142.75)",2021-02-14T08:03:02.637Z,161328978263801
"-- starting hand #250  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-02-14T08:03:02.637Z,161328978263800
"-- ending hand #249 --",2021-02-14T08:02:56.598Z,161328977660002
"""Deckhole @ hqlKQ6Qj8d"" collected 1.87 from pot with Two Pair, J's & 9's (combination: J♣, J♠, 9♣, 9♦, K♠)",2021-02-14T08:02:56.598Z,161328977660001
"""Deckhole @ hqlKQ6Qj8d"" shows a 6♠, 9♣.",2021-02-14T08:02:56.598Z,161328977660000
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:02:55.789Z,161328977578900
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-14T08:02:53.651Z,161328977365200
"River: J♣, 9♦, J♠, 6♥ [K♠]",2021-02-14T08:02:48.492Z,161328976849700
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:02:47.685Z,161328976768600
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-14T08:02:40.500Z,161328976050100
"Turn: J♣, 9♦, J♠ [6♥]",2021-02-14T08:02:32.339Z,161328975234100
"""Deckhole @ hqlKQ6Qj8d"" calls 0.56",2021-02-14T08:02:31.532Z,161328975153300
"""Baxter @ pUWVTl3lN1"" folds",2021-02-14T08:02:29.982Z,161328974998300
"""K. Godel @ TN11URmFSv"" bets 0.56",2021-02-14T08:02:27.430Z,161328974743100
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-02-14T08:02:18.829Z,161328973883000
"Flop:  [J♣, 9♦, J♠]",2021-02-14T08:02:16.076Z,161328973607700
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:02:15.267Z,161328973526800
"""Deckhole @ hqlKQ6Qj8d"" calls 0.25",2021-02-14T08:02:14.372Z,161328973437300
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-02-14T08:02:08.487Z,161328972848800
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-02-14T08:02:03.678Z,161328972367906
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-02-14T08:02:03.678Z,161328972367905
"Your hand is 7♥, Q♥",2021-02-14T08:02:03.678Z,161328972367903
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (277.34) | #4 ""K. Godel @ TN11URmFSv"" (78.72) | #5 ""Baxter @ pUWVTl3lN1"" (143.00)",2021-02-14T08:02:03.678Z,161328972367901
"-- starting hand #249  (No Limit Texas Hold'em) (dealer: ""Baxter @ pUWVTl3lN1"") --",2021-02-14T08:02:03.678Z,161328972367900
"-- ending hand #248 --",2021-02-14T08:02:00.760Z,161328972076102
"""Deckhole @ hqlKQ6Qj8d"" collected 2.10 from pot",2021-02-14T08:02:00.760Z,161328972076101
"Uncalled bet of 1.05 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-02-14T08:02:00.760Z,161328972076100
"""Baxter @ pUWVTl3lN1"" folds",2021-02-14T08:01:59.951Z,161328971995200
"""K. Godel @ TN11URmFSv"" folds",2021-02-14T08:01:54.794Z,161328971479400
"""Deckhole @ hqlKQ6Qj8d"" bets 1.05",2021-02-14T08:01:51.959Z,161328971196000
"""Baxter @ pUWVTl3lN1"" checks",2021-02-14T08:01:40.812Z,161328970081200
"Flop:  [5♥, 8♣, Q♣]",2021-02-14T08:01:35.373Z,161328969537400
"""Deckhole @ hqlKQ6Qj8d"" calls 0.70",2021-02-14T08:01:34.566Z,161328969456600
"""Baxter @ pUWVTl3lN1"" calls 0.70",2021-02-14T08:01:17.828Z,161328967782900
"""K. Godel @ TN11URmFSv"" raises to 0.70",2021-02-14T08:01:12.869Z,161328967287000
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-02-14T08:01:04.586Z,161328966458707
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-02-14T08:01:04.586Z,161328966458706
"Your hand is A♥, 4♦",2021-02-14T08:01:04.586Z,161328966458704
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (275.94) | #4 ""K. Godel @ TN11URmFSv"" (79.42) | #5 ""Baxter @ pUWVTl3lN1"" (143.70)",2021-02-14T08:01:04.586Z,161328966458702
"-- starting hand #248  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-02-14T08:01:04.586Z,161328966458701
"The player ""LLATFFEJ @ WtMwiUnkT6"" stand up with the stack of 75.79.",2021-02-14T08:01:04.586Z,161328966458700
"-- ending hand #247 --",2021-02-14T08:00:58.556Z,161328965855703
"""K. Godel @ TN11URmFSv"" shows a 5♣, A♥.",2021-02-14T08:00:58.556Z,161328965855702
"""Baxter @ pUWVTl3lN1"" collected 3.74 from pot with Pair, K's (combination: K♣, K♠, 10♠, 7♠, 6♦)",2021-02-14T08:00:58.556Z,161328965855701
"""Baxter @ pUWVTl3lN1"" shows a 4♥, K♣.",2021-02-14T08:00:58.556Z,161328965855700
"""Baxter @ pUWVTl3lN1"" checks",2021-02-14T08:00:57.749Z,161328965774900
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:00:53.672Z,161328965367300
"River: 5♦, K♠, 6♦, 7♠ [10♠]",2021-02-14T08:00:51.405Z,161328965140700
"""Baxter @ pUWVTl3lN1"" checks",2021-02-14T08:00:50.595Z,161328965059600
"""K. Godel @ TN11URmFSv"" checks",2021-02-14T08:00:46.501Z,161328964650200
"Turn: 5♦, K♠, 6♦ [7♠]",2021-02-14T08:00:32.891Z,161328963289200
"""Baxter @ pUWVTl3lN1"" calls 1.12",2021-02-14T08:00:32.084Z,161328963208500
