entry,at,order
"The player ""Deckhole @ hqlKQ6Qj8d"" passed the room ownership to ""Malarkey @ SaX-zgl422"".",2021-01-16T06:16:42.107Z,161077780210800
"The player ""K. Godel @ TN11URmFSv"" sit back with the stack of 7.24.",2021-01-16T06:13:03.161Z,161077758316200
"The player ""Deckhole @ hqlKQ6Qj8d"" quits the game with a stack of 0.00.",2021-01-16T06:07:35.600Z,161077725560600
"-- ending hand #286 --",2021-01-16T06:07:29.584Z,161077724958501
"""Malarkey @ SaX-zgl422"" collected 23.22 from pot with Two Pair, K's & 2's (combination: K♥, K♠, 2♦, 2♥, J♦)",2021-01-16T06:07:29.584Z,161077724958500
"River: J♦, 3♠, 4♠, 2♦ [2♥]",2021-01-16T06:07:26.560Z,161077724656200
"Turn: J♦, 3♠, 4♠ [2♦]",2021-01-16T06:07:23.541Z,161077724354300
"Flop:  [J♦, 3♠, 4♠]",2021-01-16T06:07:20.525Z,161077724052600
"""Malarkey @ SaX-zgl422"" shows a K♥, K♠.",2021-01-16T06:07:18.169Z,161077723817100
"Uncalled bet of 109.54 returned to ""Malarkey @ SaX-zgl422""",2021-01-16T06:07:17.509Z,161077723750900
"Some players choose to not run it twice.",2021-01-16T06:07:16.703Z,161077723670301
"""Deckhole @ hqlKQ6Qj8d"" chooses to not run it twice.",2021-01-16T06:07:16.703Z,161077723670300
"Remaining players decide whether to run it twice.",2021-01-16T06:07:16.667Z,161077723666801
"""Deckhole @ hqlKQ6Qj8d"" calls 11.61 and go all in",2021-01-16T06:07:16.667Z,161077723666800
"""Malarkey @ SaX-zgl422"" raises to 121.15 and go all in",2021-01-16T06:07:13.260Z,161077723326100
"""Deckhole @ hqlKQ6Qj8d"" raises to 2.45",2021-01-16T06:07:09.060Z,161077722906100
"""Malarkey @ SaX-zgl422"" raises to 0.75",2021-01-16T06:07:02.800Z,161077722280100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.25",2021-01-16T06:06:59.076Z,161077721907600
"""Malarkey @ SaX-zgl422"" posts a big blind of 0.10",2021-01-16T06:06:50.167Z,161077721016805
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-01-16T06:06:50.167Z,161077721016804
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (11.61) | #2 ""Malarkey @ SaX-zgl422"" (121.15)",2021-01-16T06:06:50.167Z,161077721016801
"-- starting hand #286  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-01-16T06:06:50.167Z,161077721016800
"-- ending hand #285 --",2021-01-16T06:06:47.243Z,161077720724402
"""Malarkey @ SaX-zgl422"" collected 0.20 from pot",2021-01-16T06:06:47.243Z,161077720724401
"Uncalled bet of 0.15 returned to ""Malarkey @ SaX-zgl422""",2021-01-16T06:06:47.243Z,161077720724400
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-01-16T06:06:46.428Z,161077720642900
"""Malarkey @ SaX-zgl422"" raises to 0.25",2021-01-16T06:06:44.134Z,161077720413500
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.10",2021-01-16T06:06:41.249Z,161077720125305
