entry,at,order
"The player ""Malarkey @ yzkS3efRJS"" quits the game with a stack of 0.00.",2021-09-12T08:30:36.240Z,163143543624000
"-- ending hand #445 --",2021-09-12T08:30:30.212Z,163143543021201
"""Deckhole @ hqlKQ6Qj8d"" collected 162.12 from pot with Two Pair, 8's & 6's (combination: 8♠, 8♥, 6♠, 6♦, 10♦)",2021-09-12T08:30:30.212Z,163143543021200
"River: 8♥, 10♦, 9♥, 6♦ [3♣]",2021-09-12T08:30:26.173Z,163143542617300
"Turn: 8♥, 10♦, 9♥ [6♦]",2021-09-12T08:30:22.164Z,163143542216400
"""Deckhole @ hqlKQ6Qj8d"" shows a 8♠, 6♠.",2021-09-12T08:30:18.128Z,163143541812801
"""Malarkey @ yzkS3efRJS"" shows a J♥, J♣.",2021-09-12T08:30:18.128Z,163143541812800
"Some players choose to not run it twice.",2021-09-12T08:30:17.313Z,163143541731301
"""Malarkey @ yzkS3efRJS"" chooses to not run it twice.",2021-09-12T08:30:17.313Z,163143541731300
"Remaining players decide whether to run it twice.",2021-09-12T08:30:17.266Z,163143541726601
"""Malarkey @ yzkS3efRJS"" calls 60.81 and go all in",2021-09-12T08:30:17.266Z,163143541726600
"""Deckhole @ hqlKQ6Qj8d"" raises to 60.81 and go all in",2021-09-12T08:30:12.417Z,163143541241700
"""Malarkey @ yzkS3efRJS"" bets 40.50",2021-09-12T08:29:50.033Z,163143539003300
"Flop:  [8♥, 10♦, 9♥]",2021-09-12T08:29:42.144Z,163143538214400
"""Deckhole @ hqlKQ6Qj8d"" calls 20.25",2021-09-12T08:29:41.335Z,163143538133500
"""Malarkey @ yzkS3efRJS"" raises to 20.25",2021-09-12T08:29:37.874Z,163143537787400
"""Deckhole @ hqlKQ6Qj8d"" raises to 6.75",2021-09-12T08:29:27.109Z,163143536710900
"""Malarkey @ yzkS3efRJS"" raises to 2.25",2021-09-12T08:29:14.316Z,163143535431600
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-09-12T08:29:11.318Z,163143535131800
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-09-12T08:29:09.503Z,163143534950305
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-09-12T08:29:09.503Z,163143534950304
"Player stacks: #2 ""Malarkey @ yzkS3efRJS"" (81.06) | #10 ""Deckhole @ hqlKQ6Qj8d"" (113.78)",2021-09-12T08:29:09.503Z,163143534950301
"-- starting hand #445  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-09-12T08:29:09.503Z,163143534950300
"-- ending hand #444 --",2021-09-12T08:29:06.584Z,163143534658402
"""Deckhole @ hqlKQ6Qj8d"" collected 3.74 from pot",2021-09-12T08:29:06.584Z,163143534658401
"Uncalled bet of 1.87 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-09-12T08:29:06.584Z,163143534658400
"""Malarkey @ yzkS3efRJS"" folds",2021-09-12T08:29:05.776Z,163143534577600
"""Deckhole @ hqlKQ6Qj8d"" bets 1.87",2021-09-12T08:29:03.234Z,163143534323400
"Flop:  [7♠, K♣, 2♦]",2021-09-12T08:28:58.123Z,163143533812300
"""Malarkey @ yzkS3efRJS"" calls 1.87",2021-09-12T08:28:57.316Z,163143533731600
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.87",2021-09-12T08:28:55.898Z,163143533589800
"""Malarkey @ yzkS3efRJS"" raises to 0.75",2021-09-12T08:28:52.429Z,163143533242900
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-09-12T08:28:49.235Z,163143532923505
"""Malarkey @ yzkS3efRJS"" posts a small blind of 0.10",2021-09-12T08:28:49.235Z,163143532923504
"Player stacks: #2 ""Malarkey @ yzkS3efRJS"" (82.93) | #10 ""Deckhole @ hqlKQ6Qj8d"" (111.91)",2021-09-12T08:28:49.235Z,163143532923501
"-- starting hand #444  (No Limit Texas Hold'em) (dealer: ""Malarkey @ yzkS3efRJS"") --",2021-09-12T08:28:49.235Z,163143532923500
"-- ending hand #443 --",2021-09-12T08:28:46.322Z,163143532632202
"""Deckhole @ hqlKQ6Qj8d"" collected 0.50 from pot",2021-09-12T08:28:46.322Z,163143532632201
"Uncalled bet of 0.50 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-09-12T08:28:46.322Z,163143532632200
"""Malarkey @ yzkS3efRJS"" folds",2021-09-12T08:28:45.508Z,163143532550800
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.75",2021-09-12T08:28:43.970Z,163143532397000
"""Malarkey @ yzkS3efRJS"" posts a big blind of 0.25",2021-09-12T08:28:42.123Z,163143532212305
