entry,at,order
"The player ""K. Godel @ TN11URmFSv"" stand up with the stack of 158.27.",2021-03-27T07:44:00.002Z,161683104000700
"-- ending hand #220 --",2021-03-27T07:43:57.088Z,161683103708902
"""Deckhole @ hqlKQ6Qj8d"" collected 0.20 from pot",2021-03-27T07:43:57.088Z,161683103708901
"Uncalled bet of 0.20 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-27T07:43:57.088Z,161683103708900
"""K. Godel @ TN11URmFSv"" folds",2021-03-27T07:43:56.280Z,161683103628100
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.30",2021-03-27T07:43:47.199Z,161683102720000
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-03-27T07:43:43.213Z,161683102321505
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.05",2021-03-27T07:43:43.213Z,161683102321504
"Your hand is 4♣, 7♥, K♦, 3♦",2021-03-27T07:43:43.213Z,161683102321503
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (36.65) | #9 ""K. Godel @ TN11URmFSv"" (158.37)",2021-03-27T07:43:43.213Z,161683102321501
"-- starting hand #220  (Pot Limit Omaha Hi) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-03-27T07:43:43.213Z,161683102321500
"-- ending hand #219 --",2021-03-27T07:43:37.186Z,161683101719503
"""Deckhole @ hqlKQ6Qj8d"" shows a 7♦, 6♥, 5♣, 4♦.",2021-03-27T07:43:37.186Z,161683101719502
"""K. Godel @ TN11URmFSv"" collected 27.00 from pot with Flush (combination: K♣, Q♣, 9♣, 6♣, 4♣)",2021-03-27T07:43:37.186Z,161683101719501
"""K. Godel @ TN11URmFSv"" shows a 4♣, K♣, 2♥, J♦.",2021-03-27T07:43:37.186Z,161683101719500
"""K. Godel @ TN11URmFSv"" calls 6.75",2021-03-27T07:43:36.379Z,161683101638000
"""Deckhole @ hqlKQ6Qj8d"" bets 6.75",2021-03-27T07:42:59.215Z,161683097921500
"River: 6♣, 9♣, 8♠, 3♠ [Q♣]",2021-03-27T07:42:39.309Z,161683095931200
"""K. Godel @ TN11URmFSv"" calls 4.50",2021-03-27T07:42:38.479Z,161683095848000
"""Deckhole @ hqlKQ6Qj8d"" bets 4.50",2021-03-27T07:42:30.920Z,161683095092100
"Turn: 6♣, 9♣, 8♠ [3♠]",2021-03-27T07:42:22.023Z,161683094202500
"""K. Godel @ TN11URmFSv"" calls 1.35",2021-03-27T07:42:21.211Z,161683094121200
"""Deckhole @ hqlKQ6Qj8d"" bets 1.35",2021-03-27T07:42:19.288Z,161683093928900
"Flop:  [6♣, 9♣, 8♠]",2021-03-27T07:42:11.412Z,161683093141300
