entry,at,order
"The player ""Deckhole @ hqlKQ6Qj8d"" quits the game with a stack of 273.29.",2021-04-25T07:56:52.875Z,161933741288000
"The player ""Baxter @ pUWVTl3lN1"" quits the game with a stack of 78.07.",2021-04-25T07:54:48.548Z,161933728855300
"-- ending hand #337 --",2021-04-25T07:52:41.656Z,161933716168702
"""K. Godel @ TN11URmFSv"" collected 6.00 from pot with hi hand with full house sixes full of kings (combination: K♥, K♦, 6♥, 6♦, 6♠)",2021-04-25T07:52:41.656Z,161933716168701
"""K. Godel @ TN11URmFSv"" shows a K♥, 6♥, J♠, J♥.",2021-04-25T07:52:41.656Z,161933716168700
"""Baxter @ pUWVTl3lN1"" calls 1.50",2021-04-25T07:52:40.848Z,161933716084900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-04-25T07:52:37.583Z,161933715758400
"""K. Godel @ TN11URmFSv"" bets 1.50",2021-04-25T07:52:32.378Z,161933715237900
"River: A♣, 6♦, 7♥, 6♠ [K♦]",2021-04-25T07:52:24.341Z,161933714435000
"""Baxter @ pUWVTl3lN1"" checks",2021-04-25T07:52:23.533Z,161933714353400
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-25T07:52:21.252Z,161933714125300
"""K. Godel @ TN11URmFSv"" checks",2021-04-25T07:52:19.198Z,161933713919900
"Turn: A♣, 6♦, 7♥ [6♠]",2021-04-25T07:52:04.731Z,161933712473500
"""Baxter @ pUWVTl3lN1"" checks",2021-04-25T07:52:03.924Z,161933712392500
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-04-25T07:52:01.965Z,161933712196500
"""K. Godel @ TN11URmFSv"" checks",2021-04-25T07:51:53.393Z,161933711339400
"Flop:  [A♣, 6♦, 7♥]",2021-04-25T07:51:51.063Z,161933711106500
"""K. Godel @ TN11URmFSv"" calls 1.00",2021-04-25T07:51:50.254Z,161933711025400
"""Baxter @ pUWVTl3lN1"" calls 1.00",2021-04-25T07:51:47.786Z,161933710778700
"""Deckhole @ hqlKQ6Qj8d"" raises to 1.00",2021-04-25T07:51:44.805Z,161933710480500
"""K. Godel @ TN11URmFSv"" calls 0.25",2021-04-25T07:51:38.132Z,161933709813200
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-04-25T07:51:37.383Z,161933709738400
"""Baxter @ pUWVTl3lN1"" calls 0.25",2021-04-25T07:51:32.617Z,161933709261800
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-04-25T07:51:26.537Z,161933708653806
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-04-25T07:51:26.537Z,161933708653805
"Your hand is K♥, 6♥, J♠, J♥",2021-04-25T07:51:26.537Z,161933708653803
