entry,at,order
"The player ""Baxter @ pUWVTl3lN1"" quits the game with a stack of 92.86.",2021-03-07T08:30:46.447Z,161510584645300
"The player ""LLATFFEJ @ cp8PZiuFnj"" quits the game with a stack of 198.36.",2021-03-07T08:30:21.000Z,161510582100900
"-- ending hand #194 --",2021-03-07T08:30:18.081Z,161510581808202
"""Deckhole @ hqlKQ6Qj8d"" collected 0.50 from pot",2021-03-07T08:30:18.081Z,161510581808201
"Uncalled bet of 0.37 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-07T08:30:18.081Z,161510581808200
"""LLATFFEJ @ cp8PZiuFnj"" folds",2021-03-07T08:30:17.271Z,161510581727200
"""Deckhole @ hqlKQ6Qj8d"" bets 0.37",2021-03-07T08:30:11.702Z,161510581170300
"""LLATFFEJ @ cp8PZiuFnj"" checks",2021-03-07T08:30:06.065Z,161510580606600
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-03-07T08:30:03.982Z,161510580398300
"Flop:  [A♥, 4♣, 5♠]",2021-03-07T08:30:02.947Z,161510580294800
"""Deckhole @ hqlKQ6Qj8d"" checks",2021-03-07T08:30:02.142Z,161510580214300
"""LLATFFEJ @ cp8PZiuFnj"" calls 0.25",2021-03-07T08:29:58.888Z,161510579888900
"""K. Godel @ TN11URmFSv"" folds",2021-03-07T08:29:56.520Z,161510579652100
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-03-07T08:29:46.295Z,161510578630210
"""LLATFFEJ @ cp8PZiuFnj"" posts a small blind of 0.10",2021-03-07T08:29:46.295Z,161510578630209
"Your hand is J♥, 6♣",2021-03-07T08:29:46.295Z,161510578630106
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (20.42) | #5 ""LLATFFEJ @ cp8PZiuFnj"" (198.61) | #8 ""Deckhole @ hqlKQ6Qj8d"" (188.11)",2021-03-07T08:29:46.295Z,161510578630105
"The player ""Deckhole @ hqlKQ6Qj8d"" joined the game with a stack of 188.11.",2021-03-07T08:29:46.295Z,161510578630104
"The player ""LLATFFEJ @ cp8PZiuFnj"" joined the game with a stack of 198.61.",2021-03-07T08:29:46.295Z,161510578630103
"The player ""Baxter @ pUWVTl3lN1"" joined the game with a stack of 92.86.",2021-03-07T08:29:46.295Z,161510578630102
"The player ""K. Godel @ TN11URmFSv"" joined the game with a stack of 20.42.",2021-03-07T08:29:46.295Z,161510578630101
"-- starting hand #194  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-03-07T08:29:46.295Z,161510578630100
"The player ""LLATFFEJ @ cp8PZiuFnj"" sit back with the stack of 198.61.",2021-03-07T08:29:37.076Z,161510577707700
"-- ending hand #193 --",2021-03-07T08:26:08.195Z,161510556819602
"""K. Godel @ TN11URmFSv"" collected 0.20 from pot",2021-03-07T08:26:08.195Z,161510556819601
"Uncalled bet of 0.15 returned to ""K. Godel @ TN11URmFSv""",2021-03-07T08:26:08.195Z,161510556819600
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-03-07T08:26:07.385Z,161510556738600
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-03-07T08:25:42.554Z,161510554255500
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-03-07T08:25:32.137Z,161510553214005
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-03-07T08:25:32.137Z,161510553214004
"Your hand is 2♦, 5♥",2021-03-07T08:25:32.137Z,161510553214002
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (20.32) | #8 ""Deckhole @ hqlKQ6Qj8d"" (188.21)",2021-03-07T08:25:32.137Z,161510553214001
"-- starting hand #193  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-03-07T08:25:32.137Z,161510553214000
"-- ending hand #192 --",2021-03-07T08:25:29.220Z,161510552922102
"""Deckhole @ hqlKQ6Qj8d"" collected 0.20 from pot",2021-03-07T08:25:29.220Z,161510552922101
"Uncalled bet of 0.15 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-03-07T08:25:29.220Z,161510552922100
"""K. Godel @ TN11URmFSv"" folds",2021-03-07T08:25:28.406Z,161510552840700
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-03-07T08:25:17.151Z,161510551715305
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-03-07T08:25:17.151Z,161510551715304
"Your hand is 4♦, 2♦",2021-03-07T08:25:17.151Z,161510551715302
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (20.42) | #8 ""Deckhole @ hqlKQ6Qj8d"" (188.11)",2021-03-07T08:25:17.151Z,161510551715301
"-- starting hand #192  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-03-07T08:25:17.151Z,161510551715300
"-- ending hand #191 --",2021-03-07T08:25:14.234Z,161510551423602
"""K. Godel @ TN11URmFSv"" collected 0.20 from pot",2021-03-07T08:25:14.234Z,161510551423601
"Uncalled bet of 0.15 returned to ""K. Godel @ TN11URmFSv""",2021-03-07T08:25:14.234Z,161510551423600
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-03-07T08:25:13.426Z,161510551342700
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-03-07T08:25:11.662Z,161510551166406
"""Deckhole @ hqlKQ6Qj8d"" posts a small blind of 0.10",2021-03-07T08:25:11.662Z,161510551166405
"Your hand is 10♣, Q♦",2021-03-07T08:25:11.662Z,161510551166403
"Player stacks: #1 ""K. Godel @ TN11URmFSv"" (20.32) | #8 ""Deckhole @ hqlKQ6Qj8d"" (188.21)",2021-03-07T08:25:11.662Z,161510551166402
"-- starting hand #191  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-03-07T08:25:11.662Z,161510551166401
"The player ""Baxter @ pUWVTl3lN1"" stand up with the stack of 92.86.",2021-03-07T08:25:11.662Z,161510551166400
"-- ending hand #190 --",2021-03-07T08:25:08.748Z,161510550874902
"""K. Godel @ TN11URmFSv"" collected 0.60 from pot",2021-03-07T08:25:08.748Z,161510550874901
"Uncalled bet of 0.45 returned to ""K. Godel @ TN11URmFSv""",2021-03-07T08:25:08.748Z,161510550874900
"""Deckhole @ hqlKQ6Qj8d"" folds",2021-03-07T08:25:07.939Z,161510550794000
"""Baxter @ pUWVTl3lN1"" folds",2021-03-07T08:25:02.942Z,161510550294300
"""K. Godel @ TN11URmFSv"" raises to 0.70",2021-03-07T08:25:02.032Z,161510550203300
"""Deckhole @ hqlKQ6Qj8d"" posts a big blind of 0.25",2021-03-07T08:24:48.620Z,161510548862206
"""Baxter @ pUWVTl3lN1"" posts a small blind of 0.10",2021-03-07T08:24:48.620Z,161510548862205
"Your hand is 7♦, K♦",2021-03-07T08:24:48.620Z,161510548862202
