entry,at,order
"The player ""Malarkey @ Ia-cNlUwV8"" quits the game with a stack of 0.00.",2022-02-19T06:58:20.062Z,164525390006200
"-- ending hand #286 --",2022-02-19T06:58:14.001Z,164525389400103
"""Malarkey @ Ia-cNlUwV8"" shows a 9♣, 8♣.",2022-02-19T06:58:14.001Z,164525389400102
"""Deckhole @ _yf6aQFJyI"" collected 192.16 from pot with Four of a Kind, 10's (combination: 10♥, 10♦, 10♠, 10♣, Q♣)",2022-02-19T06:58:14.001Z,164525389400101
"""Deckhole @ _yf6aQFJyI"" shows a 10♥, 10♦.",2022-02-19T06:58:14.001Z,164525389400100
"""Malarkey @ Ia-cNlUwV8"" calls 83.08 and go all in",2022-02-19T06:58:13.189Z,164525389318900
"""Deckhole @ _yf6aQFJyI"" raises to 83.08 and go all in",2022-02-19T06:58:11.848Z,164525389184800
"""Malarkey @ Ia-cNlUwV8"" raises to 39.00",2022-02-19T06:58:08.521Z,164525388852100
"""Deckhole @ _yf6aQFJyI"" bets 13.00",2022-02-19T06:58:04.631Z,164525388463100
"River: 10♠, 10♣, 8♥, 4♣ [Q♣]",2022-02-19T06:57:49.586Z,164525386958600
"""Deckhole @ _yf6aQFJyI"" calls 6.50",2022-02-19T06:57:48.741Z,164525386874100
"""Malarkey @ Ia-cNlUwV8"" bets 6.50",2022-02-19T06:57:43.331Z,164525386333100
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-19T06:57:39.705Z,164525385970500
"Turn: 10♠, 10♣, 8♥ [4♣]",2022-02-19T06:57:35.013Z,164525385501300
"""Malarkey @ Ia-cNlUwV8"" calls 2.00",2022-02-19T06:57:34.111Z,164525385411100
"""Deckhole @ _yf6aQFJyI"" bets 2.00",2022-02-19T06:57:32.620Z,164525385262000
"Flop:  [10♠, 10♣, 8♥]",2022-02-19T06:57:18.495Z,164525383849500
"""Malarkey @ Ia-cNlUwV8"" calls 4.50",2022-02-19T06:57:17.664Z,164525383766400
"""Deckhole @ _yf6aQFJyI"" raises to 4.50",2022-02-19T06:57:16.281Z,164525383628100
"""Malarkey @ Ia-cNlUwV8"" raises to 1.50",2022-02-19T06:57:13.393Z,164525383339300
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.50",2022-02-19T06:57:10.401Z,164525383040105
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.25",2022-02-19T06:57:10.401Z,164525383040104
"Player stacks: #2 ""Malarkey @ Ia-cNlUwV8"" (96.08) | #3 ""Deckhole @ _yf6aQFJyI"" (228.31)",2022-02-19T06:57:10.401Z,164525383040101
"-- starting hand #286  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-02-19T06:57:10.401Z,164525383040100
"-- ending hand #285 --",2022-02-19T06:57:07.490Z,164525382749002
"""Deckhole @ _yf6aQFJyI"" collected 1.00 from pot",2022-02-19T06:57:07.490Z,164525382749001
"Uncalled bet of 1.00 returned to ""Deckhole @ _yf6aQFJyI""",2022-02-19T06:57:07.490Z,164525382749000
"""Malarkey @ Ia-cNlUwV8"" folds",2022-02-19T06:57:06.590Z,164525382659000
"""Deckhole @ _yf6aQFJyI"" raises to 1.50",2022-02-19T06:57:04.510Z,164525382451000
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.50",2022-02-19T06:57:01.594Z,164525382159405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.25",2022-02-19T06:57:01.594Z,164525382159404
"Player stacks: #2 ""Malarkey @ Ia-cNlUwV8"" (96.58) | #3 ""Deckhole @ _yf6aQFJyI"" (227.81)",2022-02-19T06:57:01.594Z,164525382159401
"-- starting hand #285  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-02-19T06:57:01.594Z,164525382159400
"-- ending hand #284 --",2022-02-19T06:56:55.584Z,164525381558402
"""Deckhole @ _yf6aQFJyI"" collected 6.00 from pot with Pair, 10's (combination: 10♦, 10♠, A♥, Q♣, 8♦)",2022-02-19T06:56:55.584Z,164525381558401
"""Deckhole @ _yf6aQFJyI"" shows a 10♦, A♥.",2022-02-19T06:56:55.584Z,164525381558400
"""Malarkey @ Ia-cNlUwV8"" checks",2022-02-19T06:56:54.751Z,164525381475100
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-19T06:56:53.242Z,164525381324200
"River: Q♣, 7♦, 10♠, 3♦ [8♦]",2022-02-19T06:56:49.182Z,164525380918200
"""Malarkey @ Ia-cNlUwV8"" calls 1.50",2022-02-19T06:56:48.367Z,164525380836700
"""Deckhole @ _yf6aQFJyI"" bets 1.50",2022-02-19T06:56:46.756Z,164525380675600
"Turn: Q♣, 7♦, 10♠ [3♦]",2022-02-19T06:56:43.576Z,164525380357600
"""Malarkey @ Ia-cNlUwV8"" checks",2022-02-19T06:56:42.688Z,164525380268800
"""Deckhole @ _yf6aQFJyI"" checks",2022-02-19T06:56:40.652Z,164525380065200
"Flop:  [Q♣, 7♦, 10♠]",2022-02-19T06:56:38.565Z,164525379856500
"""Deckhole @ _yf6aQFJyI"" calls 1.50",2022-02-19T06:56:37.702Z,164525379770200
"""Malarkey @ Ia-cNlUwV8"" raises to 1.50",2022-02-19T06:56:35.262Z,164525379526200
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.50",2022-02-19T06:56:31.959Z,164525379195905
"""Malarkey @ Ia-cNlUwV8"" posts a small blind of 0.25",2022-02-19T06:56:31.959Z,164525379195904
"Player stacks: #2 ""Malarkey @ Ia-cNlUwV8"" (99.58) | #3 ""Deckhole @ _yf6aQFJyI"" (224.81)",2022-02-19T06:56:31.959Z,164525379195901
"-- starting hand #284  (No Limit Texas Hold'em) (dealer: ""Malarkey @ Ia-cNlUwV8"") --",2022-02-19T06:56:31.959Z,164525379195900
"-- ending hand #283 --",2022-02-19T06:56:28.957Z,164525378895702
"""Deckhole @ _yf6aQFJyI"" collected 1.00 from pot",2022-02-19T06:56:28.957Z,164525378895701
"Uncalled bet of 1.00 returned to ""Deckhole @ _yf6aQFJyI""",2022-02-19T06:56:28.957Z,164525378895700
"""Malarkey @ Ia-cNlUwV8"" folds",2022-02-19T06:56:28.061Z,164525378806100
"""Deckhole @ _yf6aQFJyI"" raises to 1.50",2022-02-19T06:56:25.249Z,164525378524900
"""Malarkey @ Ia-cNlUwV8"" posts a big blind of 0.50",2022-02-19T06:56:22.555Z,164525378255505
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.25",2022-02-19T06:56:22.555Z,164525378255504
"Player stacks: #2 ""Malarkey @ Ia-cNlUwV8"" (100.08) | #3 ""Deckhole @ _yf6aQFJyI"" (224.31)",2022-02-19T06:56:22.555Z,164525378255501
