entry,at,order
"The player ""MagKirwin @ e4MtM50XXb"" stand up with the stack of 122.64.",2021-06-12T05:56:58.533Z,162347741853400
"Undealt cards: 9♣, A♣, 6♠, 3♠ [5♥]",2021-06-12T05:56:55.057Z,162347741505700
"-- ending hand #154 --",2021-06-12T05:56:52.622Z,162347741262202
"""Deckhole @ hqlKQ6Qj8d"" collected 7.30 from pot",2021-06-12T05:56:52.622Z,162347741262201
"Uncalled bet of 4.15 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-06-12T05:56:52.622Z,162347741262200
"""K. Godel @ TN11URmFSv"" folds",2021-06-12T05:56:51.815Z,162347741181500
"""Deckhole @ hqlKQ6Qj8d"" bets 4.15",2021-06-12T05:56:42.031Z,162347740203200
"""K. Godel @ TN11URmFSv"" checks",2021-06-12T05:56:36.980Z,162347739698100
"Turn: 9♣, A♣, 6♠ [3♠]",2021-06-12T05:56:34.254Z,162347739425500
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-06-12T05:56:33.449Z,162347739345000
"""K. Godel @ TN11URmFSv"" calls 1.95",2021-06-12T05:56:32.595Z,162347739259600
"""MagKirwin @ e4MtM50XXb"" folds",2021-06-12T05:56:30.229Z,162347739023000
"""Deckhole @ hqlKQ6Qj8d"" bets 1.95",2021-06-12T05:56:28.486Z,162347738848600
"""LLATFFEJ @ WtMwiUnkT6"" checks",2021-06-12T05:56:23.733Z,162347738373300
"""K. Godel @ TN11URmFSv"" checks",2021-06-12T05:56:22.877Z,162347738287700
"Flop:  [9♣, A♣, 6♠]",2021-06-12T05:56:17.891Z,162347737789200
"""LLATFFEJ @ WtMwiUnkT6"" calls 0.85",2021-06-12T05:56:17.088Z,162347737708900
"""K. Godel @ TN11URmFSv"" calls 0.85",2021-06-12T05:56:16.204Z,162347737620500
"""MagKirwin @ e4MtM50XXb"" calls 0.85",2021-06-12T05:56:14.148Z,162347737414800
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-06-12T05:56:05.809Z,162347736581000
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the game stop on next hand.",2021-06-12T05:56:02.680Z,162347736268000
"""LLATFFEJ @ WtMwiUnkT6"" posts a big blind of 0.25",2021-06-12T05:56:01.804Z,162347736180507
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.10",2021-06-12T05:56:01.804Z,162347736180506
"Your hand is 8♥, 7♦",2021-06-12T05:56:01.804Z,162347736180504
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (29.64) | #2 ""MagKirwin @ e4MtM50XXb"" (123.49) | #3 ""K. Godel @ TN11URmFSv"" (28.23) | #9 ""LLATFFEJ @ WtMwiUnkT6"" (28.64)",2021-06-12T05:56:01.804Z,162347736180501
"-- starting hand #154  (No Limit Texas Hold'em) (dealer: ""MagKirwin @ e4MtM50XXb"") --",2021-06-12T05:56:01.804Z,162347736180500
"-- ending hand #153 --",2021-06-12T05:55:55.896Z,162347735589602
"""Deckhole @ hqlKQ6Qj8d"" collected 0.60 from pot",2021-06-12T05:55:55.896Z,162347735589601
"Uncalled bet of 0.60 returned to ""Deckhole @ hqlKQ6Qj8d""",2021-06-12T05:55:55.896Z,162347735589600
"""K. Godel @ TN11URmFSv"" folds",2021-06-12T05:55:55.087Z,162347735508800
"""MagKirwin @ e4MtM50XXb"" folds",2021-06-12T05:55:46.705Z,162347734670500
"""Deckhole @ hqlKQ6Qj8d"" raises to 0.85",2021-06-12T05:55:44.619Z,162347734461900
"""LLATFFEJ @ WtMwiUnkT6"" folds",2021-06-12T05:55:36.760Z,162347733676100
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.25",2021-06-12T05:55:27.988Z,162347732799007
"""MagKirwin @ e4MtM50XXb"" posts a small blind of 0.10",2021-06-12T05:55:27.988Z,162347732799006
"Your hand is Q♥, 6♣",2021-06-12T05:55:27.988Z,162347732799004
"Player stacks: #1 ""Deckhole @ hqlKQ6Qj8d"" (29.29) | #2 ""MagKirwin @ e4MtM50XXb"" (123.59) | #3 ""K. Godel @ TN11URmFSv"" (28.48) | #9 ""LLATFFEJ @ WtMwiUnkT6"" (28.64)",2021-06-12T05:55:27.988Z,162347732799001
"-- starting hand #153  (No Limit Texas Hold'em) (dealer: ""Deckhole @ hqlKQ6Qj8d"") --",2021-06-12T05:55:27.988Z,162347732799000
"-- ending hand #152 --",2021-06-12T05:55:21.975Z,162347732197703
"""Deckhole @ hqlKQ6Qj8d"" shows a 8♣, J♠.",2021-06-12T05:55:21.975Z,162347732197702
"""MagKirwin @ e4MtM50XXb"" collected 30.67 from pot with Pair, 9's (combination: 9♥, 9♠, K♥, Q♥, 7♦)",2021-06-12T05:55:21.975Z,162347732197701
