entry,at,order
"The player ""K. Godel @ TN11URmFSv"" requested a seat.",2021-05-23T04:34:31.588Z,162174447158900
"The player ""ipfree @ xphtV7FNQJ"" quits the game with a stack of 5.83.",2021-05-23T04:34:16.865Z,162174445686900
"-- ending hand #165 --",2021-05-23T04:34:13.918Z,162174445391902
"""ipfree @ xphtV7FNQJ"" collected 0.10 from pot",2021-05-23T04:34:13.918Z,162174445391901
"Uncalled bet of 0.05 returned to ""ipfree @ xphtV7FNQJ""",2021-05-23T04:34:13.918Z,162174445391900
"Some players choose to not run it twice.",2021-05-23T04:34:12.967Z,162174445296800
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""ipfree @ xphtV7FNQJ"".",2021-05-23T04:34:03.795Z,162174444379600
"Remaining players decide whether to run it twice.",2021-05-23T04:33:57.959Z,162174443796308
"""MagKirwin @ e4MtM50XXb"" folds",2021-05-23T04:33:57.959Z,162174443796307
"""ipfree @ xphtV7FNQJ"" posts a big blind of 0.10",2021-05-23T04:33:57.959Z,162174443796306
"""MagKirwin @ e4MtM50XXb"" posts a small blind of 0.05",2021-05-23T04:33:57.959Z,162174443796305
"Player stacks: #4 ""ipfree @ xphtV7FNQJ"" (5.78) | #7 ""MagKirwin @ e4MtM50XXb"" (65.80)",2021-05-23T04:33:57.959Z,162174443796302
"-- starting hand #165  (No Limit Texas Hold'em) (dealer: ""MagKirwin @ e4MtM50XXb"") --",2021-05-23T04:33:57.959Z,162174443796301
"The player ""K. Godel @ TN11URmFSv"" quits the game with a stack of 5.30.",2021-05-23T04:33:57.959Z,162174443796300
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""K. Godel @ TN11URmFSv"".",2021-05-23T04:33:55.795Z,162174443580000
"-- ending hand #164 --",2021-05-23T04:33:55.037Z,162174443503702
"""K. Godel @ TN11URmFSv"" collected 0.10 from pot",2021-05-23T04:33:55.037Z,162174443503701
"Uncalled bet of 0.05 returned to ""K. Godel @ TN11URmFSv""",2021-05-23T04:33:55.037Z,162174443503700
"""MagKirwin @ e4MtM50XXb"" folds",2021-05-23T04:33:54.224Z,162174443422500
"""ipfree @ xphtV7FNQJ"" folds",2021-05-23T04:33:53.416Z,162174443341707
"""K. Godel @ TN11URmFSv"" posts a big blind of 0.10",2021-05-23T04:33:53.416Z,162174443341706
"""MagKirwin @ e4MtM50XXb"" posts a small blind of 0.05",2021-05-23T04:33:53.416Z,162174443341705
"Your hand is A♦, 7♠",2021-05-23T04:33:53.416Z,162174443341702
"Player stacks: #2 ""K. Godel @ TN11URmFSv"" (5.25) | #4 ""ipfree @ xphtV7FNQJ"" (5.78) | #7 ""MagKirwin @ e4MtM50XXb"" (65.85)",2021-05-23T04:33:53.416Z,162174443341701
"-- starting hand #164  (No Limit Texas Hold'em) (dealer: ""ipfree @ xphtV7FNQJ"") --",2021-05-23T04:33:53.416Z,162174443341700
"-- ending hand #163 --",2021-05-23T04:33:50.506Z,162174443050702
"""MagKirwin @ e4MtM50XXb"" collected 0.10 from pot",2021-05-23T04:33:50.506Z,162174443050701
"Uncalled bet of 0.05 returned to ""MagKirwin @ e4MtM50XXb""",2021-05-23T04:33:50.506Z,162174443050700
"""ipfree @ xphtV7FNQJ"" folds",2021-05-23T04:33:49.696Z,162174442969700
"""K. Godel @ TN11URmFSv"" folds",2021-05-23T04:33:48.885Z,162174442889008
"""MagKirwin @ e4MtM50XXb"" posts a big blind of 0.10",2021-05-23T04:33:48.885Z,162174442889007
"""ipfree @ xphtV7FNQJ"" posts a small blind of 0.05",2021-05-23T04:33:48.885Z,162174442889006
"Your hand is 6♥, K♣",2021-05-23T04:33:48.885Z,162174442889003
"Player stacks: #2 ""K. Godel @ TN11URmFSv"" (5.25) | #4 ""ipfree @ xphtV7FNQJ"" (5.83) | #7 ""MagKirwin @ e4MtM50XXb"" (65.80)",2021-05-23T04:33:48.885Z,162174442889002
"-- starting hand #163  (No Limit Texas Hold'em) (dealer: ""K. Godel @ TN11URmFSv"") --",2021-05-23T04:33:48.885Z,162174442889001
"The player ""LLATFFEJ @ cp8PZiuFnj"" quits the game with a stack of 233.05.",2021-05-23T04:33:48.885Z,162174442889000
"The admin ""Deckhole @ hqlKQ6Qj8d"" enqueued the removal of the player ""LLATFFEJ @ cp8PZiuFnj"".",2021-05-23T04:33:47.580Z,162174442758100
"-- ending hand #162 --",2021-05-23T04:33:45.972Z,162174442597302
"""ipfree @ xphtV7FNQJ"" collected 0.10 from pot",2021-05-23T04:33:45.972Z,162174442597301
"Uncalled bet of 0.05 returned to ""ipfree @ xphtV7FNQJ""",2021-05-23T04:33:45.972Z,162174442597300
"""K. Godel @ TN11URmFSv"" folds",2021-05-23T04:33:45.166Z,162174442516600
"""MagKirwin @ e4MtM50XXb"" folds",2021-05-23T04:33:44.359Z,162174442436007
"""ipfree @ xphtV7FNQJ"" posts a big blind of 0.10",2021-05-23T04:33:44.359Z,162174442436006
"""K. Godel @ TN11URmFSv"" posts a small blind of 0.05",2021-05-23T04:33:44.359Z,162174442436005
"Your hand is 7♥, 8♣",2021-05-23T04:33:44.359Z,162174442436002
"Player stacks: #2 ""K. Godel @ TN11URmFSv"" (5.30) | #4 ""ipfree @ xphtV7FNQJ"" (5.78) | #7 ""MagKirwin @ e4MtM50XXb"" (65.80)",2021-05-23T04:33:44.359Z,162174442436001
"-- starting hand #162  (No Limit Texas Hold'em) (dealer: ""MagKirwin @ e4MtM50XXb"") --",2021-05-23T04:33:44.359Z,162174442436000
"-- ending hand #161 --",2021-05-23T04:33:41.446Z,162174442144702
"""K. Godel @ TN11URmFSv"" collected 0.10 from pot",2021-05-23T04:33:41.446Z,162174442144701
