entry,at,order
"The player ""K Godel @ Di5cxDUTF9"" stand up with the stack of 87.58.",2022-01-30T08:34:05.781Z,164353164578100
"The player ""Deckhole @ _yf6aQFJyI"" stand up with the stack of 77.39.",2022-01-30T08:33:37.566Z,164353161756600
"-- ending hand #330 --",2022-01-30T08:33:34.562Z,164353161456202
"""K Godel @ Di5cxDUTF9"" collected 0.10 from pot",2022-01-30T08:33:34.562Z,164353161456201
"Uncalled bet of 0.05 returned to ""K Godel @ Di5cxDUTF9""",2022-01-30T08:33:34.562Z,164353161456200
"""Deckhole @ _yf6aQFJyI"" folds",2022-01-30T08:33:33.711Z,164353161371100
"""K Godel @ Di5cxDUTF9"" posts a big blind of 0.10",2022-01-30T08:32:14.064Z,164353153406405
"""Deckhole @ _yf6aQFJyI"" posts a small blind of 0.05",2022-01-30T08:32:14.064Z,164353153406404
"Your hand is 5♦, J♠",2022-01-30T08:32:14.064Z,164353153406403
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (77.44) | #5 ""K Godel @ Di5cxDUTF9"" (87.53)",2022-01-30T08:32:14.064Z,164353153406401
"-- starting hand #330  (No Limit Texas Hold'em) (dealer: ""Deckhole @ _yf6aQFJyI"") --",2022-01-30T08:32:14.064Z,164353153406400
"-- ending hand #329 --",2022-01-30T08:32:11.060Z,164353153106002
"""Deckhole @ _yf6aQFJyI"" collected 0.10 from pot",2022-01-30T08:32:11.060Z,164353153106001
"Uncalled bet of 0.05 returned to ""Deckhole @ _yf6aQFJyI""",2022-01-30T08:32:11.060Z,164353153106000
"""K Godel @ Di5cxDUTF9"" folds",2022-01-30T08:32:10.114Z,164353153011400
"""Deckhole @ _yf6aQFJyI"" posts a big blind of 0.10",2022-01-30T08:32:01.787Z,164353152178706
"""K Godel @ Di5cxDUTF9"" posts a small blind of 0.05",2022-01-30T08:32:01.787Z,164353152178705
"Your hand is 6♦, 9♥",2022-01-30T08:32:01.787Z,164353152178704
"Player stacks: #2 ""Deckhole @ _yf6aQFJyI"" (77.39) | #5 ""K Godel @ Di5cxDUTF9"" (87.58)",2022-01-30T08:32:01.787Z,164353152178702
"-- starting hand #329  (No Limit Texas Hold'em) (dealer: ""K Godel @ Di5cxDUTF9"") --",2022-01-30T08:32:01.787Z,164353152178701
"The player ""Mags @ e4MtM50XXb"" quits the game with a stack of 0.00.",2022-01-30T08:32:01.787Z,164353152178700
"-- ending hand #328 --",2022-01-30T08:31:55.650Z,164353151565001
"""Deckhole @ _yf6aQFJyI"" collected 24.88 from pot with Pair, Q's (combination: Q♦, Q♥, A♣, 9♠, 6♦)",2022-01-30T08:31:55.650Z,164353151565000
"River: 3♣, 5♦, Q♥, 9♠ [A♣]",2022-01-30T08:31:51.587Z,164353151158700
"""Mags @ e4MtM50XXb"" shows a 7♣, 7♦.",2022-01-30T08:31:47.573Z,164353150757301
"""Deckhole @ _yf6aQFJyI"" shows a Q♦, 6♦.",2022-01-30T08:31:47.573Z,164353150757300
"Some players choose to not run it twice.",2022-01-30T08:31:46.697Z,164353150669701
"""Mags @ e4MtM50XXb"" chooses to not run it twice.",2022-01-30T08:31:46.697Z,164353150669700
"""Deckhole @ _yf6aQFJyI"" chooses to  run it twice.",2022-01-30T08:31:45.802Z,164353150580200
"Remaining players decide whether to run it twice.",2022-01-30T08:31:42.516Z,164353150251601
"""Deckhole @ _yf6aQFJyI"" calls 7.19",2022-01-30T08:31:42.516Z,164353150251600
"""Mags @ e4MtM50XXb"" bets 7.19 and go all in",2022-01-30T08:31:23.036Z,164353148303600
"Turn: 3♣, 5♦, Q♥ [9♠]",2022-01-30T08:31:13.514Z,164353147351400
"""K Godel @ Di5cxDUTF9"" folds",2022-01-30T08:31:12.605Z,164353147260500
"""Deckhole @ _yf6aQFJyI"" calls 3.15",2022-01-30T08:31:07.853Z,164353146785300
"""Mags @ e4MtM50XXb"" bets 3.15",2022-01-30T08:31:04.109Z,164353146410900
"""K Godel @ Di5cxDUTF9"" checks",2022-01-30T08:30:56.734Z,164353145673400
"Flop:  [3♣, 5♦, Q♥]",2022-01-30T08:30:54.891Z,164353145489100
"""K Godel @ Di5cxDUTF9"" calls 1.40",2022-01-30T08:30:54.046Z,164353145404600
